"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000012171";"SEMA3B";"semaphorin 3B";202;39,5645179748535;"No"
"row_1";"ENSG00000138835";"RGS3";"regulator of G protein signaling 3";269;31,7521228790283;"No"
"row_2";"ENSG00000167680";"SEMA6B";"semaphorin 6B";387;23,5560741424561;"No"
"row_3";"ENSG00000146904";"EPHA1";"EPH receptor A1";582;15,0480880737305;"No"
"row_4";"ENSG00000164050";"PLXNB1";"plexin B1";619;13,7493658065796;"No"
"row_5";"ENSG00000169242";"EFNA1";"ephrin A1";708;11,7316112518311;"No"
"row_6";"ENSG00000198753";"PLXNB3";"plexin B3";878;8,3301420211792;"No"
"row_7";"ENSG00000166869";"CHP2";"calcineurin like EF-hand protein 2";925;7,7825665473938;"No"
"row_8";"ENSG00000136040";"PLXNC1";"plexin C1";942;7,46046781539917;"No"
"row_9";"ENSG00000001617";"SEMA3F";"semaphorin 3F";949;7,3326563835144;"No"
"row_10";"ENSG00000198910";"L1CAM";"L1 cell adhesion molecule";1009;6,80787706375122;"No"
"row_11";"ENSG00000182511";"FES";"FES proto-oncogene, tyrosine kinase";1016;6,68563938140869;"No"
"row_12";"ENSG00000095539";"SEMA4G";"semaphorin 4G";1029;6,52253770828247;"No"
"row_13";"ENSG00000099617";"EFNA2";"ephrin A2";1261;4,8513126373291;"No"
"row_14";"ENSG00000138623";"SEMA7A";"semaphorin 7A (JohnMiltonHagen blood group)";1403;3,88592910766602;"No"
"row_15";"ENSG00000101096";"NFATC2";"nuclear factor of activated T cells 2";1420;3,75202345848083;"No"
"row_16";"ENSG00000142627";"EPHA2";"EPH receptor A2";1461;3,54095602035522;"No"
"row_17";"ENSG00000173156";"RHOD";"ras homolog family member D";1470;3,47606182098389;"No"
"row_18";"ENSG00000010319";"SEMA3G";"semaphorin 3G";1705;2,78009295463562;"No"
