"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000182621";"PLCB1";"phospholipase C beta 1";1121;5,59190797805786;"No"
"row_1";"ENSG00000154229";"PRKCA";"protein kinase C alpha";4023;0,385970503091812;"No"
"row_2";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";6358;0,0416748970746994;"No"
"row_3";"ENSG00000078369";"GNB1";"G protein subunit beta 1";6466;0,0379548072814941;"No"
"row_4";"ENSG00000149782";"PLCB3";"phospholipase C beta 3";7215;0,0109875742346048;"No"
"row_5";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";7493;0,00520010059699416;"No"
"row_6";"ENSG00000127920";"GNG11";"G protein subunit gamma 11";8879;0;"No"
"row_7";"ENSG00000127928";"GNGT1";"G protein subunit gamma transducin 1";8880;0;"No"
"row_8";"ENSG00000160791";"CCR5";"C-C motif chemokine receptor 5";9555;0;"No"
"row_9";"ENSG00000162188";"GNG3";"G protein subunit gamma 3";9584;0;"No"
"row_10";"ENSG00000167083";"GNGT2";"G protein subunit gamma transducin 2";9838;0;"No"
"row_11";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";9850;0;"No"
"row_12";"ENSG00000242616";"GNG10";"G protein subunit gamma 10";19537;0;"No"
"row_13";"ENSG00000271503";"CCL5";"C-C motif chemokine ligand 5";24294;0;"No"
"row_14";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";27156;-0,000495572807267308;"No"
"row_15";"ENSG00000172354";"GNB2";"G protein subunit beta 2";27192;-0,00066421803785488;"No"
"row_16";"ENSG00000069966";"GNB5";"G protein subunit beta 5";28956;-0,052341565489769;"No"
"row_17";"ENSG00000137841";"PLCB2";"phospholipase C beta 2";32965;-1,20655739307404;"No"
"row_18";"ENSG00000111664";"GNB3";"G protein subunit beta 3";33207;-1,67131650447845;"No"
"row_19";"ENSG00000126583";"PRKCG";"protein kinase C gamma";34352;-4,01797151565552;"Yes"
"row_20";"ENSG00000101333";"PLCB4";"phospholipase C beta 4";35513;-15,1793746948242;"Yes"
"row_21";"ENSG00000114450";"GNB4";"G protein subunit beta 4";35591;-16,9075527191162;"Yes"
"row_22";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";35796;-21,9950389862061;"Yes"
"row_23";"ENSG00000166501";"PRKCB";"protein kinase C beta";35875;-24,6544322967529;"Yes"
"row_24";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";36051;-33,5249252319336;"Yes"
"row_25";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";36157;-40,3085708618164;"Yes"
