"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000263528";"IKBKE";"inhibitor of nuclear factor kappa B kinase subunit epsilon";4130;0,343388885259628;"No"
"row_1";"ENSG00000127666";"TICAM1";"TIR domain containing adaptor molecule 1";5976;0,0642048642039299;"No"
"row_2";"ENSG00000183735";"TBK1";"TANK binding kinase 1";7768;0,00169871898833662;"No"
"row_3";"ENSG00000120235";"IFNA6";"interferon alpha 6";8692;0;"No"
"row_4";"ENSG00000120242";"IFNA8";"interferon alpha 8";8693;0;"No"
"row_5";"ENSG00000137080";"IFNA21";"interferon alpha 21";9085;0;"No"
"row_6";"ENSG00000147873";"IFNA5";"interferon alpha 5";9308;0;"No"
"row_7";"ENSG00000147885";"IFNA16";"interferon alpha 16";9311;0;"No"
"row_8";"ENSG00000186803";"IFNA10";"interferon alpha 10";11022;0;"No"
"row_9";"ENSG00000188379";"IFNA2";"interferon alpha 2";11153;0;"No"
"row_10";"ENSG00000197919";"IFNA1";"interferon alpha 1";11403;0;"No"
"row_11";"ENSG00000214042";"IFNA7";"interferon alpha 7";14271;0;"No"
"row_12";"ENSG00000228083";"IFNA14";"interferon alpha 14";16351;0;"No"
"row_13";"ENSG00000233816";"IFNA13";"interferon alpha 13";17628;0;"No"
"row_14";"ENSG00000234829";"IFNA17";"interferon alpha 17";17864;0;"No"
"row_15";"ENSG00000236637";"IFNA4";"interferon alpha 4";18250;0;"No"
"row_16";"ENSG00000131323";"TRAF3";"TNF receptor associated factor 3";28839;-0,0457658916711807;"Yes"
"row_17";"ENSG00000164342";"TLR3";"toll like receptor 3";34934;-7,89275884628296;"Yes"
"row_18";"ENSG00000185507";"IRF7";"interferon regulatory factor 7";35111;-9,65263366699219;"Yes"
