"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000113578";"FGF1";"fibroblast growth factor 1";1021;6,26161003112793;"No"
"row_1";"ENSG00000105550";"FGF21";"fibroblast growth factor 21";2712;0,960173070430756;"No"
"row_2";"ENSG00000162344";"FGF19";"fibroblast growth factor 19";2797;0,960173070430756;"No"
"row_3";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";4414;0,326120048761368;"No"
"row_4";"ENSG00000138685";"FGF2";"fibroblast growth factor 2";4969;0,214426562190056;"No"
"row_5";"ENSG00000138675";"FGF5";"fibroblast growth factor 5";5712;0,11984945833683;"No"
"row_6";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";6077;0,0873349606990814;"No"
"row_7";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";6278;0,0708781778812408;"No"
"row_8";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";7794;0,00760945258662105;"No"
"row_9";"ENSG00000077782";"FGFR1";"fibroblast growth factor receptor 1";7917;0,00545396516099572;"No"
"row_10";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";8132;0,0024178430903703;"No"
"row_11";"ENSG00000075388";"FGF4";"fibroblast growth factor 4";8673;0;"No"
"row_12";"ENSG00000078579";"FGF20";"fibroblast growth factor 20";8684;0;"No"
"row_13";"ENSG00000107831";"FGF8";"fibroblast growth factor 8";8938;0;"No"
"row_14";"ENSG00000111241";"FGF6";"fibroblast growth factor 6";8992;0;"No"
"row_15";"ENSG00000140285";"FGF7";"fibroblast growth factor 7";9593;0;"No"
"row_16";"ENSG00000186895";"FGF3";"fibroblast growth factor 3";11413;0;"No"
"row_17";"ENSG00000196468";"FGF16";"fibroblast growth factor 16";11654;0;"No"
"row_18";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";28477;-0,0186926368623972;"No"
"row_19";"ENSG00000174775";"HRAS";"HRas proto-oncogene, GTPase";28881;-0,0347255021333694;"No"
"row_20";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";28987;-0,0393083058297634;"No"
"row_21";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";29081;-0,0438862778246403;"No"
"row_22";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";29774;-0,0897875428199768;"No"
"row_23";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";31181;-0,253203779459;"No"
"row_24";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";31765;-0,393788039684296;"No"
"row_25";"ENSG00000156427";"FGF18";"fibroblast growth factor 18";31855;-0,419868528842926;"No"
"row_26";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";32392;-0,603218138217926;"No"
"row_27";"ENSG00000070193";"FGF10";"fibroblast growth factor 10";32971;-0,953477084636688;"No"
"row_28";"ENSG00000160867";"FGFR4";"fibroblast growth factor receptor 4";33700;-1,10539746284485;"Yes"
"row_29";"ENSG00000070388";"FGF22";"fibroblast growth factor 22";33836;-1,25961196422577;"Yes"
"row_30";"ENSG00000118972";"FGF23";"fibroblast growth factor 23";35514;-7,88451766967773;"Yes"
"row_31";"ENSG00000158815";"FGF17";"fibroblast growth factor 17";36036;-18,8052978515625;"Yes"
"row_32";"ENSG00000068078";"FGFR3";"fibroblast growth factor receptor 3";36257;-34,1916847229004;"Yes"
"row_33";"ENSG00000102678";"FGF9";"fibroblast growth factor 9";36280;-38,4572792053223;"Yes"
"row_34";"ENSG00000066468";"FGFR2";"fibroblast growth factor receptor 2";36326;-46,5546035766602;"Yes"
