"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000179913";"B3GNT3";"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3";47;65,893310546875;"Yes"
"row_1";"ENSG00000110080";"ST3GAL4";"ST3 beta-galactoside alpha-2,3-sialyltransferase 4";898;7,53568887710571;"Yes"
"row_2";"ENSG00000172318";"B3GALT1";"beta-1,3-galactosyltransferase 1";1412;3,69888353347778;"Yes"
"row_3";"ENSG00000158850";"B4GALT3";"beta-1,4-galactosyltransferase 3";1582;2,97833681106567;"Yes"
"row_4";"ENSG00000111846";"GCNT2";"glucosaminyl (N-acetyl) transferase 2 (I blood group)";2389;1,3167417049408;"Yes"
"row_5";"ENSG00000172461";"FUT9";"fucosyltransferase 9";2396;1,3167417049408;"Yes"
"row_6";"ENSG00000121578";"B4GALT4";"beta-1,4-galactosyltransferase 4";2404;1,31131184101105;"Yes"
"row_7";"ENSG00000086062";"B4GALT1";"beta-1,4-galactosyltransferase 1";5231;0,178909406065941;"No"
"row_8";"ENSG00000064225";"ST3GAL6";"ST3 beta-galactoside alpha-2,3-sialyltransferase 6";5996;0,0946564674377441;"No"
"row_9";"ENSG00000176383";"B3GNT4";"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4";6778;0,0404737144708633;"No"
"row_10";"ENSG00000126091";"ST3GAL3";"ST3 beta-galactoside alpha-2,3-sialyltransferase 3";7533;0,0135398544371128;"No"
"row_11";"ENSG00000111728";"ST8SIA1";"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1";9003;0;"No"
"row_12";"ENSG00000162630";"B3GALT2";"beta-1,3-galactosyltransferase 2";10018;0;"No"
"row_13";"ENSG00000175164";"ABO";"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase";10657;0;"No"
"row_14";"ENSG00000176597";"B3GNT5";"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5";10732;0;"No"
"row_15";"ENSG00000180549";"FUT7";"fucosyltransferase 7";10965;0;"No"
"row_16";"ENSG00000117411";"B4GALT2";"beta-1,4-galactosyltransferase 2";27840;-0,00467228377237916;"No"
"row_17";"ENSG00000196371";"FUT4";"fucosyltransferase 4";30389;-0,147118702530861;"No"
"row_18";"ENSG00000176920";"FUT2";"fucosyltransferase 2 (H blood group)";30421;-0,151665344834328;"No"
"row_19";"ENSG00000170340";"B3GNT2";"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2";31062;-0,237411022186279;"No"
"row_20";"ENSG00000174684";"B4GAT1";"beta-1,4-glucuronyltransferase 1";31136;-0,244324326515198;"No"
"row_21";"ENSG00000174951";"FUT1";"fucosyltransferase 1 (H blood group)";31287;-0,276040613651276;"No"
"row_22";"ENSG00000130383";"FUT5";"fucosyltransferase 5";33051;-0,953477084636688;"No"
"row_23";"ENSG00000156413";"FUT6";"fucosyltransferase 6";33099;-0,953477084636688;"No"
"row_24";"ENSG00000171124";"FUT3";"fucosyltransferase 3 (Lewis blood group)";33147;-0,953477084636688;"No"
"row_25";"ENSG00000183778";"B3GALT5";"beta-1,3-galactosyltransferase 5";33190;-0,953477084636688;"No"
