"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000164430";"CGAS";"cyclic GMP-AMP synthase";344;21,3601341247559;"Yes"
"row_1";"ENSG00000197919";"IFNA1";"interferon alpha 1";2891;0,960173070430756;"No"
"row_2";"ENSG00000184584";"STING1";"stimulator of interferon response cGAMP interactor 1";6338;0,0673888549208641;"No"
"row_3";"ENSG00000126456";"IRF3";"interferon regulatory factor 3";6960;0,0338456593453884;"No"
"row_4";"ENSG00000120235";"IFNA6";"interferon alpha 6";9132;0;"No"
"row_5";"ENSG00000120242";"IFNA8";"interferon alpha 8";9133;0;"No"
"row_6";"ENSG00000137080";"IFNA21";"interferon alpha 21";9530;0;"No"
"row_7";"ENSG00000147873";"IFNA5";"interferon alpha 5";9736;0;"No"
"row_8";"ENSG00000147885";"IFNA16";"interferon alpha 16";9738;0;"No"
"row_9";"ENSG00000171855";"IFNB1";"interferon beta 1";10491;0;"No"
"row_10";"ENSG00000186803";"IFNA10";"interferon alpha 10";11402;0;"No"
"row_11";"ENSG00000188379";"IFNA2";"interferon alpha 2";11527;0;"No"
"row_12";"ENSG00000214042";"IFNA7";"interferon alpha 7";14647;0;"No"
"row_13";"ENSG00000228083";"IFNA14";"interferon alpha 14";16702;0;"No"
"row_14";"ENSG00000233816";"IFNA13";"interferon alpha 13";17976;0;"No"
"row_15";"ENSG00000234829";"IFNA17";"interferon alpha 17";18215;0;"No"
"row_16";"ENSG00000236637";"IFNA4";"interferon alpha 4";18611;0;"No"
"row_17";"ENSG00000183735";"TBK1";"TANK binding kinase 1";27828;-0,0045031881891191;"No"
