"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000125538";"IL1B";"interleukin 1 beta";54;59,7798538208008;"Yes"
"row_1";"ENSG00000115594";"IL1R1";"interleukin 1 receptor type 1";582;13,1333084106445;"Yes"
"row_2";"ENSG00000115008";"IL1A";"interleukin 1 alpha";1941;2,151695728302;"Yes"
"row_3";"ENSG00000172936";"MYD88";"MYD88 innate immune signal transduction adaptor";2196;1,68264389038086;"Yes"
"row_4";"ENSG00000184216";"IRAK1";"interleukin 1 receptor associated kinase 1";4200;0,389890789985657;"No"
"row_5";"ENSG00000162889";"MAPKAPK2";"MAPK activated protein kinase 2";4417;0,325771689414978;"No"
"row_6";"ENSG00000196083";"IL1RAP";"interleukin 1 receptor accessory protein";5866;0,102075845003128;"No"
"row_7";"ENSG00000198001";"IRAK4";"interleukin 1 receptor associated kinase 4";6587;0,051610141992569;"No"
"row_8";"ENSG00000108984";"MAP2K6";"mitogen-activated protein kinase kinase 6";6797;0,0398443453013897;"No"
"row_9";"ENSG00000157625";"TAB3";"TGF-beta activated kinase 1 (MAP3K7) binding protein 3";7691;0,00965271051973104;"No"
"row_10";"ENSG00000128016";"ZFP36";"ZFP36 ring finger protein";9328;0;"No"
"row_11";"ENSG00000034152";"MAP2K3";"mitogen-activated protein kinase kinase 3";27924;-0,00605463329702616;"No"
"row_12";"ENSG00000100324";"TAB1";"TGF-beta activated kinase 1 (MAP3K7) binding protein 1";28824;-0,0321208462119102;"No"
"row_13";"ENSG00000112062";"MAPK14";"mitogen-activated protein kinase 14";29152;-0,0479328073561192;"No"
"row_14";"ENSG00000055208";"TAB2";"TGF-beta activated kinase 1 (MAP3K7) binding protein 2";29520;-0,0696750804781914;"No"
"row_15";"ENSG00000135341";"MAP3K7";"mitogen-activated protein kinase kinase kinase 7";30083;-0,111092381179333;"No"
"row_16";"ENSG00000175104";"TRAF6";"TNF receptor associated factor 6";31489;-0,32008770108223;"No"
