"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04514";"Cell adhesion molecule (CAM) interaction";"10/118";"158/8567";6,04454833062172e-05;0,0141442430936548;"ENSG00000021645/ENSG00000077943/ENSG00000091129/ENSG00000131409/ENSG00000149294/ENSG00000154639/ENSG00000179344/ENSG00000182985/ENSG00000196126/ENSG00000198502";"NRXN3/ITGA8/NRCAM/LRRC4B/NCAM1/CXADR/HLA-DQB1/CADM1/HLA-DRB1/HLA-DRB5";"hsa:9369/hsa:8516/hsa:4897/hsa:94030/hsa:4684/hsa:1525/hsa:3119/hsa:23705/hsa:3123/hsa:3127";10
"hsa04390";"Hippo signaling pathway";"9/118";"157/8567";0,000301784716007783;0,0353088117729106;"ENSG00000002745/ENSG00000044115/ENSG00000101144/ENSG00000118971/ENSG00000126016/ENSG00000140807/ENSG00000143869/ENSG00000145506/ENSG00000188763";"WNT16/CTNNA1/BMP7/CCND2/AMOT/NKD1/GDF7/NKD2/FZD9";"hsa:51384/hsa:1495/hsa:655/hsa:894/hsa:154796/hsa:85407/hsa:151449/hsa:85409/hsa:8326";9
"hsa05226";"Gastric cancer";"8/118";"150/8567";0,00105571094046807;0,0823454533565098;"ENSG00000002745/ENSG00000044115/ENSG00000066468/ENSG00000077092/ENSG00000085563/ENSG00000102678/ENSG00000165556/ENSG00000188763";"WNT16/CTNNA1/FGFR2/RARB/ABCB1/FGF9/CDX2/FZD9";"hsa:51384/hsa:1495/hsa:2263/hsa:5915/hsa:5243/hsa:2254/hsa:1045/hsa:8326";8
"hsa05321";"Inflammatory bowel disease";"5/118";"64/8567";0,00181664307283254;0,0827955063473116;"ENSG00000168610/ENSG00000178573/ENSG00000179344/ENSG00000196126/ENSG00000198502";"STAT3/MAF/HLA-DQB1/HLA-DRB1/HLA-DRB5";"hsa:6774/hsa:4094/hsa:3119/hsa:3123/hsa:3127";5
"hsa05416";"Viral myocarditis";"5/118";"67/8567";0,00222706237896275;0,0827955063473116;"ENSG00000101680/ENSG00000154639/ENSG00000179344/ENSG00000196126/ENSG00000198502";"LAMA1/CXADR/HLA-DQB1/HLA-DRB1/HLA-DRB5";"hsa:284217/hsa:1525/hsa:3119/hsa:3123/hsa:3127";5
"hsa04310";"Wnt signaling pathway";"8/118";"174/8567";0,00270551185228858;0,0827955063473116;"ENSG00000002745/ENSG00000118971/ENSG00000140807/ENSG00000145506/ENSG00000146122/ENSG00000162738/ENSG00000166501/ENSG00000188763";"WNT16/CCND2/NKD1/NKD2/DAAM2/VANGL2/PRKCB/FZD9";"hsa:51384/hsa:894/hsa:85407/hsa:85409/hsa:23500/hsa:57216/hsa:5579/hsa:8326";8
"hsa04081";"Hormone signaling";"9/118";"219/8567";0,00317194119223215;0,0827955063473116;"ENSG00000114812/ENSG00000133124/ENSG00000163273/ENSG00000164742/ENSG00000168243/ENSG00000168610/ENSG00000173757/ENSG00000175868/ENSG00000184160";"VIPR1/IRS4/NPPC/ADCY1/GNG4/STAT3/STAT5B/CALCB/ADRA2C";"hsa:7433/hsa:8471/hsa:4880/hsa:107/hsa:2786/hsa:6774/hsa:6777/hsa:797/hsa:152";9
"hsa05223";"Non-small cell lung cancer";"5/118";"73/8567";0,00324476538627568;0,0827955063473116;"ENSG00000077092/ENSG00000155980/ENSG00000166501/ENSG00000168610/ENSG00000173757";"RARB/KIF5A/PRKCB/STAT3/STAT5B";"hsa:5915/hsa:3798/hsa:5579/hsa:6774/hsa:6777";5
"hsa05140";"Leishmaniasis";"5/118";"74/8567";0,00344226584675299;0,0827955063473116;"ENSG00000051523/ENSG00000166501/ENSG00000179344/ENSG00000196126/ENSG00000198502";"CYBA/PRKCB/HLA-DQB1/HLA-DRB1/HLA-DRB5";"hsa:1535/hsa:5579/hsa:3119/hsa:3123/hsa:3127";5
"hsa04360";"Axon guidance";"8/118";"182/8567";0,00356577569533986;0,0827955063473116;"ENSG00000065320/ENSG00000070886/ENSG00000101144/ENSG00000143869/ENSG00000157851/ENSG00000182175/ENSG00000187122/ENSG00000187764";"NTN1/EPHA8/BMP7/GDF7/DPYSL5/RGMA/SLIT1/SEMA4D";"hsa:9423/hsa:2046/hsa:655/hsa:151449/hsa:56896/hsa:56963/hsa:6585/hsa:10507";8
