"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000100714";"MTHFD1";"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1";6716;0,0909354686737061;"No"
"row_1";"ENSG00000182199";"SHMT2";"serine hydroxymethyltransferase 2";7277;0,052776612341404;"No"
"row_2";"ENSG00000163738";"MTHFD2L";"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like";7993;0,0179837252944708;"No"
"row_3";"ENSG00000159131";"GART";"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase";8523;0,00526783801615238;"No"
"row_4";"ENSG00000103707";"MTFMT";"mitochondrial methionyl-tRNA formyltransferase";8552;0,00481037888675928;"No"
"row_5";"ENSG00000065911";"MTHFD2";"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase";8952;0,00043515651486814;"No"
"row_6";"ENSG00000136371";"MTHFS";"methenyltetrahydrofolate synthetase";10156;0;"No"
"row_7";"ENSG00000228716";"DHFR";"dihydrofolate reductase";31044;-0,143999800086021;"No"
"row_8";"ENSG00000177000";"MTHFR";"methylenetetrahydrofolate reductase";31226;-0,17083278298378;"No"
"row_9";"ENSG00000176974";"SHMT1";"serine hydroxymethyltransferase 1";31349;-0,188612133264542;"No"
"row_10";"ENSG00000120254";"MTHFD1L";"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like";32263;-0,419141918420792;"No"
"row_11";"ENSG00000176890";"TYMS";"thymidylate synthetase";32680;-0,59585702419281;"No"
"row_12";"ENSG00000116984";"MTR";"5-methyltetrahydrofolate-homocysteine methyltransferase";32814;-0,657000422477722;"No"
"row_13";"ENSG00000138363";"ATIC";"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase";34125;-1,59249782562256;"Yes"
"row_14";"ENSG00000145020";"AMT";"aminomethyltransferase";35824;-16,6144695281982;"Yes"
"row_15";"ENSG00000160282";"FTCD";"formimidoyltransferase cyclodeaminase";36010;-25,586368560791;"Yes"
"row_16";"ENSG00000144908";"ALDH1L1";"aldehyde dehydrogenase 1 family member L1";36260;-55,5842895507812;"Yes"
