"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000167996";"FTH1";"ferritin heavy chain 1";4489;0,655460119247437;"No"
"row_1";"ENSG00000090013";"BLVRB";"biliverdin reductase B";4661;0,551925301551819;"No"
"row_2";"ENSG00000136628";"EPRS1";"glutamyl-prolyl-tRNA synthetase 1";4671;0,545118272304535;"No"
"row_3";"ENSG00000023330";"ALAS1";"5'-aminolevulinate synthase 1";5276;0,32974499464035;"No"
"row_4";"ENSG00000004961";"HCCS";"holocytochrome c synthase";5320;0,317303240299225;"No"
"row_5";"ENSG00000188690";"UROS";"uroporphyrinogen III synthase";6693;0,0935683697462082;"No"
"row_6";"ENSG00000148218";"ALAD";"aminolevulinate dehydratase";8492;0,00566196581348777;"No"
"row_7";"ENSG00000143224";"PPOX";"protoporphyrinogen oxidase";8764;0,00204908056184649;"No"
"row_8";"ENSG00000139428";"MMAB";"metabolism of cobalamin associated B";8782;0,00186572736129165;"No"
"row_9";"ENSG00000106605";"BLVRA";"biliverdin reductase A";9523;0;"No"
"row_10";"ENSG00000158578";"ALAS2";"5'-aminolevulinate synthase 2";10612;0;"No"
"row_11";"ENSG00000167165";"UGT1A6";"UDP glucuronosyltransferase family 1 member A6";10957;0;"No"
"row_12";"ENSG00000181867";"FTMT";"ferritin mitochondrial";11815;0;"No"
"row_13";"ENSG00000196620";"UGT2B15";"UDP glucuronosyltransferase family 2 member B15";12473;0;"No"
"row_14";"ENSG00000213759";"UGT2B11";"UDP glucuronosyltransferase family 2 member B11";15416;0;"No"
"row_15";"ENSG00000241119";"UGT1A9";"UDP glucuronosyltransferase family 1 member A9";20398;0;"No"
"row_16";"ENSG00000241635";"UGT1A1";"UDP glucuronosyltransferase family 1 member A1";20515;0;"No"
"row_17";"ENSG00000242366";"UGT1A8";"UDP glucuronosyltransferase family 1 member A8";20671;0;"No"
"row_18";"ENSG00000242515";"UGT1A10";"UDP glucuronosyltransferase family 1 member A10";20703;0;"No"
"row_19";"ENSG00000244122";"UGT1A7";"UDP glucuronosyltransferase family 1 member A7";21065;0;"No"
"row_20";"ENSG00000244474";"UGT1A4";"UDP glucuronosyltransferase family 1 member A4";21146;0;"No"
"row_21";"ENSG00000288702";"UGT1A3";"UDP glucuronosyltransferase family 1 member A3";27309;0;"No"
"row_22";"ENSG00000288705";"UGT1A5";"UDP glucuronosyltransferase family 1 member A5";27310;0;"No"
"row_23";"ENSG00000080819";"CPOX";"coproporphyrinogen oxidase";28775;-0,00557879684492946;"No"
"row_24";"ENSG00000126088";"UROD";"uroporphyrinogen decarboxylase";29693;-0,0356983318924904;"No"
"row_25";"ENSG00000169919";"GUSB";"glucuronidase beta";29719;-0,0375436432659626;"No"
"row_26";"ENSG00000256269";"HMBS";"hydroxymethylbilane synthase";30144;-0,0622475109994411;"No"
"row_27";"ENSG00000014919";"COX15";"cytochrome c oxidase assembly homolog COX15";30477;-0,0894323214888573;"No"
"row_28";"ENSG00000066926";"FECH";"ferrochelatase";30828;-0,122497454285622;"No"
"row_29";"ENSG00000006695";"COX10";"cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10";31120;-0,154320165514946;"No"
"row_30";"ENSG00000103356";"EARS2";"glutamyl-tRNA synthetase 2, mitochondrial";33173;-0,930818676948547;"No"
"row_31";"ENSG00000135226";"UGT2B28";"UDP glucuronosyltransferase family 2 member B28";33293;-0,990124225616455;"No"
"row_32";"ENSG00000173610";"UGT2A1";"UDP glucuronosyltransferase family 2 member A1 complex locus";33361;-0,990124225616455;"No"
"row_33";"ENSG00000197888";"UGT2B17";"UDP glucuronosyltransferase family 2 member B17";33418;-0,990124225616455;"No"
"row_34";"ENSG00000103415";"HMOX2";"heme oxygenase 2";34037;-1,4487190246582;"No"
"row_35";"ENSG00000100292";"HMOX1";"heme oxygenase 1";34923;-3,9100079536438;"Yes"
"row_36";"ENSG00000156096";"UGT2B4";"UDP glucuronosyltransferase family 2 member B4";35604;-11,1155309677124;"Yes"
"row_37";"ENSG00000135220";"UGT2A3";"UDP glucuronosyltransferase family 2 member A3";35993;-24,3685665130615;"Yes"
"row_38";"ENSG00000109181";"UGT2B10";"UDP glucuronosyltransferase family 2 member B10";36027;-26,9173622131348;"Yes"
"row_39";"ENSG00000047457";"CP";"ceruloplasmin";36119;-34,5910758972168;"Yes"
"row_40";"ENSG00000171234";"UGT2B7";"UDP glucuronosyltransferase family 2 member B7";36353;-87,4325714111328;"Yes"
