"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000233927";"RPS28";"ribosomal protein S28";2826;2,00392723083496;"No"
"row_1";"ENSG00000130255";"RPL36";"ribosomal protein L36";3360;1,15141367912292;"No"
"row_2";"ENSG00000138326";"RPS24";"ribosomal protein S24";3380;1,11874413490295;"No"
"row_3";"ENSG00000197728";"RPS26";"ribosomal protein S26";4611;0,583793163299561;"No"
"row_4";"ENSG00000198918";"RPL39";"ribosomal protein L39";5837;0,207414016127586;"No"
"row_5";"ENSG00000147403";"RPL10";"ribosomal protein L10";5883;0,199396938085556;"No"
"row_6";"ENSG00000144713";"RPL32";"ribosomal protein L32";6153;0,160937577486038;"No"
"row_7";"ENSG00000213741";"RPS29";"ribosomal protein S29";6252;0,146046802401543;"No"
"row_8";"ENSG00000083845";"RPS5";"ribosomal protein S5";6311;0,137059435248375;"No"
"row_9";"ENSG00000172172";"MRPL13";"mitochondrial ribosomal protein L13";6353;0,133320540189743;"No"
"row_10";"ENSG00000168028";"RPSA";"ribosomal protein SA";6404;0,12770214676857;"No"
"row_11";"ENSG00000177600";"RPLP2";"ribosomal protein lateral stalk subunit P2";6590;0,104483254253864;"No"
"row_12";"ENSG00000114391";"RPL24";"ribosomal protein L24";7111;0,0654287859797478;"No"
"row_13";"ENSG00000161016";"RPL8";"ribosomal protein L8";7166;0,0602791421115398;"No"
"row_14";"ENSG00000122406";"RPL5";"ribosomal protein L5";7203;0,0577377267181873;"No"
"row_15";"ENSG00000110700";"RPS13";"ribosomal protein S13";7242;0,0548355765640736;"No"
"row_16";"ENSG00000174748";"RPL15";"ribosomal protein L15";7401;0,0453492663800716;"No"
"row_17";"ENSG00000177954";"RPS27";"ribosomal protein S27";7455;0,0423581972718239;"No"
"row_18";"ENSG00000171858";"RPS21";"ribosomal protein S21";7512;0,0397726446390152;"No"
"row_19";"ENSG00000137818";"RPLP1";"ribosomal protein lateral stalk subunit P1";7524;0,0389745719730854;"No"
"row_20";"ENSG00000149806";"FAU";"FAU ubiquitin like and ribosomal protein S30 fusion";7550;0,0375953316688538;"No"
"row_21";"ENSG00000037241";"RPL26L1";"ribosomal protein L26 like 1";7820;0,0251281131058931;"No"
"row_22";"ENSG00000221983";"UBA52";"ubiquitin A-52 residue ribosomal protein fusion product 1";7857;0,0236505679786205;"No"
"row_23";"ENSG00000198034";"RPS4X";"ribosomal protein S4 X-linked";8287;0,00947744399309158;"No"
"row_24";"ENSG00000136942";"RPL35";"ribosomal protein L35";8353;0,00789481680840254;"No"
"row_25";"ENSG00000142534";"RPS11";"ribosomal protein S11";8439;0,00646963156759739;"No"
"row_26";"ENSG00000165502";"RPL36AL";"ribosomal protein L36a like";8592;0,00421871058642864;"No"
"row_27";"ENSG00000186468";"RPS23";"ribosomal protein S23";8886;0,000862832530401647;"No"
"row_28";"ENSG00000188846";"RPL14";"ribosomal protein L14";9075;3,26193003274966e-05;"No"
"row_29";"ENSG00000124614";"RPS10";"ribosomal protein S10";9867;0;"No"
"row_30";"ENSG00000165496";"RPL10L";"ribosomal protein L10 like";10877;0;"No"
"row_31";"ENSG00000182899";"RPL35A";"ribosomal protein L35a";11896;0;"No"
"row_32";"ENSG00000241343";"RPL36A";"ribosomal protein L36a";20458;0;"No"
"row_33";"ENSG00000265681";"RPL17";"ribosomal protein L17";24739;0;"No"
"row_34";"ENSG00000108107";"RPL28";"ribosomal protein L28";28260;-0,000104130529507529;"No"
"row_35";"ENSG00000105640";"RPL18A";"ribosomal protein L18a";28329;-0,000362156191840768;"No"
"row_36";"ENSG00000172809";"RPL38";"ribosomal protein L38";28393;-0,000804679584689438;"No"
"row_37";"ENSG00000147604";"RPL7";"ribosomal protein L7";28398;-0,000834379286970943;"No"
"row_38";"ENSG00000162244";"RPL29";"ribosomal protein L29";28624;-0,00298445927910507;"No"
