"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000138061";"CYP1B1";"cytochrome P450 family 1 subfamily B member 1";110;61,1433029174805;"No"
"row_1";"ENSG00000130948";"HSD17B3";"hydroxysteroid 17-beta dehydrogenase 3";3439;1,05146658420563;"No"
"row_2";"ENSG00000145545";"SRD5A1";"steroid 5 alpha-reductase 1";6527;0,112167611718178;"No"
"row_3";"ENSG00000128039";"SRD5A3";"steroid 5 alpha-reductase 3";8465;0,00606565969064832;"No"
"row_4";"ENSG00000025423";"HSD17B6";"hydroxysteroid 17-beta dehydrogenase 6";9154;0;"No"
"row_5";"ENSG00000106258";"CYP3A5";"cytochrome P450 family 3 subfamily A member 5";9511;0;"No"
"row_6";"ENSG00000117594";"HSD11B1";"hydroxysteroid 11-beta dehydrogenase 1";9712;0;"No"
"row_7";"ENSG00000160870";"CYP3A7";"cytochrome P450 family 3 subfamily A member 7";10664;0;"No"
"row_8";"ENSG00000160882";"CYP11B1";"cytochrome P450 family 11 subfamily B member 1";10665;0;"No"
"row_9";"ENSG00000167165";"UGT1A6";"UDP glucuronosyltransferase family 1 member A6";10957;0;"No"
"row_10";"ENSG00000167910";"CYP7A1";"cytochrome P450 family 7 subfamily A member 1";11001;0;"No"
"row_11";"ENSG00000179142";"CYP11B2";"cytochrome P450 family 11 subfamily B member 2";11646;0;"No"
"row_12";"ENSG00000196620";"UGT2B15";"UDP glucuronosyltransferase family 2 member B15";12473;0;"No"
"row_13";"ENSG00000203857";"HSD3B1";"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1";13685;0;"No"
"row_14";"ENSG00000203859";"HSD3B2";"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2";13687;0;"No"
"row_15";"ENSG00000213759";"UGT2B11";"UDP glucuronosyltransferase family 2 member B11";15416;0;"No"
"row_16";"ENSG00000231852";"CYP21A2";"cytochrome P450 family 21 subfamily A member 2";18313;0;"No"
"row_17";"ENSG00000241119";"UGT1A9";"UDP glucuronosyltransferase family 1 member A9";20398;0;"No"
"row_18";"ENSG00000241635";"UGT1A1";"UDP glucuronosyltransferase family 1 member A1";20515;0;"No"
"row_19";"ENSG00000242366";"UGT1A8";"UDP glucuronosyltransferase family 1 member A8";20671;0;"No"
"row_20";"ENSG00000242515";"UGT1A10";"UDP glucuronosyltransferase family 1 member A10";20703;0;"No"
"row_21";"ENSG00000244122";"UGT1A7";"UDP glucuronosyltransferase family 1 member A7";21065;0;"No"
"row_22";"ENSG00000244474";"UGT1A4";"UDP glucuronosyltransferase family 1 member A4";21146;0;"No"
"row_23";"ENSG00000288702";"UGT1A3";"UDP glucuronosyltransferase family 1 member A3";27309;0;"No"
"row_24";"ENSG00000288705";"UGT1A5";"UDP glucuronosyltransferase family 1 member A5";27310;0;"No"
"row_25";"ENSG00000101846";"STS";"steroid sulfatase";28392;-0,000795618980191648;"No"
"row_26";"ENSG00000149084";"HSD17B12";"hydroxysteroid 17-beta dehydrogenase 12";28698;-0,00398865388706326;"No"
"row_27";"ENSG00000140465";"CYP1A1";"cytochrome P450 family 1 subfamily A member 1";32077;-0,345501482486725;"No"
"row_28";"ENSG00000132196";"HSD17B7";"hydroxysteroid 17-beta dehydrogenase 7";32345;-0,448685109615326;"No"
"row_29";"ENSG00000086696";"HSD17B2";"hydroxysteroid 17-beta dehydrogenase 2";32365;-0,457163333892822;"No"
"row_30";"ENSG00000135226";"UGT2B28";"UDP glucuronosyltransferase family 2 member B28";33293;-0,990124225616455;"No"
"row_31";"ENSG00000173610";"UGT2A1";"UDP glucuronosyltransferase family 2 member A1 complex locus";33361;-0,990124225616455;"No"
"row_32";"ENSG00000197888";"UGT2B17";"UDP glucuronosyltransferase family 2 member B17";33418;-0,990124225616455;"No"
"row_33";"ENSG00000277893";"SRD5A2";"steroid 5 alpha-reductase 2";33618;-0,990124225616455;"No"
"row_34";"ENSG00000093010";"COMT";"catechol-O-methyltransferase";33775;-1,11528599262238;"No"
"row_35";"ENSG00000204228";"HSD17B8";"hydroxysteroid 17-beta dehydrogenase 8";34246;-1,82830405235291;"Yes"
"row_36";"ENSG00000108786";"HSD17B1";"hydroxysteroid 17-beta dehydrogenase 1";34337;-2,03992056846619;"Yes"
"row_37";"ENSG00000176387";"HSD11B2";"hydroxysteroid 11-beta dehydrogenase 2";34442;-2,13072967529297;"Yes"
"row_38";"ENSG00000021461";"CYP3A43";"cytochrome P450 family 3 subfamily A member 43";34662;-3,05582022666931;"Yes"
"row_39";"ENSG00000148795";"CYP17A1";"cytochrome P450 family 17 subfamily A member 1";34686;-3,05582022666931;"Yes"
"row_40";"ENSG00000160868";"CYP3A4";"cytochrome P450 family 3 subfamily A member 4";34689;-3,05582022666931;"Yes"
"row_41";"ENSG00000109193";"SULT1E1";"sulfotransferase family 1E member 1";35254;-6,39023876190186;"Yes"
"row_42";"ENSG00000198610";"AKR1C4";"aldo-keto reductase family 1 member C4";35266;-6,39023876190186;"Yes"
"row_43";"ENSG00000172817";"CYP7B1";"cytochrome P450 family 7 subfamily B member 1";35351;-7,16538667678833;"Yes"
"row_44";"ENSG00000088002";"SULT2B1";"sulfotransferase family 2B member 1";35417;-7,90162086486816;"Yes"
"row_45";"ENSG00000140459";"CYP11A1";"cytochrome P450 family 11 subfamily A member 1";35467;-8,60267734527588;"Yes"
"row_46";"ENSG00000156096";"UGT2B4";"UDP glucuronosyltransferase family 2 member B4";35604;-11,1155309677124;"Yes"
"row_47";"ENSG00000137869";"CYP19A1";"cytochrome P450 family 19 subfamily A member 1";35928;-20,7683143615723;"Yes"
"row_48";"ENSG00000135220";"UGT2A3";"UDP glucuronosyltransferase family 2 member A3";35993;-24,3685665130615;"Yes"
"row_49";"ENSG00000109181";"UGT2B10";"UDP glucuronosyltransferase family 2 member B10";36027;-26,9173622131348;"Yes"
"row_50";"ENSG00000122787";"AKR1D1";"aldo-keto reductase family 1 member D1";36041;-27,6245002746582;"Yes"
"row_51";"ENSG00000196139";"AKR1C3";"aldo-keto reductase family 1 member C3";36110;-33,759765625;"Yes"
"row_52";"ENSG00000187134";"AKR1C1";"aldo-keto reductase family 1 member C1";36347;-81,8044357299805;"Yes"
"row_53";"ENSG00000171234";"UGT2B7";"UDP glucuronosyltransferase family 2 member B7";36353;-87,4325714111328;"Yes"
"row_54";"ENSG00000151632";"AKR1C2";"aldo-keto reductase family 1 member C2";36376;-106,736068725586;"Yes"
