"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";19;89,3385772705078;"Yes"
"row_1";"ENSG00000154764";"WNT7A";"Wnt family member 7A";74;70,1148910522461;"Yes"
"row_2";"ENSG00000074047";"GLI2";"GLI family zinc finger 2";107;62,3501625061035;"Yes"
"row_3";"ENSG00000114251";"WNT5A";"Wnt family member 5A";297;39,9102363586426;"Yes"
"row_4";"ENSG00000183943";"PRKX";"protein kinase cAMP-dependent X-linked catalytic subunit";813;18,0692958831787;"Yes"
"row_5";"ENSG00000143816";"WNT9A";"Wnt family member 9A";963;14,7488279342651;"Yes"
"row_6";"ENSG00000188064";"WNT7B";"Wnt family member 7B";992;14,2675247192383;"Yes"
"row_7";"ENSG00000081479";"LRP2";"LDL receptor related protein 2";1099;12,6333084106445;"Yes"
"row_8";"ENSG00000111186";"WNT5B";"Wnt family member 5B";1205;10,9658460617065;"Yes"
"row_9";"ENSG00000162552";"WNT4";"Wnt family member 4";1304;9,81769561767578;"Yes"
"row_10";"ENSG00000139549";"DHH";"desert hedgehog signaling molecule";1357;9,2077693939209;"Yes"
"row_11";"ENSG00000169884";"WNT10B";"Wnt family member 10B";1528;7,25013732910156;"Yes"
"row_12";"ENSG00000164161";"HHIP";"hedgehog interacting protein";2173;3,91383242607117;"No"
"row_13";"ENSG00000153162";"BMP6";"bone morphogenetic protein 6";2246;3,77258682250977;"No"
"row_14";"ENSG00000125845";"BMP2";"bone morphogenetic protein 2";2770;2,20963478088379;"No"
"row_15";"ENSG00000111087";"GLI1";"GLI family zinc finger 1";2810;2,08451342582703;"No"
"row_16";"ENSG00000116985";"BMP8B";"bone morphogenetic protein 8b";3119;1,53736245632172;"No"
"row_17";"ENSG00000105989";"WNT2";"Wnt family member 2";3600;0,926819324493408;"No"
"row_18";"ENSG00000154342";"WNT3A";"Wnt family member 3A";3700;0,926819324493408;"No"
"row_19";"ENSG00000180138";"CSNK1A1L";"casein kinase 1 alpha 1 like";3800;0,926819324493408;"No"
"row_20";"ENSG00000180447";"GAS1";"growth arrest specific 1";3801;0,926819324493408;"No"
"row_21";"ENSG00000113712";"CSNK1A1";"casein kinase 1 alpha 1";4231;0,841169953346252;"No"
"row_22";"ENSG00000072062";"PRKACA";"protein kinase cAMP-activated catalytic subunit alpha";4895;0,444590002298355;"No"
"row_23";"ENSG00000164690";"SHH";"sonic hedgehog signaling molecule";5751;0,222296133637428;"No"
"row_24";"ENSG00000072803";"FBXW11";"F-box and WD repeat domain containing 11";6654;0,0977586731314659;"No"
"row_25";"ENSG00000082701";"GSK3B";"glycogen synthase kinase 3 beta";6954;0,0728472471237183;"No"
"row_26";"ENSG00000141551";"CSNK1D";"casein kinase 1 delta";8176;0,0124935740604997;"No"
"row_27";"ENSG00000151292";"CSNK1G3";"casein kinase 1 gamma 3";8792;0,00178697716910392;"No"
"row_28";"ENSG00000107882";"SUFU";"SUFU negative regulator of hedgehog signaling";8866;0,00103116966784;"No"
"row_29";"ENSG00000169118";"CSNK1G1";"casein kinase 1 gamma 1";8954;0,000430744723416865;"No"
"row_30";"ENSG00000166167";"BTRC";"beta-transducin repeat containing E3 ubiquitin protein ligase";8984;0,000280145817669109;"No"
"row_31";"ENSG00000002745";"WNT16";"Wnt family member 16";9108;0;"No"
"row_32";"ENSG00000075290";"WNT8B";"Wnt family member 8B";9245;0;"No"
"row_33";"ENSG00000101144";"BMP7";"bone morphogenetic protein 7";9386;0;"No"
"row_34";"ENSG00000112175";"BMP5";"bone morphogenetic protein 5";9616;0;"No"
"row_35";"ENSG00000115596";"WNT6";"Wnt family member 6";9679;0;"No"
"row_36";"ENSG00000125084";"WNT1";"Wnt family member 1";9881;0;"No"
"row_37";"ENSG00000135925";"WNT10A";"Wnt family member 10A";10141;0;"No"
"row_38";"ENSG00000158955";"WNT9B";"Wnt family member 9B";10619;0;"No"
"row_39";"ENSG00000165059";"PRKACG";"protein kinase cAMP-activated catalytic subunit gamma";10858;0;"No"
"row_40";"ENSG00000213923";"CSNK1E";"casein kinase 1 epsilon";15445;0;"No"
"row_41";"ENSG00000133275";"CSNK1G2";"casein kinase 1 gamma 2";28514;-0,00166138738859445;"No"
"row_42";"ENSG00000142875";"PRKACB";"protein kinase cAMP-activated catalytic subunit beta";28595;-0,00257798819802701;"No"
"row_43";"ENSG00000183682";"BMP8A";"bone morphogenetic protein 8a";28917;-0,00819798465818167;"No"
"row_44";"ENSG00000112210";"RAB23";"RAB23, member RAS oncogene family";28963;-0,00903220474720001;"No"
"row_45";"ENSG00000134245";"WNT2B";"Wnt family member 2B";29493;-0,0261202771216631;"No"
"row_46";"ENSG00000185920";"PTCH1";"patched 1";30329;-0,0766425877809525;"No"
"row_47";"ENSG00000108379";"WNT3";"Wnt family member 3";30493;-0,0905672535300255;"No"
"row_48";"ENSG00000163482";"STK36";"serine/threonine kinase 36";32275;-0,422158390283585;"No"
"row_49";"ENSG00000117425";"PTCH2";"patched 2";33716;-1,03999006748199;"No"
"row_50";"ENSG00000043355";"ZIC2";"Zic family member 2";33856;-1,1843626499176;"No"
"row_51";"ENSG00000163501";"IHH";"Indian hedgehog signaling molecule";34073;-1,52150332927704;"No"
"row_52";"ENSG00000061492";"WNT8A";"Wnt family member 8A";34140;-1,62076342105865;"No"
