"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000153956";"CACNA2D1";"calcium voltage-gated channel auxiliary subunit alpha2delta 1";17;136,629776000977;"Yes"
"row_1";"ENSG00000007402";"CACNA2D2";"calcium voltage-gated channel auxiliary subunit alpha2delta 2";21;134,420455932617;"Yes"
"row_2";"ENSG00000105409";"ATP1A3";"ATPase Na+/K+ transporting subunit alpha 3";32;122,253547668457;"Yes"
"row_3";"ENSG00000157388";"CACNA1D";"calcium voltage-gated channel subunit alpha1 D";305;57,3151473999023;"Yes"
"row_4";"ENSG00000142408";"CACNG8";"calcium voltage-gated channel auxiliary subunit gamma 8";326;54,4318656921387;"Yes"
"row_5";"ENSG00000105605";"CACNG7";"calcium voltage-gated channel auxiliary subunit gamma 7";490;43,162296295166;"Yes"
"row_6";"ENSG00000129244";"ATP1B2";"ATPase Na+/K+ transporting subunit beta 2";643;34,6095199584961;"Yes"
"row_7";"ENSG00000166862";"CACNG2";"calcium voltage-gated channel auxiliary subunit gamma 2";662;33,9011688232422;"Yes"
"row_8";"ENSG00000182389";"CACNB4";"calcium voltage-gated channel auxiliary subunit beta 4";1015;23,1379776000977;"Yes"
"row_9";"ENSG00000075461";"CACNG4";"calcium voltage-gated channel auxiliary subunit gamma 4";1219;18,3593482971191;"Yes"
"row_10";"ENSG00000131055";"COX4I2";"cytochrome c oxidase subunit 4I2";1308;16,6666584014893;"Yes"
"row_11";"ENSG00000075429";"CACNG5";"calcium voltage-gated channel auxiliary subunit gamma 5";1401;14,6311292648315;"Yes"
"row_12";"ENSG00000165995";"CACNB2";"calcium voltage-gated channel auxiliary subunit beta 2";1674;10,5776214599609;"Yes"
"row_13";"ENSG00000018625";"ATP1A2";"ATPase Na+/K+ transporting subunit alpha 2";2025;7,20141983032227;"Yes"
"row_14";"ENSG00000197616";"MYH6";"myosin heavy chain 6";2338;5,60191059112549;"Yes"
"row_15";"ENSG00000198626";"RYR2";"ryanodine receptor 2";2458;5,0225658416748;"Yes"
"row_16";"ENSG00000102001";"CACNA1F";"calcium voltage-gated channel subunit alpha1 F";2840;3,07384133338928;"No"
"row_17";"ENSG00000130433";"CACNG6";"calcium voltage-gated channel auxiliary subunit gamma 6";2858;3,07384133338928;"No"
"row_18";"ENSG00000108878";"CACNG1";"calcium voltage-gated channel auxiliary subunit gamma 1";3078;3,04195094108582;"No"
"row_19";"ENSG00000143153";"ATP1B1";"ATPase Na+/K+ transporting subunit beta 1";3528;1,81954908370972;"No"
"row_20";"ENSG00000118194";"TNNT2";"troponin T2, cardiac type";3911;1,17680251598358;"No"
