"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000153956";"CACNA2D1";"calcium voltage-gated channel auxiliary subunit alpha2delta 1";17;136,629776000977;"Yes"
"row_1";"ENSG00000007402";"CACNA2D2";"calcium voltage-gated channel auxiliary subunit alpha2delta 2";21;134,420455932617;"Yes"
"row_2";"ENSG00000157388";"CACNA1D";"calcium voltage-gated channel subunit alpha1 D";305;57,3151473999023;"Yes"
"row_3";"ENSG00000105605";"CACNG7";"calcium voltage-gated channel auxiliary subunit gamma 7";490;43,162296295166;"Yes"
"row_4";"ENSG00000148408";"CACNA1B";"calcium voltage-gated channel subunit alpha1 B";543;40,0968589782715;"Yes"
"row_5";"ENSG00000166862";"CACNG2";"calcium voltage-gated channel auxiliary subunit gamma 2";662;33,9011688232422;"Yes"
"row_6";"ENSG00000006283";"CACNA1G";"calcium voltage-gated channel subunit alpha1 G";679;33,1084671020508;"Yes"
"row_7";"ENSG00000182389";"CACNB4";"calcium voltage-gated channel auxiliary subunit beta 4";1015;23,1379776000977;"Yes"
"row_8";"ENSG00000075461";"CACNG4";"calcium voltage-gated channel auxiliary subunit gamma 4";1219;18,3593482971191;"Yes"
"row_9";"ENSG00000075429";"CACNG5";"calcium voltage-gated channel auxiliary subunit gamma 5";1401;14,6311292648315;"Yes"
"row_10";"ENSG00000165995";"CACNB2";"calcium voltage-gated channel auxiliary subunit beta 2";1674;10,5776214599609;"Yes"
"row_11";"ENSG00000198216";"CACNA1E";"calcium voltage-gated channel subunit alpha1 E";1876;8,6439323425293;"Yes"
"row_12";"ENSG00000196557";"CACNA1H";"calcium voltage-gated channel subunit alpha1 H";1945;7,94036436080933;"Yes"
"row_13";"ENSG00000102001";"CACNA1F";"calcium voltage-gated channel subunit alpha1 F";2840;3,07384133338928;"No"
"row_14";"ENSG00000130433";"CACNG6";"calcium voltage-gated channel auxiliary subunit gamma 6";2858;3,07384133338928;"No"
"row_15";"ENSG00000108878";"CACNG1";"calcium voltage-gated channel auxiliary subunit gamma 1";3078;3,04195094108582;"No"
"row_16";"ENSG00000100346";"CACNA1I";"calcium voltage-gated channel subunit alpha1 I";3370;2,05284380912781;"No"
"row_17";"ENSG00000151067";"CACNA1C";"calcium voltage-gated channel subunit alpha1 C";4203;0,997101008892059;"No"
"row_18";"ENSG00000157445";"CACNA2D3";"calcium voltage-gated channel auxiliary subunit alpha2delta 3";5781;0,377130270004272;"No"
"row_19";"ENSG00000167535";"CACNB3";"calcium voltage-gated channel auxiliary subunit beta 3";6020;0,308648586273193;"No"
"row_20";"ENSG00000141837";"CACNA1A";"calcium voltage-gated channel subunit alpha1 A";7212;0,114214479923248;"No"
"row_21";"ENSG00000006116";"CACNG3";"calcium voltage-gated channel auxiliary subunit gamma 3";9800;0;"No"
"row_22";"ENSG00000081248";"CACNA1S";"calcium voltage-gated channel subunit alpha1 S";9906;0;"No"
"row_23";"ENSG00000151062";"CACNA2D4";"calcium voltage-gated channel auxiliary subunit alpha2delta 4";10850;0;"No"
"row_24";"ENSG00000067191";"CACNB1";"calcium voltage-gated channel auxiliary subunit beta 1";27634;-0,000662742590066046;"No"
