"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000133101";"CCNA1";"cyclin A1";457;45,2276878356934;"Yes"
"row_1";"ENSG00000115947";"ORC4";"origin recognition complex subunit 4";7196;0,115104340016842;"No"
"row_2";"ENSG00000166508";"MCM7";"minichromosome maintenance complex component 7";7533;0,0851085633039474;"No"
"row_3";"ENSG00000175305";"CCNE2";"cyclin E2";7651;0,0748490542173386;"No"
"row_4";"ENSG00000135336";"ORC3";"origin recognition complex subunit 3";7746;0,0682278722524643;"No"
"row_5";"ENSG00000091651";"ORC6";"origin recognition complex subunit 6";8420;0,0275533888489008;"No"
"row_6";"ENSG00000105173";"CCNE1";"cyclin E1";8739;0,0159873887896538;"No"
"row_7";"ENSG00000006634";"DBF4";"DBF4-CDC7 kinase regulatory subunit";9765;2,32737893384183e-05;"No"
"row_8";"ENSG00000115942";"ORC2";"origin recognition complex subunit 2";27570;-0,000351962196873501;"No"
"row_9";"ENSG00000112118";"MCM3";"minichromosome maintenance complex component 3";27858;-0,00259147677570581;"No"
"row_10";"ENSG00000167513";"CDT1";"chromatin licensing and DNA replication factor 1";28180;-0,00744097447022796;"No"
"row_11";"ENSG00000073111";"MCM2";"minichromosome maintenance complex component 2";28909;-0,0290327481925488;"No"
"row_12";"ENSG00000164815";"ORC5";"origin recognition complex subunit 5";28980;-0,0318223983049393;"No"
"row_13";"ENSG00000093009";"CDC45";"cell division cycle 45";29081;-0,0357245430350304;"No"
"row_14";"ENSG00000140534";"TICRR";"TOPBP1 interacting checkpoint and replication regulator";29195;-0,0415411740541458;"No"
"row_15";"ENSG00000085840";"ORC1";"origin recognition complex subunit 1";29255;-0,0446340478956699;"No"
"row_16";"ENSG00000172167";"MTBP";"MDM2 binding protein";29963;-0,0896458700299263;"No"
"row_17";"ENSG00000076003";"MCM6";"minichromosome maintenance complex component 6";30149;-0,106886215507984;"No"
"row_18";"ENSG00000097046";"CDC7";"cell division cycle 7";30605;-0,159037873148918;"No"
"row_19";"ENSG00000123374";"CDK2";"cyclin dependent kinase 2";30713;-0,174884811043739;"No"
"row_20";"ENSG00000104738";"MCM4";"minichromosome maintenance complex component 4";30983;-0,22308461368084;"No"
"row_21";"ENSG00000100297";"MCM5";"minichromosome maintenance complex component 5";31240;-0,268726348876953;"No"
"row_22";"ENSG00000094804";"CDC6";"cell division cycle 6";31475;-0,326503604650497;"No"
"row_23";"ENSG00000145386";"CCNA2";"cyclin A2";33304;-1,09475922584534;"No"
