"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000168765";"GSTM4";"glutathione S-transferase mu 4";89;57,258243560791;"Yes"
"row_1";"ENSG00000213366";"GSTM2";"glutathione S-transferase mu 2";315;26,1544094085693;"Yes"
"row_2";"ENSG00000243955";"GSTA1";"glutathione S-transferase alpha 1";401;22,0393886566162;"Yes"
"row_3";"ENSG00000099984";"GSTT2";"glutathione S-transferase theta 2 (gene/pseudogene)";493;17,8463726043701;"Yes"
"row_4";"ENSG00000134184";"GSTM1";"glutathione S-transferase mu 1";960;8,68507671356201;"Yes"
"row_5";"ENSG00000244067";"GSTA2";"glutathione S-transferase alpha 2";1313;5,72630739212036;"Yes"
"row_6";"ENSG00000181019";"NQO1";"NAD(P)H quinone dehydrogenase 1";2656;1,73892712593079;"No"
"row_7";"ENSG00000134202";"GSTM3";"glutathione S-transferase mu 3";3112;1,05573558807373;"No"
"row_8";"ENSG00000133433";"GSTT2B";"glutathione S-transferase theta 2B";4755;0,487151592969894;"No"
"row_9";"ENSG00000170899";"GSTA4";"glutathione S-transferase alpha 4";5326;0,313299626111984;"No"
"row_10";"ENSG00000143198";"MGST3";"microsomal glutathione S-transferase 3";7500;0,0509602911770344;"No"
"row_11";"ENSG00000116044";"NFE2L2";"NFE2 like bZIP transcription factor 2";8957;0,00417897896841168;"No"
"row_12";"ENSG00000198431";"TXNRD1";"thioredoxin reductase 1";9333;0,00054491515038535;"No"
"row_13";"ENSG00000134201";"GSTM5";"glutathione S-transferase mu 5";10336;0;"No"
"row_14";"ENSG00000174156";"GSTA3";"glutathione S-transferase alpha 3";11420;0;"No"
"row_15";"ENSG00000182793";"GSTA5";"glutathione S-transferase alpha 5";11896;0;"No"
"row_16";"ENSG00000084207";"GSTP1";"glutathione S-transferase pi 1";27751;-0,000175305787706748;"No"
"row_17";"ENSG00000079999";"KEAP1";"kelch like ECH associated protein 1";30881;-0,143846198916435;"No"
"row_18";"ENSG00000008394";"MGST1";"microsomal glutathione S-transferase 1";32266;-0,393850535154343;"No"
"row_19";"ENSG00000085871";"MGST2";"microsomal glutathione S-transferase 2";32674;-0,540617167949677;"No"
"row_20";"ENSG00000148834";"GSTO1";"glutathione S-transferase omega 1";32907;-0,6595339179039;"No"
"row_21";"ENSG00000100292";"HMOX1";"heme oxygenase 1";34221;-1,5089236497879;"No"
"row_22";"ENSG00000065621";"GSTO2";"glutathione S-transferase omega 2";34302;-1,68364822864532;"No"
