"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000109424";"UCP1";"uncoupling protein 1";2892;1,34728848934174;"No"
"row_1";"ENSG00000189043";"NDUFA4";"NDUFA4 mitochondrial complex associated";5642;0,249065548181534;"No"
"row_2";"ENSG00000183513";"COA5";"cytochrome c oxidase assembly factor 5";6559;0,124147072434425;"No"
"row_3";"ENSG00000023228";"NDUFS1";"NADH:ubiquinone oxidoreductase core subunit S1";7013;0,0823825672268867;"No"
"row_4";"ENSG00000158864";"NDUFS2";"NADH:ubiquinone oxidoreductase core subunit S2";7426;0,0560988076031208;"No"
"row_5";"ENSG00000014919";"COX15";"cytochrome c oxidase assembly homolog COX15";7718;0,0394672937691212;"No"
"row_6";"ENSG00000164258";"NDUFS4";"NADH:ubiquinone oxidoreductase subunit S4";8816;0,0063632819801569;"No"
"row_7";"ENSG00000178127";"NDUFV2";"NADH:ubiquinone oxidoreductase core subunit V2";9384;0,000335425487719476;"No"
"row_8";"ENSG00000101247";"NDUFAF5";"NADH:ubiquinone oxidoreductase complex assembly factor 5";9457;0,000154636611114256;"No"
"row_9";"ENSG00000152234";"ATP5F1A";"ATP synthase F1 subunit alpha";9484;6,75452320137993e-05;"No"
"row_10";"ENSG00000176340";"COX8A";"cytochrome c oxidase subunit 8A";9530;7,26383723304025e-06;"No"
"row_11";"ENSG00000156170";"NDUFAF6";"NADH:ubiquinone oxidoreductase complex assembly factor 6";9536;6,33272338745883e-06;"No"
"row_12";"ENSG00000124172";"ATP5F1E";"ATP synthase F1 subunit epsilon";10134;0;"No"
"row_13";"ENSG00000133983";"COX16";"cytochrome c oxidase assembly factor COX16";10329;0;"No"
"row_14";"ENSG00000151366";"NDUFC2";"NADH:ubiquinone oxidoreductase subunit C2";10660;0;"No"
"row_15";"ENSG00000156885";"COX6A2";"cytochrome c oxidase subunit 6A2";10735;0;"No"
"row_16";"ENSG00000203667";"COX20";"cytochrome c oxidase assembly factor COX20";27868;-0,000683742458932102;"No"
"row_17";"ENSG00000166260";"COX11";"cytochrome c oxidase copper chaperone COX11";28027;-0,00185244169551879;"No"
"row_18";"ENSG00000126267";"COX6B1";"cytochrome c oxidase subunit 6B1";28222;-0,0037998438347131;"No"
"row_19";"ENSG00000167792";"NDUFV1";"NADH:ubiquinone oxidoreductase core subunit V1";28449;-0,00727732013911009;"No"
"row_20";"ENSG00000140740";"UQCRC2";"ubiquinol-cytochrome c reductase core protein 2";28570;-0,00966479349881411;"No"
"row_21";"ENSG00000178057";"NDUFAF3";"NADH:ubiquinone oxidoreductase complex assembly factor 3";29207;-0,0276912041008472;"No"
"row_22";"ENSG00000156467";"UQCRB";"ubiquinol-cytochrome c reductase binding protein";29581;-0,0440079532563686;"No"
"row_23";"ENSG00000143252";"SDHC";"succinate dehydrogenase complex subunit C";29744;-0,0508750714361668;"No"
