"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000189043";"NDUFA4";"NDUFA4 mitochondrial complex associated";5642;0,249065548181534;"No"
"row_1";"ENSG00000128609";"NDUFA5";"NADH:ubiquinone oxidoreductase subunit A5";6396;0,140518516302109;"No"
"row_2";"ENSG00000065518";"NDUFB4";"NADH:ubiquinone oxidoreductase subunit B4";7007;0,0830157548189163;"No"
"row_3";"ENSG00000023228";"NDUFS1";"NADH:ubiquinone oxidoreductase core subunit S1";7013;0,0823825672268867;"No"
"row_4";"ENSG00000158864";"NDUFS2";"NADH:ubiquinone oxidoreductase core subunit S2";7426;0,0560988076031208;"No"
"row_5";"ENSG00000136521";"NDUFB5";"NADH:ubiquinone oxidoreductase subunit B5";7494;0,0512463860213757;"No"
"row_6";"ENSG00000164258";"NDUFS4";"NADH:ubiquinone oxidoreductase subunit S4";8816;0,0063632819801569;"No"
"row_7";"ENSG00000178127";"NDUFV2";"NADH:ubiquinone oxidoreductase core subunit V2";9384;0,000335425487719476;"No"
"row_8";"ENSG00000168653";"NDUFS5";"NADH:ubiquinone oxidoreductase subunit S5";9517;1,62391570484033e-05;"No"
"row_9";"ENSG00000151366";"NDUFC2";"NADH:ubiquinone oxidoreductase subunit C2";10660;0;"No"
"row_10";"ENSG00000165264";"NDUFB6";"NADH:ubiquinone oxidoreductase subunit B6";28026;-0,00183730886783451;"No"
"row_11";"ENSG00000167792";"NDUFV1";"NADH:ubiquinone oxidoreductase core subunit V1";28449;-0,00727732013911009;"No"
"row_12";"ENSG00000198886";"MT-ND4";"NADH dehydrogenase subunit 4";28466;-0,00765751162543893;"No"
"row_13";"ENSG00000198695";"MT-ND6";"NADH dehydrogenase subunit 6";28792;-0,0143941259011626;"No"
"row_14";"ENSG00000120948";"TARDBP";"TAR DNA binding protein";29081;-0,0229582507163286;"No"
"row_15";"ENSG00000198888";"MT-ND1";"NADH dehydrogenase subunit 1";29448;-0,0371782965958118;"No"
"row_16";"ENSG00000198840";"MT-ND3";"NADH dehydrogenase subunit 3";29465;-0,037828866392374;"No"
"row_17";"ENSG00000115286";"NDUFS7";"NADH:ubiquinone oxidoreductase core subunit S7";29760;-0,0517502576112747;"No"
"row_18";"ENSG00000090266";"NDUFB2";"NADH:ubiquinone oxidoreductase subunit B2";29795;-0,0540437065064907;"No"
"row_19";"ENSG00000198763";"MT-ND2";"NADH dehydrogenase subunit 2";29907;-0,0595735311508179;"No"
"row_20";"ENSG00000198786";"MT-ND5";"NADH dehydrogenase subunit 5";30075;-0,0707301273941994;"No"
"row_21";"ENSG00000131495";"NDUFA2";"NADH:ubiquinone oxidoreductase subunit A2";30160;-0,0754333585500717;"No"
"row_22";"ENSG00000099795";"NDUFB7";"NADH:ubiquinone oxidoreductase subunit B7";30172;-0,076325349509716;"No"
"row_23";"ENSG00000130414";"NDUFA10";"NADH:ubiquinone oxidoreductase subunit A10";30345;-0,0912328809499741;"No"
"row_24";"ENSG00000186010";"NDUFA13";"NADH:ubiquinone oxidoreductase subunit A13";30396;-0,0954384580254555;"No"
"row_25";"ENSG00000183648";"NDUFB1";"NADH:ubiquinone oxidoreductase subunit B1";30769;-0,133589804172516;"Yes"
"row_26";"ENSG00000166136";"NDUFB8";"NADH:ubiquinone oxidoreductase subunit B8";30833;-0,139052987098694;"Yes"
"row_27";"ENSG00000147123";"NDUFB11";"NADH:ubiquinone oxidoreductase subunit B11";30924;-0,149349674582481;"Yes"
"row_28";"ENSG00000147684";"NDUFB9";"NADH:ubiquinone oxidoreductase subunit B9";31095;-0,172286674380302;"Yes"
"row_29";"ENSG00000004779";"NDUFAB1";"NADH:ubiquinone oxidoreductase subunit AB1";31296;-0,20214980840683;"Yes"
"row_30";"ENSG00000160194";"NDUFV3";"NADH:ubiquinone oxidoreductase subunit V3";31383;-0,211017549037933;"Yes"
"row_31";"ENSG00000125356";"NDUFA1";"NADH:ubiquinone oxidoreductase subunit A1";31429;-0,220244288444519;"Yes"
"row_32";"ENSG00000109390";"NDUFC1";"NADH:ubiquinone oxidoreductase subunit C1";31452;-0,224055841565132;"Yes"
"row_33";"ENSG00000174886";"NDUFA11";"NADH:ubiquinone oxidoreductase subunit A11";31707;-0,268207728862762;"Yes"
"row_34";"ENSG00000119421";"NDUFA8";"NADH:ubiquinone oxidoreductase subunit A8";31795;-0,292354375123978;"Yes"
"row_35";"ENSG00000184752";"NDUFA12";"NADH:ubiquinone oxidoreductase subunit A12";31986;-0,319337218999863;"Yes"
"row_36";"ENSG00000139180";"NDUFA9";"NADH:ubiquinone oxidoreductase subunit A9";32164;-0,36032423377037;"Yes"
"row_37";"ENSG00000145494";"NDUFS6";"NADH:ubiquinone oxidoreductase subunit S6";32215;-0,372784227132797;"Yes"
"row_38";"ENSG00000110717";"NDUFS8";"NADH:ubiquinone oxidoreductase core subunit S8";32818;-0,618269205093384;"Yes"
"row_39";"ENSG00000119013";"NDUFB3";"NADH:ubiquinone oxidoreductase subunit B3";32848;-0,63382625579834;"Yes"
"row_40";"ENSG00000267855";"NDUFA7";"NADH:ubiquinone oxidoreductase subunit A7";32982;-0,712732911109924;"Yes"
"row_41";"ENSG00000140990";"NDUFB10";"NADH:ubiquinone oxidoreductase subunit B10";33892;-1,09575128555298;"Yes"
"row_42";"ENSG00000170906";"NDUFA3";"NADH:ubiquinone oxidoreductase subunit A3";34653;-2,6153781414032;"Yes"
"row_43";"ENSG00000184983";"NDUFA6";"NADH:ubiquinone oxidoreductase subunit A6";34846;-3,16789269447327;"Yes"
"row_44";"ENSG00000213619";"NDUFS3";"NADH:ubiquinone oxidoreductase core subunit S3";36006;-17,434118270874;"Yes"
