"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04510";"Focal adhesion";"12/130";"202/8567";5,35976936542404e-05;0,0119522856848956;"ENSG00000037280/ENSG00000077943/ENSG00000102755/ENSG00000105971/ENSG00000105974/ENSG00000105976/ENSG00000118971/ENSG00000139219/ENSG00000166501/ENSG00000188153/ENSG00000197565/ENSG00000197702";"FLT4/ITGA8/FLT1/CAV2/CAV1/MET/CCND2/COL2A1/PRKCB/COL4A5/COL4A6/PARVA";"hsa:2324/hsa:8516/hsa:2321/hsa:858/hsa:857/hsa:4233/hsa:894/hsa:1280/hsa:5579/hsa:1287/hsa:1288/hsa:55742";12
"hsa04518";"Integrin signaling";"9/130";"154/8567";0,000536087351070288;0,0597737396443372;"ENSG00000037280/ENSG00000077943/ENSG00000102755/ENSG00000105976/ENSG00000118971/ENSG00000139219/ENSG00000188153/ENSG00000197565/ENSG00000197702";"FLT4/ITGA8/FLT1/MET/CCND2/COL2A1/COL4A5/COL4A6/PARVA";"hsa:2324/hsa:8516/hsa:2321/hsa:4233/hsa:894/hsa:1280/hsa:1287/hsa:1288/hsa:55742";9
"hsa05202";"Transcriptional misregulation in cancer";"10/130";"200/8567";0,000898546873297259;0,0667919842484296;"ENSG00000005073/ENSG00000102755/ENSG00000105976/ENSG00000118971/ENSG00000124813/ENSG00000126778/ENSG00000135903/ENSG00000149948/ENSG00000159216/ENSG00000184937";"HOXA11/FLT1/MET/CCND2/RUNX2/SIX1/PAX3/HMGA2/RUNX1/WT1";"hsa:3207/hsa:2321/hsa:4233/hsa:894/hsa:860/hsa:6495/hsa:5077/hsa:8091/hsa:861/hsa:7490";10
"hsa05205";"Proteoglycans in cancer";"9/130";"204/8567";0,00378812109221961;0,139445987091867;"ENSG00000105971/ENSG00000105974/ENSG00000105976/ENSG00000111679/ENSG00000147065/ENSG00000166501/ENSG00000169884/ENSG00000173083/ENSG00000233608";"CAV2/CAV1/MET/PTPN6/MSN/PRKCB/WNT10B/HPSE/TWIST2";"hsa:858/hsa:857/hsa:4233/hsa:5777/hsa:4478/hsa:5579/hsa:7480/hsa:10855/hsa:117581";9
"hsa04612";"Antigen processing and presentation";"5/130";"72/8567";0,00462617670917843;0,139445987091867;"ENSG00000179344/ENSG00000196126/ENSG00000204388/ENSG00000204389/ENSG00000204390";"HLA-DQB1/HLA-DRB1/HSPA1B/HSPA1A/HSPA1L";"hsa:3119/hsa:3123/hsa:3304/hsa:3303/hsa:3305";5
"hsa04144";"Endocytosis";"10/130";"250/8567";0,00463484821528323;0,139445987091867;"ENSG00000047365/ENSG00000078053/ENSG00000105971/ENSG00000105974/ENSG00000107295/ENSG00000140600/ENSG00000164695/ENSG00000204388/ENSG00000204389/ENSG00000204390";"ARAP2/AMPH/CAV2/CAV1/SH3GL2/SH3GL3/CHMP4C/HSPA1B/HSPA1A/HSPA1L";"hsa:116984/hsa:273/hsa:858/hsa:857/hsa:6456/hsa:6457/hsa:92421/hsa:3304/hsa:3303/hsa:3305";10
"hsa04974";"Protein digestion and absorption";"6/130";"103/8567";0,0046807475342722;0,139445987091867;"ENSG00000092068/ENSG00000124749/ENSG00000139219/ENSG00000188153/ENSG00000188517/ENSG00000197565";"SLC7A8/COL21A1/COL2A1/COL4A5/COL25A1/COL4A6";"hsa:23428/hsa:81578/hsa:1280/hsa:1287/hsa:84570/hsa:1288";6
"hsa04659";"Th17 cell differentiation";"6/130";"107/8567";0,00563339525414328;0,139445987091867;"ENSG00000106546/ENSG00000131196/ENSG00000159216/ENSG00000179344/ENSG00000196083/ENSG00000196126";"AHR/NFATC1/RUNX1/HLA-DQB1/IL1RAP/HLA-DRB1";"hsa:196/hsa:4772/hsa:861/hsa:3119/hsa:3556/hsa:3123";6
"hsa04010";"MAPK signaling pathway";"11/130";"299/8567";0,00565669984186538;0,139445987091867;"ENSG00000037280/ENSG00000102678/ENSG00000102755/ENSG00000105976/ENSG00000131196/ENSG00000166501/ENSG00000196083/ENSG00000196557/ENSG00000204388/ENSG00000204389/ENSG00000204390";"FLT4/FGF9/FLT1/MET/NFATC1/PRKCB/IL1RAP/CACNA1H/HSPA1B/HSPA1A/HSPA1L";"hsa:2324/hsa:2254/hsa:2321/hsa:4233/hsa:4772/hsa:5579/hsa:3556/hsa:8912/hsa:3304/hsa:3303/hsa:3305";11
"hsa04360";"Axon guidance";"8/130";"182/8567";0,00638974190686992;0,139445987091867;"ENSG00000044524/ENSG00000065320/ENSG00000105976/ENSG00000116106/ENSG00000135333/ENSG00000145147/ENSG00000145242/ENSG00000170381";"EPHA3/NTN1/MET/EPHA4/EPHA7/SLIT2/EPHA5/SEMA3E";"hsa:2042/hsa:9423/hsa:4233/hsa:2043/hsa:2045/hsa:9353/hsa:2044/hsa:9723";8
