"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";23;113,686111450195;"Yes"
"row_1";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";69;91,166015625;"Yes"
"row_2";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";657;33,3558692932129;"Yes"
"row_3";"ENSG00000121966";"CXCR4";"C-X-C motif chemokine receptor 4";1075;19,8839893341064;"Yes"
"row_4";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";1166;17,8972282409668;"Yes"
"row_5";"ENSG00000114450";"GNB4";"G protein subunit beta 4";1174;17,840051651001;"Yes"
"row_6";"ENSG00000149269";"PAK1";"p21 (RAC1) activated kinase 1";2094;6,68273782730103;"Yes"
"row_7";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";2552;4,57122945785522;"Yes"
"row_8";"ENSG00000127928";"GNGT1";"G protein subunit gamma transducin 1";2630;3,99945998191833;"Yes"
"row_9";"ENSG00000169750";"RAC3";"Rac family small GTPase 3";3357;2,13643980026245;"No"
"row_10";"ENSG00000111664";"GNB3";"G protein subunit beta 3";4237;1,1785272359848;"No"
"row_11";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";6073;0,490253537893295;"No"
"row_12";"ENSG00000078369";"GNB1";"G protein subunit beta 1";6240;0,430296957492828;"No"
"row_13";"ENSG00000172757";"CFL1";"cofilin 1";7038;0,234042003750801;"No"
"row_14";"ENSG00000172354";"GNB2";"G protein subunit beta 2";7098;0,219885438680649;"No"
"row_15";"ENSG00000136238";"RAC1";"Rac family small GTPase 1";7421;0,168201580643654;"No"
"row_16";"ENSG00000069966";"GNB5";"G protein subunit beta 5";8403;0,0643356069922447;"No"
"row_17";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";10126;0,00077296094968915;"No"
"row_18";"ENSG00000127920";"GNG11";"G protein subunit gamma 11";10970;0;"No"
"row_19";"ENSG00000160791";"CCR5";"C-C motif chemokine receptor 5";11553;0;"No"
"row_20";"ENSG00000162188";"GNG3";"G protein subunit gamma 3";11586;0;"No"
"row_21";"ENSG00000167083";"GNGT2";"G protein subunit gamma transducin 2";11805;0;"No"
"row_22";"ENSG00000242616";"GNG10";"G protein subunit gamma 10";21204;0;"No"
"row_23";"ENSG00000106683";"LIMK1";"LIM domain kinase 1";28547;-0,000683936930727214;"No"
"row_24";"ENSG00000165410";"CFL2";"cofilin 2";32367;-0,474536329507828;"No"
"row_25";"ENSG00000128340";"RAC2";"Rac family small GTPase 2";32881;-0,753075301647186;"No"
