"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";23;113,686111450195;"Yes"
"row_1";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";69;91,166015625;"Yes"
"row_2";"ENSG00000198121";"LPAR1";"lysophosphatidic acid receptor 1";329;52,948616027832;"Yes"
"row_3";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";657;33,3558692932129;"Yes"
"row_4";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";757;29,3131160736084;"Yes"
"row_5";"ENSG00000181072";"CHRM2";"cholinergic receptor muscarinic 2";858;25,4938049316406;"Yes"
"row_6";"ENSG00000171517";"LPAR3";"lysophosphatidic acid receptor 3";952;23,2304878234863;"Yes"
"row_7";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";1166;17,8972282409668;"Yes"
"row_8";"ENSG00000114450";"GNB4";"G protein subunit beta 4";1174;17,840051651001;"Yes"
"row_9";"ENSG00000064547";"LPAR2";"lysophosphatidic acid receptor 2";2363;5,33967924118042;"No"
"row_10";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";2552;4,57122945785522;"No"
"row_11";"ENSG00000127928";"GNGT1";"G protein subunit gamma transducin 1";2630;3,99945998191833;"No"
"row_12";"ENSG00000111664";"GNB3";"G protein subunit beta 3";4237;1,1785272359848;"No"
"row_13";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";4737;0,877782940864563;"No"
"row_14";"ENSG00000141506";"PIK3R5";"phosphoinositide-3-kinase regulatory subunit 5";4824;0,877782940864563;"No"
"row_15";"ENSG00000168539";"CHRM1";"cholinergic receptor muscarinic 1";4913;0,877782940864563;"No"
"row_16";"ENSG00000181104";"F2R";"coagulation factor II thrombin receptor";5812;0,614945232868195;"No"
"row_17";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";6073;0,490253537893295;"No"
"row_18";"ENSG00000078369";"GNB1";"G protein subunit beta 1";6240;0,430296957492828;"No"
"row_19";"ENSG00000172354";"GNB2";"G protein subunit beta 2";7098;0,219885438680649;"No"
"row_20";"ENSG00000069966";"GNB5";"G protein subunit beta 5";8403;0,0643356069922447;"No"
"row_21";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";9658;0,00776909710839391;"No"
"row_22";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";10126;0,00077296094968915;"No"
"row_23";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";10259;9,82962956186384e-05;"No"
"row_24";"ENSG00000127920";"GNG11";"G protein subunit gamma 11";10970;0;"No"
"row_25";"ENSG00000139679";"LPAR6";"lysophosphatidic acid receptor 6";11217;0;"No"
"row_26";"ENSG00000147145";"LPAR4";"lysophosphatidic acid receptor 4";11345;0;"No"
"row_27";"ENSG00000162188";"GNG3";"G protein subunit gamma 3";11586;0;"No"
"row_28";"ENSG00000167083";"GNGT2";"G protein subunit gamma transducin 2";11805;0;"No"
"row_29";"ENSG00000184574";"LPAR5";"lysophosphatidic acid receptor 5";12763;0;"No"
"row_30";"ENSG00000242616";"GNG10";"G protein subunit gamma 10";21204;0;"No"
"row_31";"ENSG00000276231";"PIK3R6";"phosphoinositide-3-kinase regulatory subunit 6";26322;0;"No"
