"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000072133";"RPS6KA6";"ribosomal protein S6 kinase A6";86;85,9310989379883;"Yes"
"row_1";"ENSG00000083290";"ULK2";"unc-51 like autophagy activating kinase 2";88;85,8168182373047;"Yes"
"row_2";"ENSG00000071242";"RPS6KA2";"ribosomal protein S6 kinase A2";656;33,3593673706055;"Yes"
"row_3";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";757;29,3131160736084;"Yes"
"row_4";"ENSG00000173511";"VEGFB";"vascular endothelial growth factor B";4587;0,960119545459747;"No"
"row_5";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";4737;0,877782940864563;"No"
"row_6";"ENSG00000141506";"PIK3R5";"phosphoinositide-3-kinase regulatory subunit 5";4824;0,877782940864563;"No"
"row_7";"ENSG00000150630";"VEGFC";"vascular endothelial growth factor C";4843;0,877782940864563;"No"
"row_8";"ENSG00000103197";"TSC2";"TSC complex subunit 2";5777;0,632033944129944;"No"
"row_9";"ENSG00000140474";"ULK3";"unc-51 like kinase 3";6072;0,491050362586975;"No"
"row_10";"ENSG00000102547";"CAB39L";"calcium binding protein 39 like";6277;0,419602990150452;"No"
"row_11";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";6573;0,33651077747345;"No"
"row_12";"ENSG00000177169";"ULK1";"unc-51 like autophagy activating kinase 1";6591;0,33178374171257;"No"
"row_13";"ENSG00000266173";"STRADA";"STE20 related adaptor alpha";7009;0,241408511996269;"No"
"row_14";"ENSG00000106615";"RHEB";"Ras homolog, mTORC1 binding";7024;0,236382752656937;"No"
"row_15";"ENSG00000100644";"HIF1A";"hypoxia inducible factor 1 subunit alpha";7029;0,235571399331093;"No"
"row_16";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";7399;0,17045621573925;"No"
"row_17";"ENSG00000112715";"VEGFA";"vascular endothelial growth factor A";8139;0,0842171609401703;"No"
"row_18";"ENSG00000119630";"PGF";"placental growth factor";8261;0,0731711238622665;"No"
"row_19";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";8520;0,0565567053854465;"No"
"row_20";"ENSG00000162409";"PRKAA2";"protein kinase AMP-activated catalytic subunit alpha 2";8797;0,0389710813760757;"No"
"row_21";"ENSG00000105647";"PIK3R2";"phosphoinositide-3-kinase regulatory subunit 2";8829;0,0370017327368259;"No"
"row_22";"ENSG00000132356";"PRKAA1";"protein kinase AMP-activated catalytic subunit alpha 1";9469;0,0127088222652674;"No"
"row_23";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";9658;0,00776909710839391;"No"
"row_24";"ENSG00000164327";"RICTOR";"RPTOR independent companion of MTOR complex 2";9937;0,00263536721467972;"No"
"row_25";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";10259;9,82962956186384e-05;"No"
"row_26";"ENSG00000198793";"MTOR";"mechanistic target of rapamycin kinase";10317;5,0272251428396e-06;"No"
"row_27";"ENSG00000117461";"PIK3R3";"phosphoinositide-3-kinase regulatory subunit 3";10778;0;"No"
"row_28";"ENSG00000165197";"VEGFD";"vascular endothelial growth factor D";11733;0;"No"
