"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000112038";"OPRM1";"opioid receptor mu 1";66;92,2568664550781;"Yes"
"row_1";"ENSG00000117971";"CHRNB4";"cholinergic receptor nicotinic beta 4 subunit";75;89,9196929931641;"Yes"
"row_2";"ENSG00000133019";"CHRM3";"cholinergic receptor muscarinic 3";85;87,2307586669922;"Yes"
"row_3";"ENSG00000105737";"GRIK5";"glutamate ionotropic receptor kainate type subunit 5";114;78,9143829345703;"Yes"
"row_4";"ENSG00000164418";"GRIK2";"glutamate ionotropic receptor kainate type subunit 2";162;70,2065658569336;"Yes"
"row_5";"ENSG00000125384";"PTGER2";"prostaglandin E receptor 2";189;66,971076965332;"Yes"
"row_6";"ENSG00000160716";"CHRNB2";"cholinergic receptor nicotinic beta 2 subunit";241;61,115104675293;"Yes"
"row_7";"ENSG00000185149";"NPY2R";"neuropeptide Y receptor Y2";259;59,1253929138184;"Yes"
"row_8";"ENSG00000078549";"ADCYAP1R1";"ADCYAP receptor type I";272;57,9103927612305;"Yes"
"row_9";"ENSG00000056291";"NPFFR2";"neuropeptide FF receptor 2";292;55,9933204650879;"Yes"
"row_10";"ENSG00000080644";"CHRNA3";"cholinergic receptor nicotinic alpha 3 subunit";308;54,3339729309082;"Yes"
"row_11";"ENSG00000198121";"LPAR1";"lysophosphatidic acid receptor 1";329;52,948616027832;"Yes"
"row_12";"ENSG00000120251";"GRIA2";"glutamate ionotropic receptor AMPA type subunit 2";350;51,0907363891602;"Yes"
"row_13";"ENSG00000149295";"DRD2";"dopamine receptor D2";353;51,029972076416;"Yes"
"row_14";"ENSG00000099957";"P2RX6";"purinergic receptor P2X 6";373;49,0847702026367;"Yes"
"row_15";"ENSG00000196277";"GRM7";"glutamate metabotropic receptor 7";438;44,9010772705078;"Yes"
"row_16";"ENSG00000151617";"EDNRA";"endothelin receptor type A";457;43,8253784179688;"Yes"
"row_17";"ENSG00000166206";"GABRB3";"gamma-aminobutyric acid type A receptor subunit beta3";537;38,7345962524414;"Yes"
"row_18";"ENSG00000010438";"PRSS3";"serine protease 3";561;37,3877944946289;"Yes"
"row_19";"ENSG00000116329";"OPRD1";"opioid receptor delta 1";584;36,3102073669434;"Yes"
"row_20";"ENSG00000152578";"GRIA4";"glutamate ionotropic receptor AMPA type subunit 4";585;36,3102073669434;"Yes"
"row_21";"ENSG00000106018";"VIPR2";"vasoactive intestinal peptide receptor 2";624;34,4707145690918;"Yes"
"row_22";"ENSG00000204681";"GABBR1";"gamma-aminobutyric acid type B receptor subunit 1";647;33,5719299316406;"Yes"
"row_23";"ENSG00000158748";"HTR6";"5-hydroxytryptamine receptor 6";652;33,4307174682617;"Yes"
"row_24";"ENSG00000182256";"GABRG3";"gamma-aminobutyric acid type A receptor subunit gamma3";669;32,8160171508789;"Yes"
"row_25";"ENSG00000112164";"GLP1R";"glucagon like peptide 1 receptor";727;30,594352722168;"Yes"
"row_26";"ENSG00000050628";"PTGER3";"prostaglandin E receptor 3";732;30,2622776031494;"Yes"
