"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000128683";"GAD1";"glutamate decarboxylase 1";2088;6,78499126434326;"No"
"row_1";"ENSG00000134240";"HMGCS2";"3-hydroxy-3-methylglutaryl-CoA synthase 2";3127;2,85569286346436;"No"
"row_2";"ENSG00000083720";"OXCT1";"3-oxoacid CoA-transferase 1";4286;1,12328946590424;"No"
"row_3";"ENSG00000215009";"ACSM4";"acyl-CoA synthetase medium chain family member 4";4410;1,01865589618683;"No"
"row_4";"ENSG00000087299";"L2HGDH";"L-2-hydroxyglutarate dehydrogenase";5722;0,66288685798645;"No"
"row_5";"ENSG00000164039";"BDH2";"3-hydroxybutyrate dehydrogenase 2";7283;0,185139253735542;"No"
"row_6";"ENSG00000143149";"ALDH9A1";"aldehyde dehydrogenase 9 family member A1";9218;0,0208566170185804;"No"
"row_7";"ENSG00000138796";"HADH";"hydroxyacyl-CoA dehydrogenase";9772;0,00525292567908764;"No"
"row_8";"ENSG00000136750";"GAD2";"glutamate decarboxylase 2";11158;0;"No"
"row_9";"ENSG00000163114";"PDHA2";"pyruvate dehydrogenase E1 subunit alpha 2";11627;0;"No"
"row_10";"ENSG00000198754";"OXCT2";"3-oxoacid CoA-transferase 2";13352;0;"No"
"row_11";"ENSG00000084754";"HADHA";"hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha";28523;-0,000525239564012736;"No"
"row_12";"ENSG00000168291";"PDHB";"pyruvate dehydrogenase E1 subunit beta";30525;-0,0917037576436996;"No"
"row_13";"ENSG00000075239";"ACAT1";"acetyl-CoA acetyltransferase 1";30830;-0,11755795776844;"No"
"row_14";"ENSG00000161267";"BDH1";"3-hydroxybutyrate dehydrogenase 1";31257;-0,184751033782959;"No"
"row_15";"ENSG00000117305";"HMGCL";"3-hydroxy-3-methylglutaryl-CoA lyase";31403;-0,208314210176468;"No"
"row_16";"ENSG00000164904";"ALDH7A1";"aldehyde dehydrogenase 7 family member A1";32634;-0,615726232528687;"No"
"row_17";"ENSG00000131828";"PDHA1";"pyruvate dehydrogenase E1 subunit alpha 1";32639;-0,619823753833771;"No"
"row_18";"ENSG00000112972";"HMGCS1";"3-hydroxy-3-methylglutaryl-CoA synthase 1";32807;-0,698061764240265;"No"
"row_19";"ENSG00000081760";"AACS";"acetoacetyl-CoA synthetase";32854;-0,731111168861389;"No"
"row_20";"ENSG00000127884";"ECHS1";"enoyl-CoA hydratase, short chain 1";33022;-0,849838376045227;"No"
"row_21";"ENSG00000113790";"EHHADH";"enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase";33150;-0,953129470348358;"No"
"row_22";"ENSG00000112294";"ALDH5A1";"aldehyde dehydrogenase 5 family member A1";33524;-1,38909196853638;"No"
"row_23";"ENSG00000122971";"ACADS";"acyl-CoA dehydrogenase short chain";33535;-1,40854120254517;"No"
"row_24";"ENSG00000072210";"ALDH3A2";"aldehyde dehydrogenase 3 family member A2";34226;-2,21984386444092;"Yes"
"row_25";"ENSG00000120437";"ACAT2";"acetyl-CoA acetyltransferase 2";34232;-2,23469185829163;"Yes"
"row_26";"ENSG00000111275";"ALDH2";"aldehyde dehydrogenase 2 family member";34357;-2,63565969467163;"Yes"
"row_27";"ENSG00000137124";"ALDH1B1";"aldehyde dehydrogenase 1 family member B1";34521;-3,06146740913391;"Yes"
"row_28";"ENSG00000183044";"ABAT";"4-aminobutyrate aminotransferase";34668;-3,79185557365417;"Yes"
"row_29";"ENSG00000005187";"ACSM3";"acyl-CoA synthetase medium chain family member 3";35169;-6,65783262252808;"Yes"
"row_30";"ENSG00000183549";"ACSM5";"acyl-CoA synthetase medium chain family member 5";35708;-15,5549402236938;"Yes"
"row_31";"ENSG00000183747";"ACSM2A";"acyl-CoA synthetase medium chain family member 2A";35904;-21,5865631103516;"Yes"
"row_32";"ENSG00000198074";"AKR1B10";"aldo-keto reductase family 1 member B10";36305;-53,6137771606445;"Yes"
"row_33";"ENSG00000166743";"ACSM1";"acyl-CoA synthetase medium chain family member 1";36371;-85,6371994018555;"Yes"
