"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000171766";"GATM";"glycine amidinotransferase";2961;3,28957152366638;"No"
"row_1";"ENSG00000167720";"SRR";"serine racemase";5745;0,649723827838898;"No"
"row_2";"ENSG00000123453";"SARDH";"sarcosine dehydrogenase";5747;0,649358808994293;"No"
"row_3";"ENSG00000158578";"ALAS2";"5'-aminolevulinate synthase 2";8858;0,0357205159962177;"No"
"row_4";"ENSG00000091140";"DLD";"dihydrolipoamide dehydrogenase";9327;0,0170406419783831;"No"
"row_5";"ENSG00000113492";"AGXT2";"alanine--glyoxylate aminotransferase 2";10733;0;"No"
"row_6";"ENSG00000124713";"GNMT";"glycine N-methyltransferase";10900;0;"No"
"row_7";"ENSG00000092621";"PHGDH";"phosphoglycerate dehydrogenase";29485;-0,0221058540046215;"No"
"row_8";"ENSG00000182199";"SHMT2";"serine hydroxymethyltransferase 2";31321;-0,195364937186241;"No"
"row_9";"ENSG00000146733";"PSPH";"phosphoserine phosphatase";31421;-0,211980938911438;"No"
"row_10";"ENSG00000135069";"PSAT1";"phosphoserine aminotransferase 1";31919;-0,331450760364532;"No"
"row_11";"ENSG00000189221";"MAOA";"monoamine oxidase A";32134;-0,389103472232819;"No"
"row_12";"ENSG00000100116";"GCAT";"glycine C-acetyltransferase";32485;-0,534878671169281;"Yes"
"row_13";"ENSG00000116761";"CTH";"cystathionine gamma-lyase";32520;-0,547336280345917;"Yes"
"row_14";"ENSG00000160200";"CBS";"cystathionine beta-synthase";32769;-0,678033173084259;"Yes"
"row_15";"ENSG00000131480";"AOC2";"amine oxidase copper containing 2";32878;-0,748318135738373;"Yes"
"row_16";"ENSG00000145020";"AMT";"aminomethyltransferase";32929;-0,781674981117249;"Yes"
"row_17";"ENSG00000023330";"ALAS1";"5'-aminolevulinate synthase 1";33467;-1,291867852211;"Yes"
"row_18";"ENSG00000130005";"GAMT";"guanidinoacetate N-methyltransferase";33738;-1,74916422367096;"Yes"
"row_19";"ENSG00000135094";"SDS";"serine dehydratase";33853;-1,93674921989441;"Yes"
"row_20";"ENSG00000176974";"SHMT1";"serine hydroxymethyltransferase 1";34173;-2,08644890785217;"Yes"
"row_21";"ENSG00000178445";"GLDC";"glycine decarboxylase";34415;-2,8547523021698;"Yes"
"row_22";"ENSG00000168237";"GLYCTK";"glycerate kinase";34813;-4,19626379013062;"Yes"
"row_23";"ENSG00000016391";"CHDH";"choline dehydrogenase";35037;-5,89270544052124;"Yes"
"row_24";"ENSG00000145692";"BHMT";"betaine--homocysteine S-methyltransferase";35041;-5,90907764434814;"Yes"
"row_25";"ENSG00000110887";"DAO";"D-amino acid oxidase";35086;-6,30420351028442;"Yes"
"row_26";"ENSG00000132837";"DMGDH";"dimethylglycine dehydrogenase";35345;-8,16519069671631;"Yes"
"row_27";"ENSG00000131471";"AOC3";"amine oxidase copper containing 3";35484;-10,4504117965698;"Yes"
"row_28";"ENSG00000069535";"MAOB";"monoamine oxidase B";35590;-12,7125110626221;"Yes"
"row_29";"ENSG00000179761";"PIPOX";"pipecolic acid and sarcosine oxidase";35607;-12,8524789810181;"Yes"
"row_30";"ENSG00000172482";"AGXT";"alanine--glyoxylate aminotransferase";36308;-53,7610397338867;"Yes"
