"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000165264";"NDUFB6";"NADH:ubiquinone oxidoreductase subunit B6";7121;0,214915782213211;"No"
"row_1";"ENSG00000128609";"NDUFA5";"NADH:ubiquinone oxidoreductase subunit A5";7500;0,157798662781715;"No"
"row_2";"ENSG00000065518";"NDUFB4";"NADH:ubiquinone oxidoreductase subunit B4";8010;0,0995081514120102;"No"
"row_3";"ENSG00000131495";"NDUFA2";"NADH:ubiquinone oxidoreductase subunit A2";8605;0,0513478927314281;"No"
"row_4";"ENSG00000164258";"NDUFS4";"NADH:ubiquinone oxidoreductase subunit S4";8848;0,0359259881079197;"No"
"row_5";"ENSG00000189043";"NDUFA4";"NDUFA4 mitochondrial complex associated";8940;0,0317570678889751;"No"
"row_6";"ENSG00000023228";"NDUFS1";"NADH:ubiquinone oxidoreductase core subunit S1";9043;0,0271148029714823;"No"
"row_7";"ENSG00000136521";"NDUFB5";"NADH:ubiquinone oxidoreductase subunit B5";9158;0,0233000591397285;"No"
"row_8";"ENSG00000147123";"NDUFB11";"NADH:ubiquinone oxidoreductase subunit B11";9614;0,00866471510380507;"No"
"row_9";"ENSG00000158864";"NDUFS2";"NADH:ubiquinone oxidoreductase core subunit S2";10101;0,000992381013929844;"No"
"row_10";"ENSG00000151366";"NDUFC2";"NADH:ubiquinone oxidoreductase subunit C2";11413;0;"No"
"row_11";"ENSG00000183648";"NDUFB1";"NADH:ubiquinone oxidoreductase subunit B1";28719;-0,00227496144361794;"No"
"row_12";"ENSG00000090266";"NDUFB2";"NADH:ubiquinone oxidoreductase subunit B2";28905;-0,00500684278085828;"No"
"row_13";"ENSG00000167792";"NDUFV1";"NADH:ubiquinone oxidoreductase core subunit V1";29343;-0,0170403998345137;"No"
"row_14";"ENSG00000186010";"NDUFA13";"NADH:ubiquinone oxidoreductase subunit A13";29675;-0,0301975682377815;"No"
"row_15";"ENSG00000115286";"NDUFS7";"NADH:ubiquinone oxidoreductase core subunit S7";29893;-0,0443302914500237;"No"
"row_16";"ENSG00000099795";"NDUFB7";"NADH:ubiquinone oxidoreductase subunit B7";30281;-0,0685789659619331;"No"
"row_17";"ENSG00000140990";"NDUFB10";"NADH:ubiquinone oxidoreductase subunit B10";30603;-0,102288819849491;"No"
"row_18";"ENSG00000125356";"NDUFA1";"NADH:ubiquinone oxidoreductase subunit A1";30862;-0,121613040566444;"No"
"row_19";"ENSG00000178127";"NDUFV2";"NADH:ubiquinone oxidoreductase core subunit V2";31010;-0,14253656566143;"Yes"
"row_20";"ENSG00000198840";"MT-ND3";"NADH dehydrogenase subunit 3";31030;-0,145904988050461;"Yes"
"row_21";"ENSG00000166136";"NDUFB8";"NADH:ubiquinone oxidoreductase subunit B8";31313;-0,193222939968109;"Yes"
"row_22";"ENSG00000267855";"NDUFA7";"NADH:ubiquinone oxidoreductase subunit A7";31372;-0,202266111969948;"Yes"
"row_23";"ENSG00000145494";"NDUFS6";"NADH:ubiquinone oxidoreductase subunit S6";31516;-0,231723502278328;"Yes"
"row_24";"ENSG00000119013";"NDUFB3";"NADH:ubiquinone oxidoreductase subunit B3";31662;-0,258050352334976;"Yes"
"row_25";"ENSG00000110717";"NDUFS8";"NADH:ubiquinone oxidoreductase core subunit S8";31754;-0,281224936246872;"Yes"
"row_26";"ENSG00000168653";"NDUFS5";"NADH:ubiquinone oxidoreductase subunit S5";31761;-0,28341880440712;"Yes"
"row_27";"ENSG00000174886";"NDUFA11";"NADH:ubiquinone oxidoreductase subunit A11";31832;-0,30449190735817;"Yes"
"row_28";"ENSG00000147684";"NDUFB9";"NADH:ubiquinone oxidoreductase subunit B9";32104;-0,379645615816116;"Yes"
"row_29";"ENSG00000130414";"NDUFA10";"NADH:ubiquinone oxidoreductase subunit A10";32168;-0,401559770107269;"Yes"
"row_30";"ENSG00000160194";"NDUFV3";"NADH:ubiquinone oxidoreductase subunit V3";32173;-0,404061049222946;"Yes"
"row_31";"ENSG00000139180";"NDUFA9";"NADH:ubiquinone oxidoreductase subunit A9";32229;-0,420051485300064;"Yes"
"row_32";"ENSG00000109390";"NDUFC1";"NADH:ubiquinone oxidoreductase subunit C1";32388;-0,48418340086937;"Yes"
"row_33";"ENSG00000184752";"NDUFA12";"NADH:ubiquinone oxidoreductase subunit A12";32444;-0,512284338474274;"Yes"
"row_34";"ENSG00000119421";"NDUFA8";"NADH:ubiquinone oxidoreductase subunit A8";32791;-0,688019514083862;"Yes"
"row_35";"ENSG00000004779";"NDUFAB1";"NADH:ubiquinone oxidoreductase subunit AB1";32907;-0,770097553730011;"Yes"
