"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04610";"Complement and coagulation cascades";"26/352";"86/8567";2,77361807966362e-16;8,54274368536396e-14;"ENSG00000003436/ENSG00000009724/ENSG00000057593/ENSG00000088926/ENSG00000106366/ENSG00000109072/ENSG00000115718/ENSG00000117601/ENSG00000123838/ENSG00000123843/ENSG00000125730/ENSG00000165471/ENSG00000166278/ENSG00000167711/ENSG00000171557/ENSG00000171560/ENSG00000171564/ENSG00000180210/ENSG00000182326/ENSG00000196352/ENSG00000197249/ENSG00000198734/ENSG00000205403/ENSG00000224389/ENSG00000243649/ENSG00000244731";"TFPI/MASP2/F7/F11/SERPINE1/VTN/PROC/SERPINC1/C4BPA/C4BPB/C3/MBL2/C2/SERPINF2/FGG/FGA/FGB/F2/C1S/CD55/SERPINA1/F5/CFI/C4B/CFB/C4A";"hsa:7035/hsa:10747/hsa:2155/hsa:2160/hsa:5054/hsa:7448/hsa:5624/hsa:462/hsa:722/hsa:725/hsa:718/hsa:4153/hsa:717/hsa:5345/hsa:2266/hsa:2243/hsa:2244/hsa:2147/hsa:716/hsa:1604/hsa:5265/hsa:2153/hsa:3426/hsa:721/hsa:629/hsa:720";26
"hsa04518";"Integrin signaling";"23/352";"154/8567";6,52460272973572e-08;9,04694751172869e-06;"ENSG00000039068/ENSG00000050555/ENSG00000090339/ENSG00000092758/ENSG00000100311/ENSG00000101311/ENSG00000105371/ENSG00000105664/ENSG00000105976/ENSG00000109072/ENSG00000115414/ENSG00000118785/ENSG00000125730/ENSG00000130402/ENSG00000137801/ENSG00000138798/ENSG00000139219/ENSG00000168743/ENSG00000171557/ENSG00000171560/ENSG00000171564/ENSG00000188153/ENSG00000197702";"CDH1/LAMC3/ICAM1/COL9A3/PDGFB/FERMT1/ICAM4/COMP/MET/VTN/FN1/SPP1/C3/ACTN4/THBS1/EGF/COL2A1/NPNT/FGG/FGA/FGB/COL4A5/PARVA";"hsa:999/hsa:10319/hsa:3383/hsa:1299/hsa:5155/hsa:55612/hsa:3386/hsa:1311/hsa:4233/hsa:7448/hsa:2335/hsa:6696/hsa:718/hsa:81/hsa:7057/hsa:1950/hsa:1280/hsa:255743/hsa:2266/hsa:2243/hsa:2244/hsa:1287/hsa:55742";23
"hsa04979";"Cholesterol metabolism";"13/352";"51/8567";8,8119618620734e-08;9,04694751172869e-06;"ENSG00000084674/ENSG00000091583/ENSG00000110245/ENSG00000118137/ENSG00000130203/ENSG00000130208/ENSG00000135929/ENSG00000143921/ENSG00000158874/ENSG00000165029/ENSG00000166035/ENSG00000167780/ENSG00000169174";"APOB/APOH/APOC3/APOA1/APOE/APOC1/CYP27A1/ABCG8/APOA2/ABCA1/LIPC/SOAT2/PCSK9";"hsa:338/hsa:350/hsa:345/hsa:335/hsa:348/hsa:341/hsa:1593/hsa:64241/hsa:336/hsa:19/hsa:3990/hsa:8435/hsa:255738";13
"hsa04975";"Fat digestion and absorption";"11/352";"43/8567";8,49368437906488e-07;6,54013697187996e-05;"ENSG00000015520/ENSG00000062282/ENSG00000084674/ENSG00000106384/ENSG00000118137/ENSG00000138308/ENSG00000143921/ENSG00000165029/ENSG00000166391/ENSG00000185000/ENSG00000188257";"NPC1L1/DGAT2/APOB/MOGAT3/APOA1/PLA2G12B/ABCG8/ABCA1/MOGAT2/DGAT1/PLA2G2A";"hsa:29881/hsa:84649/hsa:338/hsa:346606/hsa:335/hsa:84647/hsa:64241/hsa:19/hsa:80168/hsa:8694/hsa:5320";11
"hsa04950";"Maturity onset diabetes of the young";"8/352";"26/8567";6,11823101689624e-06;0,000376883030640809;"ENSG00000101076/ENSG00000116833/ENSG00000125798/ENSG00000135100/ENSG00000152804/ENSG00000163581/ENSG00000169856/ENSG00000170608";"HNF4A/NR5A2/FOXA2/HNF1A/HHEX/SLC2A2/ONECUT1/FOXA3";"hsa:3172/hsa:2494/hsa:3170/hsa:6927/hsa:3087/hsa:6514/hsa:3175/hsa:3171";8
"hsa00561";"Glycerolipid metabolism";"12/352";"64/8567";9,14135721293146e-06;0,000469256336930482;"ENSG00000058866/ENSG00000062282/ENSG00000100344/ENSG00000106384/ENSG00000132793/ENSG00000138678/ENSG00000166035/ENSG00000166391/ENSG00000185000/ENSG00000198074/ENSG00000227471/ENSG00000274588";"DGKG/DGAT2/PNPLA3/MOGAT3/LPIN3/GPAT3/LIPC/MOGAT2/DGAT1/AKR1B10/AKR1B15/DGKK";"hsa:1608/hsa:84649/hsa:80339/hsa:346606/hsa:64900/hsa:84803/hsa:3990/hsa:80168/hsa:8694/hsa:57016/hsa:441282/hsa:139189";12
"hsa05171";"Coronavirus disease - COVID-19";"23/352";"234/8567";8,87090144565772e-05;0,00345646120714939;"ENSG00000009724/ENSG00000067182/ENSG00000099250/ENSG00000111331/ENSG00000115267/ENSG00000125730/ENSG00000129824/ENSG00000156711/ENSG00000160712/ENSG00000165471/ENSG00000166278/ENSG00000169429/ENSG00000171557/ENSG00000171560/ENSG00000171564/ENSG00000180210/ENSG00000182326/ENSG00000183486/ENSG00000187608/ENSG00000224389/ENSG00000243649/ENSG00000244731/ENSG00000263528";"MASP2/TNFRSF1A/NRP1/OAS3/IFIH1/C3/RPS4Y1/MAPK13/IL6R/MBL2/C2/CXCL8/FGG/FGA/FGB/F2/C1S/MX2/ISG15/C4B/CFB/C4A/IKBKE";"hsa:10747/hsa:7132/hsa:8829/hsa:4940/hsa:64135/hsa:718/hsa:6192/hsa:5603/hsa:3570/hsa:4153/hsa:717/hsa:3576/hsa:2266/hsa:2243/hsa:2244/hsa:2147/hsa:716/hsa:4600/hsa:9636/hsa:721/hsa:629/hsa:720/hsa:9641";23
"hsa05150";"Staphylococcus aureus infection";"13/352";"92/8567";8,97782131727115e-05;0,00345646120714939;"ENSG00000009724/ENSG00000090339/ENSG00000111057/ENSG00000125730/ENSG00000165471/ENSG00000166278/ENSG00000171345/ENSG00000171557/ENSG00000182326/ENSG00000205403/ENSG00000224389/ENSG00000243649/ENSG00000244731";"MASP2/ICAM1/KRT18/C3/MBL2/C2/KRT19/FGG/C1S/CFI/C4B/CFB/C4A";"hsa:10747/hsa:3383/hsa:3875/hsa:718/hsa:4153/hsa:717/hsa:3880/hsa:2266/hsa:716/hsa:3426/hsa:721/hsa:629/hsa:720";13
"hsa04060";"Cytokine-cytokine receptor interaction";"26/352";"296/8567";0,000200528692703671;0,00686253748363673;"ENSG00000008517/ENSG00000067182/ENSG00000077238/ENSG00000090534/ENSG00000101017/ENSG00000111321/ENSG00000112486/ENSG00000115009/ENSG00000115594/ENSG00000125378/ENSG00000125657/ENSG00000130427/ENSG00000130513/ENSG00000136689/ENSG00000142677/ENSG00000143184/ENSG00000145623/ENSG00000150782/ENSG00000153162/ENSG00000158813/ENSG00000160712/ENSG00000169429/ENSG00000173530/ENSG00000175189/ENSG00000177663/ENSG00000196083";"IL32/TNFRSF1A/IL4R/THPO/CD40/LTBR/CCR6/CCL20/IL1R1/BMP4/TNFSF9/EPO/GDF15/IL1RN/IL22RA1/XCL1/OSMR/IL18/BMP6/EDA/IL6R/CXCL8/TNFRSF10D/INHBC/IL17RA/IL1RAP";"hsa:9235/hsa:7132/hsa:3566/hsa:7066/hsa:958/hsa:4055/hsa:1235/hsa:6364/hsa:3554/hsa:652/hsa:8744/hsa:2056/hsa:9518/hsa:3557/hsa:58985/hsa:6375/hsa:9180/hsa:3606/hsa:654/hsa:1896/hsa:3570/hsa:3576/hsa:8793/hsa:3626/hsa:23765/hsa:3556";26
"hsa05144";"Malaria";"8/352";"49/8567";0,000772653895650723;0,0237977399860423;"ENSG00000090339/ENSG00000101017/ENSG00000105664/ENSG00000105976/ENSG00000137801/ENSG00000150782/ENSG00000169429/ENSG00000261371";"ICAM1/CD40/COMP/MET/THBS1/IL18/CXCL8/PECAM1";"hsa:3383/hsa:958/hsa:1311/hsa:4233/hsa:7057/hsa:3606/hsa:3576/hsa:5175";8
