"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000085662";"AKR1B1";"aldo-keto reductase family 1 member B";479;27,3516178131104;"Yes"
"row_1";"ENSG00000115850";"LCT";"lactase";544;24,6654834747314;"Yes"
"row_2";"ENSG00000106633";"GCK";"glucokinase";700;19,2584018707275;"Yes"
"row_3";"ENSG00000257335";"MGAM";"maltase-glucoamylase";1375;8,54502010345459;"Yes"
"row_4";"ENSG00000160883";"HK3";"hexokinase 3";1432;7,89243507385254;"Yes"
"row_5";"ENSG00000131482";"G6PC1";"glucose-6-phosphatase catalytic subunit 1";4108;0,897293627262115;"No"
"row_6";"ENSG00000214013";"GANC";"glucosidase alpha, neutral C";6186;0,293744176626205;"No"
"row_7";"ENSG00000213930";"GALT";"galactose-1-phosphate uridylyltransferase";6319;0,268060773611069;"No"
"row_8";"ENSG00000170266";"GLB1";"galactosidase beta 1";8143;0,0490793958306313;"No"
"row_9";"ENSG00000159399";"HK2";"hexokinase 2";9606;0,00182103493716568;"No"
"row_10";"ENSG00000171298";"GAA";"alpha glucosidase";9734;0,00071734469383955;"No"
"row_11";"ENSG00000102393";"GLA";"galactosidase alpha";10194;0;"No"
"row_12";"ENSG00000152254";"G6PC2";"glucose-6-phosphatase catalytic subunit 2";11061;0;"No"
"row_13";"ENSG00000167531";"LALBA";"lactalbumin alpha";11437;0;"No"
"row_14";"ENSG00000117411";"B4GALT2";"beta-1,4-galactosyltransferase 2";28258;-0,00183280638884753;"No"
"row_15";"ENSG00000108479";"GALK1";"galactokinase 1";28446;-0,00434848805889487;"No"
"row_16";"ENSG00000079739";"PGM1";"phosphoglucomutase 1";29412;-0,036770835518837;"No"
"row_17";"ENSG00000169299";"PGM2";"phosphoglucomutase 2";29421;-0,0370888151228428;"No"
"row_18";"ENSG00000141959";"PFKL";"phosphofructokinase, liver type";29596;-0,0450533479452133;"No"
"row_19";"ENSG00000152556";"PFKM";"phosphofructokinase, muscle";29860;-0,0595073997974396;"No"
"row_20";"ENSG00000169764";"UGP2";"UDP-glucose pyrophosphorylase 2";30787;-0,153289556503296;"No"
"row_21";"ENSG00000086062";"B4GALT1";"beta-1,4-galactosyltransferase 1";31758;-0,328795850276947;"No"
"row_22";"ENSG00000156958";"GALK2";"galactokinase 2";32062;-0,427445501089096;"No"
"row_23";"ENSG00000067057";"PFKP";"phosphofructokinase, platelet";32588;-0,642170667648315;"No"
"row_24";"ENSG00000156515";"HK1";"hexokinase 1";32945;-0,876327693462372;"No"
"row_25";"ENSG00000117308";"GALE";"UDP-galactose-4-epimerase";33522;-1,05059027671814;"No"
