"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000157388";"CACNA1D";"calcium voltage-gated channel subunit alpha1 D";186;51,1105766296387;"Yes"
"row_1";"ENSG00000148408";"CACNA1B";"calcium voltage-gated channel subunit alpha1 B";292;40,1061325073242;"Yes"
"row_2";"ENSG00000109339";"MAPK10";"mitogen-activated protein kinase 10";607;22,3022441864014;"Yes"
"row_3";"ENSG00000106633";"GCK";"glucokinase";700;19,2584018707275;"Yes"
"row_4";"ENSG00000185950";"IRS2";"insulin receptor substrate 2";1065;11,9093465805054;"Yes"
"row_5";"ENSG00000006071";"ABCC8";"ATP binding cassette subfamily C member 8";1307;8,74963855743408;"Yes"
"row_6";"ENSG00000160883";"HK3";"hexokinase 3";1432;7,89243507385254;"Yes"
"row_7";"ENSG00000107643";"MAPK8";"mitogen-activated protein kinase 8";1873;5,28946304321289;"Yes"
"row_8";"ENSG00000120833";"SOCS2";"suppressor of cytokine signaling 2";2354;3,25085711479187;"Yes"
"row_9";"ENSG00000006283";"CACNA1G";"calcium voltage-gated channel subunit alpha1 G";2495;2,84917044639587;"Yes"
"row_10";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";3282;1,61894857883453;"No"
"row_11";"ENSG00000181856";"SLC2A4";"solute carrier family 2 member 4";3614;1,16153275966644;"No"
"row_12";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";4054;0,897293627262115;"No"
"row_13";"ENSG00000151067";"CACNA1C";"calcium voltage-gated channel subunit alpha1 C";4152;0,897293627262115;"No"
"row_14";"ENSG00000163581";"SLC2A2";"solute carrier family 2 member 2";4852;0,798297882080078;"No"
"row_15";"ENSG00000171132";"PRKCE";"protein kinase C epsilon";4941;0,757901549339294;"No"
"row_16";"ENSG00000180008";"SOCS4";"suppressor of cytokine signaling 4";7290;0,115893222391605;"No"
"row_17";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";7833;0,0706743597984314;"No"
"row_18";"ENSG00000187486";"KCNJ11";"potassium inwardly rectifying channel subfamily J member 11";8051;0,0542227774858475;"No"
"row_19";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";8095;0,0514443553984165;"No"
"row_20";"ENSG00000105647";"PIK3R2";"phosphoinositide-3-kinase regulatory subunit 2";8253;0,0423138812184334;"No"
"row_21";"ENSG00000050748";"MAPK9";"mitogen-activated protein kinase 9";8286;0,0403747670352459;"No"
"row_22";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";9314;0,00603314954787493;"No"
"row_23";"ENSG00000067606";"PRKCZ";"protein kinase C zeta";9432;0,00413861451670527;"No"
"row_24";"ENSG00000159399";"HK2";"hexokinase 2";9606;0,00182103493716568;"No"
"row_25";"ENSG00000117461";"PIK3R3";"phosphoinositide-3-kinase regulatory subunit 3";10411;0;"No"
"row_26";"ENSG00000133124";"IRS4";"insulin receptor substrate 4";10713;0;"No"
"row_27";"ENSG00000139515";"PDX1";"pancreatic and duodenal homeobox 1";10851;0;"No"
"row_28";"ENSG00000141506";"PIK3R5";"phosphoinositide-3-kinase regulatory subunit 5";10885;0;"No"
"row_29";"ENSG00000143627";"PKLR";"pyruvate kinase L/R";10921;0;"No"
"row_30";"ENSG00000181092";"ADIPOQ";"adiponectin, C1Q and collagen domain containing";12154;0;"No"
"row_31";"ENSG00000185338";"SOCS1";"suppressor of cytokine signaling 1";12422;0;"No"
"row_32";"ENSG00000198216";"CACNA1E";"calcium voltage-gated channel subunit alpha1 E";12895;0;"No"
"row_33";"ENSG00000232810";"TNF";"tumor necrosis factor";18692;0;"No"
"row_34";"ENSG00000254647";"INS";"insulin";22991;0;"No"
"row_35";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";27955;-5,25856466992991e-06;"No"
"row_36";"ENSG00000198793";"MTOR";"mechanistic target of rapamycin kinase";28777;-0,0112795662134886;"No"
"row_37";"ENSG00000171105";"INSR";"insulin receptor";29492;-0,0395443513989449;"No"
"row_38";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";29841;-0,0588448196649551;"No"
"row_39";"ENSG00000067225";"PKM";"pyruvate kinase M1/2";31541;-0,288938075304031;"No"
"row_40";"ENSG00000182759";"MAFA";"MAF bZIP transcription factor A";32236;-0,488733559846878;"No"
"row_41";"ENSG00000051382";"PIK3CB";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta";32453;-0,57475346326828;"No"
"row_42";"ENSG00000156515";"HK1";"hexokinase 1";32945;-0,876327693462372;"No"
"row_43";"ENSG00000184557";"SOCS3";"suppressor of cytokine signaling 3";33118;-1,01589667797089;"No"
"row_44";"ENSG00000163932";"PRKCD";"protein kinase C delta";34225;-2,31574988365173;"No"
"row_45";"ENSG00000141837";"CACNA1A";"calcium voltage-gated channel subunit alpha1 A";34998;-5,71987915039062;"No"
"row_46";"ENSG00000169047";"IRS1";"insulin receptor substrate 1";35522;-11,4265003204346;"No"
