"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000161057";"PSMC2";"proteasome 26S subunit, ATPase 2";5935;0,349034488201141;"No"
"row_1";"ENSG00000170315";"UBB";"ubiquitin B";8906;0,0153583902865648;"No"
"row_2";"ENSG00000163636";"PSMD6";"proteasome 26S subunit, non-ATPase 6";9050;0,0113597009330988;"No"
"row_3";"ENSG00000103035";"PSMD7";"proteasome 26S subunit, non-ATPase 7";9300;0,00650168024003506;"No"
"row_4";"ENSG00000136986";"DERL1";"derlin 1";9385;0,0046441457234323;"No"
"row_5";"ENSG00000127922";"SEM1";"SEM1 26S proteasome subunit";9464;0,00359913869760931;"No"
"row_6";"ENSG00000041357";"PSMA4";"proteasome 20S subunit alpha 4";9856;0,0001379867317155;"No"
"row_7";"ENSG00000154611";"PSMA8";"proteasome 20S subunit alpha 8";11085;0;"No"
"row_8";"ENSG00000159377";"PSMB4";"proteasome 20S subunit beta 4";28543;-0,00588621804490685;"No"
"row_9";"ENSG00000108671";"PSMD11";"proteasome 26S subunit, non-ATPase 11";28748;-0,0106874583289027;"No"
"row_10";"ENSG00000173692";"PSMD1";"proteasome 26S subunit, non-ATPase 1";28927;-0,0162000861018896;"No"
"row_11";"ENSG00000008018";"PSMB1";"proteasome 20S subunit beta 1";29067;-0,0214920863509178;"No"
"row_12";"ENSG00000159352";"PSMD4";"proteasome 26S subunit ubiquitin receptor, non-ATPase 4";29113;-0,0235567763447762;"No"
"row_13";"ENSG00000108344";"PSMD3";"proteasome 26S subunit, non-ATPase 3";29485;-0,039145901799202;"No"
"row_14";"ENSG00000197170";"PSMD12";"proteasome 26S subunit, non-ATPase 12";29548;-0,0430828630924225;"No"
"row_15";"ENSG00000143947";"RPS27A";"ribosomal protein S27a";29576;-0,04415388032794;"No"
"row_16";"ENSG00000087191";"PSMC5";"proteasome 26S subunit, ATPase 5";29961;-0,0689402148127556;"No"
"row_17";"ENSG00000106588";"PSMA2";"proteasome 20S subunit alpha 2";30362;-0,107432872056961;"Yes"
"row_18";"ENSG00000142168";"SOD1";"superoxide dismutase 1";30611;-0,134288936853409;"Yes"
"row_19";"ENSG00000100764";"PSMC1";"proteasome 26S subunit, ATPase 1";30884;-0,16835680603981;"Yes"
"row_20";"ENSG00000099341";"PSMD8";"proteasome 26S subunit, non-ATPase 8";31073;-0,195388033986092;"Yes"
"row_21";"ENSG00000126067";"PSMB2";"proteasome 20S subunit beta 2";31085;-0,196777135133743;"Yes"
"row_22";"ENSG00000185627";"PSMD13";"proteasome 26S subunit, non-ATPase 13";31125;-0,202577173709869;"Yes"
"row_23";"ENSG00000100902";"PSMA6";"proteasome 20S subunit alpha 6";31173;-0,209323883056641;"Yes"
"row_24";"ENSG00000142507";"PSMB6";"proteasome 20S subunit beta 6";31219;-0,218004480004311;"Yes"
"row_25";"ENSG00000100519";"PSMC6";"proteasome 26S subunit, ATPase 6";31479;-0,27200123667717;"Yes"
"row_26";"ENSG00000110801";"PSMD9";"proteasome 26S subunit, non-ATPase 9";31651;-0,300006181001663;"Yes"
"row_27";"ENSG00000221983";"UBA52";"ubiquitin A-52 residue ribosomal protein fusion product 1";31738;-0,322740435600281;"Yes"
"row_28";"ENSG00000136930";"PSMB7";"proteasome 20S subunit beta 7";31751;-0,327373504638672;"Yes"
"row_29";"ENSG00000150991";"UBC";"ubiquitin C";31958;-0,39681151509285;"Yes"
"row_30";"ENSG00000115233";"PSMD14";"proteasome 26S subunit, non-ATPase 14";32082;-0,432453662157059;"Yes"
"row_31";"ENSG00000165916";"PSMC3";"proteasome 26S subunit, ATPase 3";32230;-0,487303733825684;"Yes"
"row_32";"ENSG00000129084";"PSMA1";"proteasome 20S subunit alpha 1";32490;-0,59271764755249;"Yes"
"row_33";"ENSG00000100804";"PSMB5";"proteasome 20S subunit beta 5";32708;-0,713008284568787;"Yes"
"row_34";"ENSG00000143106";"PSMA5";"proteasome 20S subunit alpha 5";32866;-0,81622576713562;"Yes"
"row_35";"ENSG00000100567";"PSMA3";"proteasome 20S subunit alpha 3";32971;-0,902038753032684;"Yes"
"row_36";"ENSG00000013275";"PSMC4";"proteasome 26S subunit, ATPase 4";32998;-0,921263813972473;"Yes"
"row_37";"ENSG00000101182";"PSMA7";"proteasome 20S subunit alpha 7";33121;-1,01834785938263;"Yes"
"row_38";"ENSG00000175166";"PSMD2";"proteasome 26S subunit ubiquitin receptor, non-ATPase 2";33518;-1,04661226272583;"Yes"
"row_39";"ENSG00000130706";"ADRM1";"ADRM1 26S proteasome ubiquitin receptor";33678;-1,25418603420258;"Yes"
"row_40";"ENSG00000277791";"PSMB3";"proteasome 20S subunit beta 3";34256;-2,46559548377991;"Yes"
