"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04360";"Axon guidance";"31/515";"182/8567";1,05725908524452e-07;3,26693057340558e-05;"ENSG00000044524/ENSG00000066248/ENSG00000070886/ENSG00000074527/ENSG00000082684/ENSG00000099250/ENSG00000099617/ENSG00000101096/ENSG00000101144/ENSG00000101349/ENSG00000105976/ENSG00000106123/ENSG00000107731/ENSG00000113763/ENSG00000116106/ENSG00000128340/ENSG00000135333/ENSG00000137872/ENSG00000142627/ENSG00000143869/ENSG00000145242/ENSG00000157851/ENSG00000164690/ENSG00000170381/ENSG00000173156/ENSG00000173210/ENSG00000182168/ENSG00000184347/ENSG00000187122/ENSG00000187764/ENSG00000221866";"EPHA3/NGEF/EPHA8/NTN4/SEMA5B/NRP1/EFNA2/NFATC2/BMP7/PAK5/MET/EPHB6/UNC5B/UNC5A/EPHA4/RAC2/EPHA7/SEMA6D/EPHA2/GDF7/EPHA5/DPYSL5/SHH/SEMA3E/RHOD/ABLIM3/UNC5C/SLIT3/SLIT1/SEMA4D/PLXNA4";"hsa:2042/hsa:25791/hsa:2046/hsa:59277/hsa:54437/hsa:8829/hsa:1943/hsa:4773/hsa:655/hsa:57144/hsa:4233/hsa:2051/hsa:219699/hsa:90249/hsa:2043/hsa:5880/hsa:2045/hsa:80031/hsa:1969/hsa:151449/hsa:2044/hsa:56896/hsa:6469/hsa:9723/hsa:29984/hsa:22885/hsa:8633/hsa:6586/hsa:6585/hsa:10507/hsa:91584";31
"hsa05412";"Arrhythmogenic right ventricular cardiomyopathy";"18/515";"86/8567";2,59209078093503e-06;0,000400478025654462;"ENSG00000005884/ENSG00000007402/ENSG00000044115/ENSG00000046604/ENSG00000066032/ENSG00000075461/ENSG00000077522/ENSG00000091409/ENSG00000096696/ENSG00000100678/ENSG00000101680/ENSG00000105605/ENSG00000118160/ENSG00000132470/ENSG00000134755/ENSG00000144668/ENSG00000157388/ENSG00000183230";"ITGA3/CACNA2D2/CTNNA1/DSG2/CTNNA2/CACNG4/ACTN2/ITGA6/DSP/SLC8A3/LAMA1/CACNG7/SLC8A2/ITGB4/DSC2/ITGA9/CACNA1D/CTNNA3";"hsa:3675/hsa:9254/hsa:1495/hsa:1829/hsa:1496/hsa:27092/hsa:88/hsa:3655/hsa:1832/hsa:6547/hsa:284217/hsa:59284/hsa:6543/hsa:3691/hsa:1824/hsa:3680/hsa:776/hsa:29119";18
"hsa04512";"ECM-receptor interaction";"16/515";"89/8567";6,78814613989009e-05;0,0055085086207536;"ENSG00000005884/ENSG00000026508/ENSG00000058085/ENSG00000091409/ENSG00000101680/ENSG00000116147/ENSG00000122012/ENSG00000132470/ENSG00000137801/ENSG00000144668/ENSG00000159164/ENSG00000163359/ENSG00000168477/ENSG00000188153/ENSG00000196878/ENSG00000197565";"ITGA3/CD44/LAMC2/ITGA6/LAMA1/TNR/SV2C/ITGB4/THBS1/ITGA9/SV2A/COL6A3/TNXB/COL4A5/LAMB3/COL4A6";"hsa:3675/hsa:960/hsa:3918/hsa:3655/hsa:284217/hsa:7143/hsa:22987/hsa:3691/hsa:7057/hsa:3680/hsa:9900/hsa:1293/hsa:7148/hsa:1287/hsa:3914/hsa:1288";16
"hsa04510";"Focal adhesion";"27/515";"202/8567";7,13075549612117e-05;0,0055085086207536;"ENSG00000005884/ENSG00000019991/ENSG00000058085/ENSG00000091409/ENSG00000100311/ENSG00000101349/ENSG00000101680/ENSG00000105971/ENSG00000105974/ENSG00000105976/ENSG00000109339/ENSG00000113721/ENSG00000116147/ENSG00000128340/ENSG00000129946/ENSG00000132470/ENSG00000134531/ENSG00000137801/ENSG00000144668/ENSG00000150630/ENSG00000159840/ENSG00000163359/ENSG00000168477/ENSG00000188153/ENSG00000196878/ENSG00000197565/ENSG00000197702";"ITGA3/HGF/LAMC2/ITGA6/PDGFB/PAK5/LAMA1/CAV2/CAV1/MET/MAPK10/PDGFRB/TNR/RAC2/SHC2/ITGB4/EMP1/THBS1/ITGA9/VEGFC/ZYX/COL6A3/TNXB/COL4A5/LAMB3/COL4A6/PARVA";"hsa:3675/hsa:3082/hsa:3918/hsa:3655/hsa:5155/hsa:57144/hsa:284217/hsa:858/hsa:857/hsa:4233/hsa:5602/hsa:5159/hsa:7143/hsa:5880/hsa:25759/hsa:3691/hsa:2012/hsa:7057/hsa:3680/hsa:7424/hsa:7791/hsa:1293/hsa:7148/hsa:1287/hsa:3914/hsa:1288/hsa:55742";27
"hsa04518";"Integrin signaling";"22/515";"154/8567";0,000124241613778792;0,00767813173152937;"ENSG00000005884/ENSG00000019991/ENSG00000058085/ENSG00000090339/ENSG00000091409/ENSG00000100311/ENSG00000101311/ENSG00000101680/ENSG00000105976/ENSG00000113721/ENSG00000116147/ENSG00000128340/ENSG00000132470/ENSG00000137801/ENSG00000144668/ENSG00000150630/ENSG00000163359/ENSG00000168477/ENSG00000188153/ENSG00000196878/ENSG00000197565/ENSG00000197702";"ITGA3/HGF/LAMC2/ICAM1/ITGA6/PDGFB/FERMT1/LAMA1/MET/PDGFRB/TNR/RAC2/ITGB4/THBS1/ITGA9/VEGFC/COL6A3/TNXB/COL4A5/LAMB3/COL4A6/PARVA";"hsa:3675/hsa:3082/hsa:3918/hsa:3383/hsa:3655/hsa:5155/hsa:55612/hsa:284217/hsa:4233/hsa:5159/hsa:7143/hsa:5880/hsa:3691/hsa:7057/hsa:3680/hsa:7424/hsa:1293/hsa:7148/hsa:1287/hsa:3914/hsa:1288/hsa:55742";22
"hsa04382";"Cornified envelope formation";"27/515";"213/8567";0,000176566816354103;0,00840454932085517;"ENSG00000013297/ENSG00000046604/ENSG00000058085/ENSG00000081277/ENSG00000091409/ENSG00000096696/ENSG00000111057/ENSG00000118898/ENSG00000132470/ENSG00000143631/ENSG00000159261/ENSG00000165215/ENSG00000167880/ENSG00000170442/ENSG00000170454/ENSG00000171345/ENSG00000171346/ENSG00000188153/ENSG00000188643/ENSG00000189143/ENSG00000189171/ENSG00000196154/ENSG00000196754/ENSG00000196878/ENSG00000197565/ENSG00000197747/ENSG00000197956";"CLDN11/DSG2/LAMC2/PKP1/ITGA6/DSP/KRT18/PPL/ITGB4/FLG/CLDN14/CLDN3/EVPL/KRT86/KRT75/KRT19/KRT15/COL4A5/S100A16/CLDN4/S100A13/S100A4/S100A2/LAMB3/COL4A6/S100A10/S100A6";"hsa:5010/hsa:1829/hsa:3918/hsa:5317/hsa:3655/hsa:1832/hsa:3875/hsa:5493/hsa:3691/hsa:2312/hsa:23562/hsa:1365/hsa:2125/hsa:3892/hsa:9119/hsa:3880/hsa:3866/hsa:1287/hsa:140576/hsa:1364/hsa:6284/hsa:6275/hsa:6273/hsa:3914/hsa:1288/hsa:6281/hsa:6277";27
"hsa04060";"Cytokine-cytokine receptor interaction";"34/515";"296/8567";0,000190394321184421;0,00840454932085517;"ENSG00000006210/ENSG00000006327/ENSG00000006606/ENSG00000067182/ENSG00000101144/ENSG00000111321/ENSG00000115604/ENSG00000116678/ENSG00000122756/ENSG00000124875/ENSG00000125538/ENSG00000125657/ENSG00000125726/ENSG00000128342/ENSG00000130513/ENSG00000131080/ENSG00000134470/ENSG00000143869/ENSG00000145623/ENSG00000145777/ENSG00000150782/ENSG00000153162/ENSG00000160712/ENSG00000163083/ENSG00000163739/ENSG00000164509/ENSG00000164761/ENSG00000168685/ENSG00000169429/ENSG00000177663/ENSG00000183625/ENSG00000186891/ENSG00000196083/ENSG00000266524";"CX3CL1/TNFRSF12A/CCL26/TNFRSF1A/BMP7/LTBR/IL18R1/LEPR/CNTFR/CXCL6/IL1B/TNFSF9/CD70/LIF/GDF15/EDA2R/IL15RA/GDF7/OSMR/TSLP/IL18/BMP6/IL6R/INHBB/CXCL1/IL31RA/TNFRSF11B/IL7R/CXCL8/IL17RA/CCR3/TNFRSF18/IL1RAP/GDF10";"hsa:6376/hsa:51330/hsa:10344/hsa:7132/hsa:655/hsa:4055/hsa:8809/hsa:3953/hsa:1271/hsa:6372/hsa:3553/hsa:8744/hsa:970/hsa:3976/hsa:9518/hsa:60401/hsa:3601/hsa:151449/hsa:9180/hsa:85480/hsa:3606/hsa:654/hsa:3570/hsa:3625/hsa:2919/hsa:133396/hsa:4982/hsa:3575/hsa:3576/hsa:23765/hsa:1232/hsa:8784/hsa:3556/hsa:2662";34
"hsa04020";"Calcium signaling pathway";"30/515";"253/8567";0,000260011868993492;0,0100429584398736;"ENSG00000019991/ENSG00000043591/ENSG00000067842/ENSG00000099957/ENSG00000100311/ENSG00000100678/ENSG00000101096/ENSG00000101188/ENSG00000105976/ENSG00000113721/ENSG00000118160/ENSG00000126010/ENSG00000131196/ENSG00000148053/ENSG00000148408/ENSG00000150630/ENSG00000152495/ENSG00000153898/ENSG00000154678/ENSG00000157087/ENSG00000157388/ENSG00000163235/ENSG00000164078/ENSG00000164742/ENSG00000165731/ENSG00000169252/ENSG00000176884/ENSG00000196557/ENSG00000196639/ENSG00000276045";"HGF/ADRB1/ATP2B3/P2RX6/PDGFB/SLC8A3/NFATC2/NTSR1/MET/PDGFRB/SLC8A2/GRPR/NFATC1/NTRK2/CACNA1B/VEGFC/CAMK4/MCOLN2/PDE1C/ATP2B2/CACNA1D/TGFA/MST1R/ADCY1/RET/ADRB2/GRIN1/CACNA1H/HRH1/ORAI1";"hsa:3082/hsa:153/hsa:492/hsa:9127/hsa:5155/hsa:6547/hsa:4773/hsa:4923/hsa:4233/hsa:5159/hsa:6543/hsa:2925/hsa:4772/hsa:4915/hsa:774/hsa:7424/hsa:814/hsa:255231/hsa:5137/hsa:491/hsa:776/hsa:7039/hsa:4486/hsa:107/hsa:5979/hsa:154/hsa:2902/hsa:8912/hsa:3269/hsa:84876";30
"hsa04082";"Neuroactive ligand signaling";"25/515";"199/8567";0,000349739247254191;0,0120077141557272;"ENSG00000036565/ENSG00000043591/ENSG00000079215/ENSG00000080644/ENSG00000087258/ENSG00000099957/ENSG00000103546/ENSG00000105737/ENSG00000112038/ENSG00000116329/ENSG00000117971/ENSG00000120251/ENSG00000132164/ENSG00000149295/ENSG00000160716/ENSG00000164742/ENSG00000167414/ENSG00000168243/ENSG00000169252/ENSG00000169860/ENSG00000175591/ENSG00000176884/ENSG00000184160/ENSG00000196277/ENSG00000196639";"SLC18A1/ADRB1/SLC1A3/CHRNA3/GNAO1/P2RX6/SLC6A2/GRIK5/OPRM1/OPRD1/CHRNB4/GRIA2/SLC6A11/DRD2/CHRNB2/ADCY1/GNG8/GNG4/ADRB2/P2RY1/P2RY2/GRIN1/ADRA2C/GRM7/HRH1";"hsa:6570/hsa:153/hsa:6507/hsa:1136/hsa:2775/hsa:9127/hsa:6530/hsa:2901/hsa:4988/hsa:4985/hsa:1143/hsa:2891/hsa:6538/hsa:1813/hsa:1141/hsa:107/hsa:94235/hsa:2786/hsa:154/hsa:5028/hsa:5029/hsa:2902/hsa:152/hsa:2917/hsa:3269";25
"hsa04514";"Cell adhesion molecule (CAM) interaction";"21/515";"158/8567";0,000481780312342413;0,0148870116513806;"ENSG00000013297/ENSG00000018236/ENSG00000062038/ENSG00000090339/ENSG00000091129/ENSG00000091409/ENSG00000110076/ENSG00000131409/ENSG00000144668/ENSG00000149294/ENSG00000154639/ENSG00000154654/ENSG00000159261/ENSG00000160223/ENSG00000165215/ENSG00000169439/ENSG00000179915/ENSG00000182985/ENSG00000189143/ENSG00000261371/ENSG00000277117";"CLDN11/CNTN1/CDH3/ICAM1/NRCAM/ITGA6/NRXN2/LRRC4B/ITGA9/NCAM1/CXADR/NCAM2/CLDN14/ICOSLG/CLDN3/SDC2/NRXN1/CADM1/CLDN4/PECAM1/LOC102723996";"hsa:5010/hsa:1272/hsa:1001/hsa:3383/hsa:4897/hsa:3655/hsa:9379/hsa:94030/hsa:3680/hsa:4684/hsa:1525/hsa:4685/hsa:23562/hsa:23308/hsa:1365/hsa:6383/hsa:9378/hsa:23705/hsa:1364/hsa:5175/hsa:102723996";21
