"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000130957";"FBP2";"fructose-bisphosphatase 2";2325;3,52983331680298;"No"
"row_1";"ENSG00000100417";"PMM1";"phosphomannomutase 1";4411;0,73850679397583;"No"
"row_2";"ENSG00000170525";"PFKFB3";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3";4549;0,64935827255249;"No"
"row_3";"ENSG00000123836";"PFKFB2";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2";5918;0,211862578988075;"No"
"row_4";"ENSG00000173540";"GMPPB";"GDP-mannose pyrophosphorylase B";6417;0,131380513310432;"No"
"row_5";"ENSG00000112699";"GMDS";"GDP-mannose 4,6-dehydratase";7574;0,0496452115476131;"No"
"row_6";"ENSG00000104522";"GFUS";"GDP-L-fucose synthase";7775;0,0374752320349216;"No"
"row_7";"ENSG00000156515";"HK1";"hexokinase 1";7926;0,0306005068123341;"No"
"row_8";"ENSG00000087053";"MTMR2";"myotubularin related protein 2";8128;0,0224496182054281;"No"
"row_9";"ENSG00000067057";"PFKP";"phosphofructokinase, platelet";8948;0,00272433133795857;"No"
"row_10";"ENSG00000198074";"AKR1B10";"aldo-keto reductase family 1 member B10";9207;0,000661434780340642;"No"
"row_11";"ENSG00000149925";"ALDOA";"aldolase, fructose-bisphosphate A";9366;8,3693623309955e-05;"No"
"row_12";"ENSG00000144591";"GMPPA";"GDP-mannose pyrophosphorylase A";10300;0;"No"
"row_13";"ENSG00000254685";"FPGT";"fucose-1-phosphate guanylyltransferase";21934;0;"No"
"row_14";"ENSG00000111669";"TPI1";"triosephosphate isomerase 1";26956;-0,000915614538826048;"No"
"row_15";"ENSG00000139505";"MTMR6";"myotubularin related protein 6";27096;-0,00196207407861948;"No"
"row_16";"ENSG00000140650";"PMM2";"phosphomannomutase 2";27562;-0,010256283916533;"No"
"row_17";"ENSG00000063601";"MTMR1";"myotubularin related protein 1";27777;-0,015652721747756;"No"
"row_18";"ENSG00000141959";"PFKL";"phosphofructokinase, liver type";27924;-0,0200559180229902;"No"
"row_19";"ENSG00000158571";"PFKFB1";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1";28262;-0,0325752235949039;"No"
"row_20";"ENSG00000054148";"PHPT1";"phosphohistidine phosphatase 1";28825;-0,0585320256650448;"No"
"row_21";"ENSG00000178802";"MPI";"mannose phosphate isomerase";30076;-0,164752796292305;"No"
"row_22";"ENSG00000140263";"SORD";"sorbitol dehydrogenase";30113;-0,169974312186241;"No"
"row_23";"ENSG00000114268";"PFKFB4";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4";30604;-0,243208602070808;"No"
"row_24";"ENSG00000152556";"PFKM";"phosphofructokinase, muscle";30854;-0,289081156253815;"No"
"row_25";"ENSG00000157353";"FCSK";"fucose kinase";31481;-0,442349046468735;"No"
"row_26";"ENSG00000159399";"HK2";"hexokinase 2";31489;-0,444232940673828;"No"
"row_27";"ENSG00000160883";"HK3";"hexokinase 3";31963;-0,623290598392487;"No"
"row_28";"ENSG00000085662";"AKR1B1";"aldo-keto reductase family 1 member B";32335;-0,800367534160614;"No"
"row_29";"ENSG00000138030";"KHK";"ketohexokinase";34906;-3,8871750831604;"Yes"
"row_30";"ENSG00000165140";"FBP1";"fructose-bisphosphatase 1";34967;-4,13761043548584;"Yes"
"row_31";"ENSG00000136872";"ALDOB";"aldolase, fructose-bisphosphate B";35774;-12,7919731140137;"Yes"
"row_32";"ENSG00000109107";"ALDOC";"aldolase, fructose-bisphosphate C";35900;-15,8705501556396;"Yes"
"row_33";"ENSG00000003987";"MTMR7";"myotubularin related protein 7";35957;-17,5238723754883;"Yes"
