"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000156261";"CCT8";"chaperonin containing TCP1 subunit 8";4102;0,998211205005646;"No"
"row_1";"ENSG00000115484";"CCT4";"chaperonin containing TCP1 subunit 4";5209;0,376184165477753;"No"
"row_2";"ENSG00000130826";"DKC1";"dyskerin pseudouridine synthase 1";5410;0,32122614979744;"No"
"row_3";"ENSG00000150753";"CCT5";"chaperonin containing TCP1 subunit 5";5499;0,299140095710754;"No"
"row_4";"ENSG00000135624";"CCT7";"chaperonin containing TCP1 subunit 7";6187;0,163612693548203;"No"
"row_5";"ENSG00000120438";"TCP1";"t-complex 1";6463;0,125810340046883;"No"
"row_6";"ENSG00000146731";"CCT6A";"chaperonin containing TCP1 subunit 6A";6604;0,107950523495674;"No"
"row_7";"ENSG00000145414";"NAF1";"nuclear assembly factor 1 ribonucleoprotein";8021;0,0270001217722893;"No"
"row_8";"ENSG00000166226";"CCT2";"chaperonin containing TCP1 subunit 2";8094;0,0238760448992252;"No"
"row_9";"ENSG00000109534";"GAR1";"GAR1 ribonucleoprotein";9412;1,12417556010769e-05;"No"
"row_10";"ENSG00000163468";"CCT3";"chaperonin containing TCP1 subunit 3";26958;-0,000926528999116272;"No"
"row_11";"ENSG00000183207";"RUVBL2";"RuvB like AAA ATPase 2";27764;-0,0154342949390411;"No"
"row_12";"ENSG00000182117";"NOP10";"NOP10 ribonucleoprotein";27933;-0,0204184558242559;"No"
"row_13";"ENSG00000175792";"RUVBL1";"RuvB like AAA ATPase 1";28017;-0,023041183128953;"No"
"row_14";"ENSG00000145912";"NHP2";"NHP2 ribonucleoprotein";28760;-0,0559855103492737;"No"
"row_15";"ENSG00000141499";"WRAP53";"WD repeat containing antisense to TP53";28948;-0,0635198354721069;"No"
"row_16";"ENSG00000270141";"TERC";"telomerase RNA component";32958;-0,883094310760498;"Yes"
"row_17";"ENSG00000132141";"CCT6B";"chaperonin containing TCP1 subunit 6B";33608;-1,34538412094116;"Yes"
"row_18";"ENSG00000164362";"TERT";"telomerase reverse transcriptase";36329;-56,3221817016602;"Yes"
