"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000151062";"CACNA2D4";"calcium voltage-gated channel auxiliary subunit alpha2delta 4";868;14,6774396896362;"No"
"row_1";"ENSG00000151067";"CACNA1C";"calcium voltage-gated channel subunit alpha1 C";1939;4,49368190765381;"No"
"row_2";"ENSG00000198363";"ASPH";"aspartate beta-hydroxylase";2627;2,62772703170776;"No"
"row_3";"ENSG00000130433";"CACNG6";"calcium voltage-gated channel auxiliary subunit gamma 6";2731;2,24419713020325;"No"
"row_4";"ENSG00000118729";"CASQ2";"calsequestrin 2";3483;1,0546783208847;"No"
"row_5";"ENSG00000143318";"CASQ1";"calsequestrin 1";5289;0,348035514354706;"No"
"row_6";"ENSG00000186439";"TRDN";"triadin";5324;0,342552453279495;"No"
"row_7";"ENSG00000182389";"CACNB4";"calcium voltage-gated channel auxiliary subunit beta 4";6522;0,117002107203007;"No"
"row_8";"ENSG00000165995";"CACNB2";"calcium voltage-gated channel auxiliary subunit beta 2";7957;0,0290580615401268;"No"
"row_9";"ENSG00000067191";"CACNB1";"calcium voltage-gated channel auxiliary subunit beta 1";9193;0,000743451411835849;"No"
"row_10";"ENSG00000006116";"CACNG3";"calcium voltage-gated channel auxiliary subunit gamma 3";9437;0;"No"
"row_11";"ENSG00000157445";"CACNA2D3";"calcium voltage-gated channel auxiliary subunit alpha2delta 3";28037;-0,0239052101969719;"No"
"row_12";"ENSG00000198626";"RYR2";"ryanodine receptor 2";28308;-0,0340753197669983;"No"
"row_13";"ENSG00000167535";"CACNB3";"calcium voltage-gated channel auxiliary subunit beta 3";31866;-0,580261290073395;"No"
"row_14";"ENSG00000153956";"CACNA2D1";"calcium voltage-gated channel auxiliary subunit alpha2delta 1";33198;-1,01068484783173;"No"
"row_15";"ENSG00000108878";"CACNG1";"calcium voltage-gated channel auxiliary subunit gamma 1";33365;-1,09539520740509;"No"
"row_16";"ENSG00000105605";"CACNG7";"calcium voltage-gated channel auxiliary subunit gamma 7";34509;-2,85530138015747;"Yes"
"row_17";"ENSG00000075429";"CACNG5";"calcium voltage-gated channel auxiliary subunit gamma 5";35705;-11,1578283309937;"Yes"
"row_18";"ENSG00000166862";"CACNG2";"calcium voltage-gated channel auxiliary subunit gamma 2";35769;-12,6134281158447;"Yes"
"row_19";"ENSG00000007402";"CACNA2D2";"calcium voltage-gated channel auxiliary subunit alpha2delta 2";36185;-32,488826751709;"Yes"
"row_20";"ENSG00000075461";"CACNG4";"calcium voltage-gated channel auxiliary subunit gamma 4";36405;-156,14225769043;"Yes"
