"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000105173";"CCNE1";"cyclin E1";2700;2,3760461807251;"No"
"row_1";"ENSG00000093009";"CDC45";"cell division cycle 45";4458;0,718901574611664;"No"
"row_2";"ENSG00000094804";"CDC6";"cell division cycle 6";4763;0,552819728851318;"No"
"row_3";"ENSG00000145386";"CCNA2";"cyclin A2";5132;0,389166474342346;"No"
"row_4";"ENSG00000085840";"ORC1";"origin recognition complex subunit 1";5573;0,274784237146378;"No"
"row_5";"ENSG00000172167";"MTBP";"MDM2 binding protein";5650;0,253462553024292;"No"
"row_6";"ENSG00000164815";"ORC5";"origin recognition complex subunit 5";5686;0,246589288115501;"No"
"row_7";"ENSG00000140534";"TICRR";"TOPBP1 interacting checkpoint and replication regulator";5767;0,23092545568943;"No"
"row_8";"ENSG00000123374";"CDK2";"cyclin dependent kinase 2";6264;0,154027119278908;"No"
"row_9";"ENSG00000100297";"MCM5";"minichromosome maintenance complex component 5";7152;0,0753083825111389;"No"
"row_10";"ENSG00000104738";"MCM4";"minichromosome maintenance complex component 4";7617;0,0472411774098873;"No"
"row_11";"ENSG00000006634";"DBF4";"DBF4-CDC7 kinase regulatory subunit";8310;0,0163696222007275;"No"
"row_12";"ENSG00000167513";"CDT1";"chromatin licensing and DNA replication factor 1";8883;0,0034801447764039;"No"
"row_13";"ENSG00000097046";"CDC7";"cell division cycle 7";9391;4,49601466243621e-05;"No"
"row_14";"ENSG00000091651";"ORC6";"origin recognition complex subunit 6";9421;1,65485687375622e-06;"No"
"row_15";"ENSG00000112118";"MCM3";"minichromosome maintenance complex component 3";27100;-0,00199600332416594;"No"
"row_16";"ENSG00000135336";"ORC3";"origin recognition complex subunit 3";27440;-0,00778319174423814;"No"
"row_17";"ENSG00000115942";"ORC2";"origin recognition complex subunit 2";27686;-0,0134710595011711;"No"
"row_18";"ENSG00000073111";"MCM2";"minichromosome maintenance complex component 2";28044;-0,0240641981363297;"No"
"row_19";"ENSG00000166508";"MCM7";"minichromosome maintenance complex component 7";28313;-0,0342648103833199;"No"
"row_20";"ENSG00000115947";"ORC4";"origin recognition complex subunit 4";28913;-0,061646793037653;"No"
"row_21";"ENSG00000076003";"MCM6";"minichromosome maintenance complex component 6";29722;-0,125848054885864;"No"
"row_22";"ENSG00000175305";"CCNE2";"cyclin E2";34830;-3,85845851898193;"Yes"
"row_23";"ENSG00000133101";"CCNA1";"cyclin A1";36240;-38,8776054382324;"Yes"
