"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000101096";"NFATC2";"nuclear factor of activated T cells 2";77;61,1208457946777;"Yes"
"row_1";"ENSG00000138798";"EGF";"epidermal growth factor";131;50,3304443359375;"Yes"
"row_2";"ENSG00000131196";"NFATC1";"nuclear factor of activated T cells 1";136;49,0519065856934;"Yes"
"row_3";"ENSG00000197943";"PLCG2";"phospholipase C gamma 2";754;16,8551998138428;"Yes"
"row_4";"ENSG00000138814";"PPP3CA";"protein phosphatase 3 catalytic subunit alpha";4979;0,442275911569595;"No"
"row_5";"ENSG00000100968";"NFATC4";"nuclear factor of activated T cells 4";7127;0,0777739882469177;"No"
"row_6";"ENSG00000221823";"PPP3R1";"protein phosphatase 3 regulatory subunit B, alpha";7197;0,0720561742782593;"No"
"row_7";"ENSG00000107758";"PPP3CB";"protein phosphatase 3 catalytic subunit beta";8358;0,0151140661910176;"No"
"row_8";"ENSG00000160014";"CALM3";"calmodulin 3";8508;0,0102520110085607;"No"
"row_9";"ENSG00000188386";"PPP3R2";"protein phosphatase 3 regulatory subunit B, beta";11863;0;"No"
"row_10";"ENSG00000072736";"NFATC3";"nuclear factor of activated T cells 3";29380;-0,0909579694271088;"No"
"row_11";"ENSG00000143933";"CALM2";"calmodulin 2";29779;-0,13073967397213;"No"
"row_12";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";29895;-0,143227204680443;"No"
"row_13";"ENSG00000120910";"PPP3CC";"protein phosphatase 3 catalytic subunit gamma";30565;-0,237091854214668;"No"
"row_14";"ENSG00000124181";"PLCG1";"phospholipase C gamma 1";30899;-0,298136830329895;"No"
"row_15";"ENSG00000198668";"CALM1";"calmodulin 1";32179;-0,724210202693939;"No"
