"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000138798";"EGF";"epidermal growth factor";131;50,3304443359375;"Yes"
"row_1";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";4259;0,885424315929413;"No"
"row_2";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";4702;0,5845747590065;"No"
"row_3";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";6657;0,10381805151701;"No"
"row_4";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";7474;0,0547956936061382;"No"
"row_5";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";9239;0,00053408247185871;"No"
"row_6";"ENSG00000174775";"HRAS";"HRas proto-oncogene, GTPase";11088;0;"No"
"row_7";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";28029;-0,0236307363957167;"No"
"row_8";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";28618;-0,0487376898527145;"No"
"row_9";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";28679;-0,0511901043355465;"No"
"row_10";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";29173;-0,0755822062492371;"No"
"row_11";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";29895;-0,143227204680443;"No"
"row_12";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";30110;-0,169586315751076;"No"
"row_13";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";30577;-0,238468512892723;"No"
"row_14";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";31388;-0,418842107057571;"No"
