"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";168;45,7876510620117;"Yes"
"row_1";"ENSG00000125378";"BMP4";"bone morphogenetic protein 4";311;34,1812019348145;"Yes"
"row_2";"ENSG00000169884";"WNT10B";"Wnt family member 10B";563;21,9671745300293;"Yes"
"row_3";"ENSG00000154342";"WNT3A";"Wnt family member 3A";648;19,5357284545898;"Yes"
"row_4";"ENSG00000162552";"WNT4";"Wnt family member 4";694;18,3016338348389;"Yes"
"row_5";"ENSG00000188064";"WNT7B";"Wnt family member 7B";818;15,4922485351562;"Yes"
"row_6";"ENSG00000164161";"HHIP";"hedgehog interacting protein";1167;10,1762351989746;"Yes"
"row_7";"ENSG00000143816";"WNT9A";"Wnt family member 9A";1447;7,58084058761597;"Yes"
"row_8";"ENSG00000111087";"GLI1";"GLI family zinc finger 1";1523;6,8223762512207;"Yes"
"row_9";"ENSG00000134245";"WNT2B";"Wnt family member 2B";1548;6,48751926422119;"Yes"
"row_10";"ENSG00000114251";"WNT5A";"Wnt family member 5A";1824;5,18219375610352;"Yes"
"row_11";"ENSG00000074047";"GLI2";"GLI family zinc finger 2";2003;4,08333349227905;"Yes"
"row_12";"ENSG00000154764";"WNT7A";"Wnt family member 7A";4077;1,01765441894531;"No"
"row_13";"ENSG00000166813";"KIF7";"kinesin family member 7";4864;0,505868017673492;"No"
"row_14";"ENSG00000108379";"WNT3";"Wnt family member 3";5098;0,400419026613235;"No"
"row_15";"ENSG00000125845";"BMP2";"bone morphogenetic protein 2";5227;0,371410191059113;"No"
"row_16";"ENSG00000111186";"WNT5B";"Wnt family member 5B";5930;0,208589553833008;"No"
"row_17";"ENSG00000061492";"WNT8A";"Wnt family member 8A";9477;0;"No"
"row_18";"ENSG00000125084";"WNT1";"Wnt family member 1";9968;0;"No"
"row_19";"ENSG00000158955";"WNT9B";"Wnt family member 9B";10505;0;"No"
"row_20";"ENSG00000107882";"SUFU";"SUFU negative regulator of hedgehog signaling";28062;-0,0247134100645781;"No"
"row_21";"ENSG00000185920";"PTCH1";"patched 1";29334;-0,0878071635961533;"No"
"row_22";"ENSG00000117425";"PTCH2";"patched 2";29929;-0,148111149668694;"No"
"row_23";"ENSG00000135925";"WNT10A";"Wnt family member 10A";30294;-0,187818855047226;"No"
"row_24";"ENSG00000105989";"WNT2";"Wnt family member 2";32492;-0,883094310760498;"No"
"row_25";"ENSG00000002745";"WNT16";"Wnt family member 16";33123;-0,941602051258087;"No"
"row_26";"ENSG00000115596";"WNT6";"Wnt family member 6";33169;-0,981716334819794;"No"
"row_27";"ENSG00000128602";"SMO";"smoothened, frizzled class receptor";33414;-1,14259934425354;"No"
"row_28";"ENSG00000075290";"WNT8B";"Wnt family member 8B";35216;-5,66427803039551;"No"
