"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000101017";"CD40";"CD40 molecule";126;51,0204696655273;"Yes"
"row_1";"ENSG00000263528";"IKBKE";"inhibitor of nuclear factor kappa B kinase subunit epsilon";164;46,2713470458984;"Yes"
"row_2";"ENSG00000174130";"TLR6";"toll like receptor 6";240;38,3982162475586;"Yes"
"row_3";"ENSG00000169429";"CXCL8";"C-X-C motif chemokine ligand 8";265;36,5673217773438;"Yes"
"row_4";"ENSG00000136869";"TLR4";"toll like receptor 4";342;32,1286811828613;"Yes"
"row_5";"ENSG00000136244";"IL6";"interleukin 6";1132;10,6001462936401;"Yes"
"row_6";"ENSG00000118785";"SPP1";"secreted phosphoprotein 1";1251;9,18595027923584;"Yes"
"row_7";"ENSG00000154589";"LY96";"lymphocyte antigen 96";1781;5,5140962600708;"Yes"
"row_8";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";1810;5,23463296890259;"Yes"
"row_9";"ENSG00000064012";"CASP8";"caspase 8";1953;4,42737102508545;"Yes"
"row_10";"ENSG00000034152";"MAP2K3";"mitogen-activated protein kinase kinase 3";1987;4,15759181976318;"Yes"
"row_11";"ENSG00000129988";"LBP";"lipopolysaccharide binding protein";2039;3,99576282501221;"Yes"
"row_12";"ENSG00000239732";"TLR9";"toll like receptor 9";2150;3,99576282501221;"Yes"
"row_13";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";2421;3,09181141853333;"Yes"
"row_14";"ENSG00000164342";"TLR3";"toll like receptor 3";2582;2,78405451774597;"Yes"
"row_15";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";2907;1,89416682720184;"No"
"row_16";"ENSG00000177606";"JUN";"Jun proto-oncogene, AP-1 transcription factor subunit";3076;1,53201138973236;"No"
"row_17";"ENSG00000125538";"IL1B";"interleukin 1 beta";3491;1,0546783208847;"No"
"row_18";"ENSG00000277632";"CCL3";"C-C motif chemokine ligand 3";3977;1,0546783208847;"No"
"row_19";"ENSG00000114013";"CD86";"CD86 molecule";4125;0,982017517089844;"No"
