"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000125430";"HS3ST3B1";"heparan sulfate-glucosamine 3-sulfotransferase 3B1";59;455,169067382812;"Yes"
"row_1";"ENSG00000153976";"HS3ST3A1";"heparan sulfate-glucosamine 3-sulfotransferase 3A1";81;380,93701171875;"Yes"
"row_2";"ENSG00000171004";"HS6ST2";"heparan sulfate 6-O-sulfotransferase 2";82;375,065795898438;"Yes"
"row_3";"ENSG00000176022";"B3GALT6";"beta-1,3-galactosyltransferase 6";1124;30,2053203582764;"No"
"row_4";"ENSG00000185352";"HS6ST3";"heparan sulfate 6-O-sulfotransferase 3";1163;28,3042182922363;"No"
"row_5";"ENSG00000162694";"EXTL2";"exostosin like glycosyltransferase 2";1491;19,2978897094727;"No"
"row_6";"ENSG00000182197";"EXT1";"exostosin glycosyltransferase 1";2015;10,901273727417;"No"
"row_7";"ENSG00000070614";"NDST1";"N-deacetylase and N-sulfotransferase 1";3054;4,68455266952515;"No"
"row_8";"ENSG00000138604";"GLCE";"glucuronic acid epimerase";3216;4,18500995635986;"No"
"row_9";"ENSG00000153936";"HS2ST1";"heparan sulfate 2-O-sulfotransferase 1";4172;2,10538196563721;"No"
"row_10";"ENSG00000151348";"EXT2";"exostosin glycosyltransferase 2";5160;1,02133166790009;"No"
"row_11";"ENSG00000012232";"EXTL3";"exostosin like glycosyltransferase 3";6280;0,479595899581909;"No"
"row_12";"ENSG00000164100";"NDST3";"N-deacetylase and N-sulfotransferase 3";7809;0,135482907295227;"No"
"row_13";"ENSG00000158008";"EXTL1";"exostosin like glycosyltransferase 1";8282;0,0669815540313721;"No"
"row_14";"ENSG00000249853";"HS3ST5";"heparan sulfate-glucosamine 3-sulfotransferase 5";9609;0,00595879321917892;"No"
"row_15";"ENSG00000112309";"B3GAT2";"beta-1,3-glucuronyltransferase 2";9893;0,000519377063028514;"No"
"row_16";"ENSG00000027847";"B4GALT7";"beta-1,4-galactosyltransferase 7";11743;-0,143119931221008;"No"
"row_17";"ENSG00000166507";"NDST2";"N-deacetylase and N-sulfotransferase 2";11786;-0,153445482254028;"No"
"row_18";"ENSG00000149541";"B3GAT3";"beta-1,3-glucuronyltransferase 3";12473;-0,323457062244415;"No"
"row_19";"ENSG00000015532";"XYLT2";"xylosyltransferase 2";13012;-0,492178738117218;"No"
"row_20";"ENSG00000136720";"HS6ST1";"heparan sulfate 6-O-sulfotransferase 1";15392;-2,4653537273407;"No"
"row_21";"ENSG00000103489";"XYLT1";"xylosyltransferase 1";16649;-6,05350065231323;"No"
"row_22";"ENSG00000002587";"HS3ST1";"heparan sulfate-glucosamine 3-sulfotransferase 1";16776;-6,67231607437134;"No"
