"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000158321";"AUTS2";"activator of transcription and developmental regulator AUTS2";237;165,846588134766;"Yes"
"row_1";"ENSG00000132475";"H3-3B";"H3.3 histone B";1092;31,4096603393555;"Yes"
"row_2";"ENSG00000185619";"PCGF3";"polycomb group ring finger 3";1448;20,3990612030029;"Yes"
"row_3";"ENSG00000121481";"RNF2";"ring finger protein 2";4229;1,99613344669342;"No"
"row_4";"ENSG00000163041";"H3-3A";"H3.3 histone A";4339;1,85817933082581;"No"
"row_5";"ENSG00000180628";"PCGF5";"polycomb group ring finger 5";5100;1,0878701210022;"No"
"row_6";"ENSG00000275714";"H3C1";"H3 clustered histone 1";6504;0,398314028978348;"No"
"row_7";"ENSG00000163602";"RYBP";"RING1 and YY1 binding protein";7822;0,133412763476372;"No"
"row_8";"ENSG00000204227";"RING1";"ring finger protein 1";9153;0,0263945180922747;"No"
"row_9";"ENSG00000136485";"DCAF7";"DDB1 and CUL4 associated factor 7";9667;0,0051123071461916;"No"
"row_10";"ENSG00000136891";"TEX10";"testis expressed 10";10265;-0,00256585120223463;"No"
"row_11";"ENSG00000156860";"FBRS";"fibrosin";10438;-0,00841579772531986;"No"
"row_12";"ENSG00000100393";"EP300";"E1A binding protein p300";11352;-0,0778246894478798;"No"
"row_13";"ENSG00000015153";"YAF2";"YY1 associated factor 2";13517;-0,728921353816986;"No"
"row_14";"ENSG00000286522";"H3C2";"H3 clustered histone 2";14862;-1,64130103588104;"No"
