"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000157613";"CREB3L1";"cAMP responsive element binding protein 3 like 1";32;677,59619140625;"Yes"
"row_1";"ENSG00000152495";"CAMK4";"calcium/calmodulin dependent protein kinase IV";176;213,589706420898;"Yes"
"row_2";"ENSG00000146592";"CREB5";"cAMP responsive element binding protein 5";213;178,633575439453;"Yes"
"row_3";"ENSG00000143933";"CALM2";"calmodulin 2";2240;8,94333267211914;"No"
"row_4";"ENSG00000182158";"CREB3L2";"cAMP responsive element binding protein 3 like 2";4661;1,48683559894562;"No"
"row_5";"ENSG00000008118";"CAMK1G";"calcium/calmodulin dependent protein kinase IG";4692;1,43050742149353;"No"
"row_6";"ENSG00000148660";"CAMK2G";"calcium/calmodulin dependent protein kinase II gamma";7494;0,199944004416466;"No"
"row_7";"ENSG00000128272";"ATF4";"activating transcription factor 4";7782;0,140262186527252;"No"
"row_8";"ENSG00000198668";"CALM1";"calmodulin 1";8061;0,0874425023794174;"No"
"row_9";"ENSG00000118260";"CREB1";"cAMP responsive element binding protein 1";9242;0,0209009330719709;"No"
"row_10";"ENSG00000107175";"CREB3";"cAMP responsive element binding protein 3";10159;-0,000721659394912422;"No"
"row_11";"ENSG00000115966";"ATF2";"activating transcription factor 2";10574;-0,0138666965067387;"No"
"row_12";"ENSG00000143578";"CREB3L4";"cAMP responsive element binding protein 3 like 4";15128;-1,9934298992157;"No"
"row_13";"ENSG00000070808";"CAMK2A";"calcium/calmodulin dependent protein kinase II alpha";15140;-2,00822138786316;"No"
"row_14";"ENSG00000213676";"ATF6B";"activating transcription factor 6 beta";15516;-2,635333776474;"No"
"row_15";"ENSG00000058404";"CAMK2B";"calcium/calmodulin dependent protein kinase II beta";16063;-3,81603407859802;"No"
"row_16";"ENSG00000145349";"CAMK2D";"calcium/calmodulin dependent protein kinase II delta";16396;-4,97811985015869;"No"
"row_17";"ENSG00000183049";"CAMK1D";"calcium/calmodulin dependent protein kinase ID";16851;-7,02789783477783;"No"
"row_18";"ENSG00000160014";"CALM3";"calmodulin 3";17318;-10,5444679260254;"No"
"row_19";"ENSG00000060566";"CREB3L3";"cAMP responsive element binding protein 3 like 3";17856;-18,2462978363037;"No"
