"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000027697";"IFNGR1";"interferon gamma receptor 1";6100;0,554557263851166;"No"
"row_1";"ENSG00000105397";"TYK2";"tyrosine kinase 2";6228;0,509194910526276;"No"
"row_2";"ENSG00000096968";"JAK2";"Janus kinase 2";6365;0,448933124542236;"No"
"row_3";"ENSG00000137275";"RIPK1";"receptor interacting serine/threonine kinase 1";7903;0,117366679012775;"No"
"row_4";"ENSG00000142166";"IFNAR1";"interferon alpha and beta receptor subunit 1";10003;2,95103181997547e-05;"No"
"row_5";"ENSG00000159128";"IFNGR2";"interferon gamma receptor 2";11188;-0,0571984685957432;"No"
"row_6";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";11506;-0,100899033248425;"No"
"row_7";"ENSG00000213928";"IRF9";"interferon regulatory factor 9";14903;-1,70139944553375;"No"
"row_8";"ENSG00000170581";"STAT2";"signal transducer and activator of transcription 2";15621;-2,84008884429932;"No"
"row_9";"ENSG00000197919";"IFNA1";"interferon alpha 1";15736;-2,96940541267395;"No"
"row_10";"ENSG00000162434";"JAK1";"Janus kinase 1";17161;-9,12881946563721;"No"
"row_11";"ENSG00000159110";"IFNAR2";"interferon alpha and beta receptor subunit 2";17605;-14,0059270858765;"Yes"
"row_12";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";17792;-17,1036224365234;"Yes"
"row_13";"ENSG00000105639";"JAK3";"Janus kinase 3";17921;-19,6073627471924;"Yes"
"row_14";"ENSG00000138378";"STAT4";"signal transducer and activator of transcription 4";18773;-64,0288848876953;"Yes"
"row_15";"ENSG00000126561";"STAT5A";"signal transducer and activator of transcription 5A";18948;-87,6804122924805;"Yes"
"row_16";"ENSG00000166888";"STAT6";"signal transducer and activator of transcription 6";19578;-1343,04211425781;"Yes"
