"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000182389";"CACNB4";"calcium voltage-gated channel auxiliary subunit beta 4";3705;2,97015738487244;"No"
"row_1";"ENSG00000143318";"CASQ1";"calsequestrin 1";4089;2,26843452453613;"No"
"row_2";"ENSG00000151062";"CACNA2D4";"calcium voltage-gated channel auxiliary subunit alpha2delta 4";4769;1,3867084980011;"No"
"row_3";"ENSG00000165995";"CACNB2";"calcium voltage-gated channel auxiliary subunit beta 2";4923;1,24196147918701;"No"
"row_4";"ENSG00000166862";"CACNG2";"calcium voltage-gated channel auxiliary subunit gamma 2";5880;0,612438976764679;"No"
"row_5";"ENSG00000006116";"CACNG3";"calcium voltage-gated channel auxiliary subunit gamma 3";6645;0,345358490943909;"No"
"row_6";"ENSG00000108878";"CACNG1";"calcium voltage-gated channel auxiliary subunit gamma 1";6673;0,345358490943909;"No"
"row_7";"ENSG00000186439";"TRDN";"triadin";7266;0,267273098230362;"No"
"row_8";"ENSG00000118729";"CASQ2";"calsequestrin 2";8229;0,0669815540313721;"No"
"row_9";"ENSG00000067191";"CACNB1";"calcium voltage-gated channel auxiliary subunit beta 1";9061;0,0327588282525539;"No"
"row_10";"ENSG00000075461";"CACNG4";"calcium voltage-gated channel auxiliary subunit gamma 4";12095;-0,215303614735603;"No"
"row_11";"ENSG00000157445";"CACNA2D3";"calcium voltage-gated channel auxiliary subunit alpha2delta 3";13542;-0,735188543796539;"No"
"row_12";"ENSG00000007402";"CACNA2D2";"calcium voltage-gated channel auxiliary subunit alpha2delta 2";14177;-1,09345722198486;"No"
"row_13";"ENSG00000075429";"CACNG5";"calcium voltage-gated channel auxiliary subunit gamma 5";14249;-1,14155387878418;"No"
"row_14";"ENSG00000167535";"CACNB3";"calcium voltage-gated channel auxiliary subunit beta 3";16532;-5,55335378646851;"Yes"
"row_15";"ENSG00000198363";"ASPH";"aspartate beta-hydroxylase";18697;-55,7098083496094;"Yes"
"row_16";"ENSG00000153956";"CACNA2D1";"calcium voltage-gated channel auxiliary subunit alpha2delta 1";18856;-73,2658233642578;"Yes"
"row_17";"ENSG00000105605";"CACNG7";"calcium voltage-gated channel auxiliary subunit gamma 7";18918;-81,6571655273438;"Yes"
"row_18";"ENSG00000196218";"RYR1";"ryanodine receptor 1";18977;-93,2945556640625;"Yes"
"row_19";"ENSG00000130433";"CACNG6";"calcium voltage-gated channel auxiliary subunit gamma 6";19197;-160,485504150391;"Yes"
