"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000196616";"ADH1B";"alcohol dehydrogenase 1B (class I), beta polypeptide";2992;4,85804748535156;"No"
"row_1";"ENSG00000116745";"RPE65";"retinoid isomerohydrolase RPE65";4926;1,23910570144653;"No"
"row_2";"ENSG00000108242";"CYP2C18";"cytochrome P450 family 2 subfamily C member 18";5097;1,09031665325165;"No"
"row_3";"ENSG00000062282";"DGAT2";"diacylglycerol O-acyltransferase 2";5241;0,969100534915924;"No"
"row_4";"ENSG00000196620";"UGT2B15";"UDP glucuronosyltransferase family 2 member B15";5449;0,869616687297821;"No"
"row_5";"ENSG00000197888";"UGT2B17";"UDP glucuronosyltransferase family 2 member B17";5451;0,869616687297821;"No"
"row_6";"ENSG00000165841";"CYP2C19";"cytochrome P450 family 2 subfamily C member 19";5699;0,719418168067932;"No"
"row_7";"ENSG00000128918";"ALDH1A2";"aldehyde dehydrogenase 1 family member A2";5959;0,609229028224945;"No"
"row_8";"ENSG00000197894";"ADH5";"alcohol dehydrogenase 5 (class III), chi polypeptide";8151;0,0740133970975876;"No"
"row_9";"ENSG00000121207";"LRAT";"lecithin retinol acyltransferase";8231;0,0669815540313721;"No"
"row_10";"ENSG00000160868";"CYP3A4";"cytochrome P450 family 3 subfamily A member 4";10190;-0,0011818737257272;"No"
"row_11";"ENSG00000021461";"CYP3A43";"cytochrome P450 family 3 subfamily A member 43";10778;-0,0231610089540482;"No"
"row_12";"ENSG00000185000";"DGAT1";"diacylglycerol O-acyltransferase 1";11179;-0,0561215616762638;"No"
"row_13";"ENSG00000138109";"CYP2C9";"cytochrome P450 family 2 subfamily C member 9";11707;-0,135895520448685;"No"
"row_14";"ENSG00000003137";"CYP26B1";"cytochrome P450 family 26 subfamily B member 1";12836;-0,459906905889511;"No"
"row_15";"ENSG00000073737";"DHRS9";"dehydrogenase/reductase 9";13041;-0,513298451900482;"No"
"row_16";"ENSG00000198077";"CYP2A7";"cytochrome P450 family 2 subfamily A member 7";14208;-1,11309421062469;"No"
"row_17";"ENSG00000139547";"RDH16";"retinol dehydrogenase 16";14596;-1,32947897911072;"No"
"row_18";"ENSG00000135226";"UGT2B28";"UDP glucuronosyltransferase family 2 member B28";15144;-2,01364207267761;"No"
"row_19";"ENSG00000042445";"RETSAT";"retinol saturase";16398;-4,98293685913086;"No"
"row_20";"ENSG00000157326";"DHRS4";"dehydrogenase/reductase 4";16507;-5,44797134399414;"No"
"row_21";"ENSG00000255974";"CYP2A6";"cytochrome P450 family 2 subfamily A member 6";16644;-6,04613351821899;"No"
"row_22";"ENSG00000248144";"ADH1C";"alcohol dehydrogenase 1C (class I), gamma polypeptide";16784;-6,7068977355957;"No"
"row_23";"ENSG00000121039";"RDH10";"retinol dehydrogenase 10";17041;-8,33003902435303;"No"
"row_24";"ENSG00000187630";"DHRS4L2";"dehydrogenase/reductase 4 like 2";17045;-8,38243389129639;"No"
"row_25";"ENSG00000171234";"UGT2B7";"UDP glucuronosyltransferase family 2 member B7";17381;-11,3178262710571;"No"
"row_26";"ENSG00000095596";"CYP26A1";"cytochrome P450 family 26 subfamily A member 1";17880;-18,685510635376;"No"
"row_27";"ENSG00000140465";"CYP1A1";"cytochrome P450 family 1 subfamily A member 1";18409;-35,6107406616211;"Yes"
"row_28";"ENSG00000135697";"BCO1";"beta-carotene oxygenase 1";19108;-129,064834594727;"Yes"
"row_29";"ENSG00000165092";"ALDH1A1";"aldehyde dehydrogenase 1 family member A1";19147;-141,485443115234;"Yes"
"row_30";"ENSG00000006757";"PNPLA4";"patatin like domain 4, phospholipase and triacylglycerol lipase";19168;-148,414932250977;"Yes"
"row_31";"ENSG00000162496";"DHRS3";"dehydrogenase/reductase 3";19571;-1170,98132324219;"Yes"
