"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000114450";"GNB4";"G protein subunit beta 4";21;1419,64465332031;"Yes"
"row_1";"ENSG00000181104";"F2R";"coagulation factor II thrombin receptor";112;482,674407958984;"Yes"
"row_2";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";430;151,740844726562;"Yes"
"row_3";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";1199;38,8577117919922;"No"
"row_4";"ENSG00000147145";"LPAR4";"lysophosphatidic acid receptor 4";1436;29,4703197479248;"No"
"row_5";"ENSG00000069966";"GNB5";"G protein subunit beta 5";1637;22,6786708831787;"No"
"row_6";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";1969;15,5050897598267;"No"
"row_7";"ENSG00000111664";"GNB3";"G protein subunit beta 3";2084;13,7974166870117;"No"
"row_8";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";3159;5,37440919876099;"No"
"row_9";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";4222;2,38286280632019;"No"
"row_10";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";4331;2,16104030609131;"No"
"row_11";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";5091;1,22024917602539;"No"
"row_12";"ENSG00000078369";"GNB1";"G protein subunit beta 1";5964;0,670875132083893;"No"
"row_13";"ENSG00000276231";"PIK3R6";"phosphoinositide-3-kinase regulatory subunit 6";6940;0,349096208810806;"No"
"row_14";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";7023;0,323404967784882;"No"
"row_15";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";7988;0,0978367626667023;"No"
"row_16";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";9726;0,0012070321245119;"No"
"row_17";"ENSG00000171517";"LPAR3";"lysophosphatidic acid receptor 3";10279;-0,00495965825393796;"No"
"row_18";"ENSG00000172354";"GNB2";"G protein subunit beta 2";10783;-0,0306692663580179;"No"
"row_19";"ENSG00000184574";"LPAR5";"lysophosphatidic acid receptor 5";11421;-0,111468635499477;"No"
"row_20";"ENSG00000167083";"GNGT2";"G protein subunit gamma transducin 2";12789;-0,477354854345322;"No"
"row_21";"ENSG00000127928";"GNGT1";"G protein subunit gamma transducin 1";14388;-1,27250957489014;"No"
"row_22";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";18098;-22,730712890625;"No"
"row_23";"ENSG00000198121";"LPAR1";"lysophosphatidic acid receptor 1";18471;-34,6763038635254;"No"
"row_24";"ENSG00000064547";"LPAR2";"lysophosphatidic acid receptor 2";18652;-42,8149909973145;"No"
