"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000107186";"MPDZ";"multiple PDZ domain crumbs cell polarity complex component";196;328,037689208984;"No"
"row_1";"ENSG00000166086";"JAM3";"junctional adhesion molecule 3";208;315,012390136719;"No"
"row_2";"ENSG00000114353";"GNAI2";"G protein subunit alpha i2";355;178,374923706055;"No"
"row_3";"ENSG00000127955";"GNAI1";"G protein subunit alpha i1";385;167,777374267578;"No"
"row_4";"ENSG00000072110";"ACTN1";"actinin alpha 1";463;139,603500366211;"No"
"row_5";"ENSG00000082397";"EPB41L3";"erythrocyte membrane protein band 4.1 like 3";478;134,204360961914;"No"
"row_6";"ENSG00000169213";"RAB3B";"RAB3B, member RAS oncogene family";665;95,627067565918;"No"
"row_7";"ENSG00000100345";"MYH9";"myosin heavy chain 9";777;76,0889282226562;"No"
"row_8";"ENSG00000154229";"PRKCA";"protein kinase C alpha";807;73,0841903686523;"No"
"row_9";"ENSG00000171132";"PRKCE";"protein kinase C epsilon";1038;49,4126930236816;"No"
"row_10";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";1199;38,8577117919922;"No"
"row_11";"ENSG00000154721";"JAM2";"junctional adhesion molecule 2";1219;37,938346862793;"No"
"row_12";"ENSG00000079819";"EPB41L2";"erythrocyte membrane protein band 4.1 like 2";1235;37,1449928283691;"No"
"row_13";"ENSG00000168036";"CTNNB1";"catenin beta 1";1281;34,8228187561035;"No"
"row_14";"ENSG00000067560";"RHOA";"ras homolog family member A";1371;31,6315937042236;"No"
"row_15";"ENSG00000066405";"CLDN18";"claudin 18";1450;29,0643692016602;"No"
"row_16";"ENSG00000134873";"CLDN10";"claudin 10";1805;18,5736904144287;"No"
"row_17";"ENSG00000144821";"MYH15";"myosin heavy chain 15";2094;13,6829481124878;"No"
"row_18";"ENSG00000159261";"CLDN14";"claudin 14";2215;12,2686882019043;"No"
"row_19";"ENSG00000101608";"MYL12A";"myosin light chain 12A";2225;12,1892309188843;"No"
"row_20";"ENSG00000184009";"ACTG1";"actin gamma 1";2232;12,0865850448608;"No"
"row_21";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";2528;9,17251968383789;"No"
"row_22";"ENSG00000171862";"PTEN";"phosphatase and tensin homolog";2620;8,41161441802979;"No"
"row_23";"ENSG00000065135";"GNAI3";"G protein subunit alpha i3";3062;5,75601243972778;"No"
"row_24";"ENSG00000131558";"EXOC4";"exocyst complex component 4";3132;5,4544792175293;"No"
"row_25";"ENSG00000176105";"YES1";"YES proto-oncogene 1, Src family tyrosine kinase";3400;4,44283723831177;"No"
"row_26";"ENSG00000118680";"MYL12B";"myosin light chain 12B";3430;4,3221960067749;"No"
"row_27";"ENSG00000187391";"MAGI2";"membrane associated guanylate kinase, WW and PDZ domain containing 2";3564;3,86895656585693;"No"
"row_28";"ENSG00000119139";"TJP2";"tight junction protein 2";3695;3,54364418983459;"No"
"row_29";"ENSG00000116539";"ASH1L";"ASH1 like histone lysine methyltransferase";3708;3,50395321846008;"No"
"row_30";"ENSG00000183067";"IGSF5";"immunoglobulin superfamily member 5";3777;3,32160043716431;"No"
"row_31";"ENSG00000126458";"RRAS";"RAS related";4034;2,75683569908142;"No"
"row_32";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";4331;2,16104030609131;"No"
"row_33";"ENSG00000125755";"SYMPK";"symplekin scaffold protein";4367;2,10051608085632;"No"
"row_34";"ENSG00000101558";"VAPA";"VAMP associated protein A";4515;1,88457143306732;"No"
"row_35";"ENSG00000070831";"CDC42";"cell division cycle 42";5235;1,12160634994507;"No"
"row_36";"ENSG00000066032";"CTNNA2";"catenin alpha 2";5356;1,02435302734375;"No"
"row_37";"ENSG00000060138";"YBX3";"Y-box binding protein 3";5993;0,649678766727448;"No"
