"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa00100";"Steroid biosynthesis";"14/1394";"20/8567";1,25935772547058e-07;4,38256488463761e-05;"ENSG00000001630/ENSG00000019186/ENSG00000052802/ENSG00000079459/ENSG00000104549/ENSG00000109929/ENSG00000111012/ENSG00000132196/ENSG00000147155/ENSG00000149809/ENSG00000160285/ENSG00000167780/ENSG00000172893/ENSG00000186104";"CYP51A1/CYP24A1/MSMO1/FDFT1/SQLE/SC5D/CYP27B1/HSD17B7/EBP/TM7SF2/LSS/SOAT2/DHCR7/CYP2R1";"hsa:1595/hsa:1591/hsa:6307/hsa:2222/hsa:6713/hsa:6309/hsa:1594/hsa:51478/hsa:10682/hsa:7108/hsa:4047/hsa:8435/hsa:1717/hsa:120227";14
"hsa04977";"Vitamin digestion and absorption";"15/1394";"26/8567";1,78517472924379e-06;0,000310620402888419;"ENSG00000073060/ENSG00000076351/ENSG00000084674/ENSG00000101276/ENSG00000107611/ENSG00000110244/ENSG00000117479/ENSG00000118137/ENSG00000119688/ENSG00000132763/ENSG00000135917/ENSG00000163803/ENSG00000166126/ENSG00000170482/ENSG00000185339";"SCARB1/SLC46A1/APOB/SLC52A3/CUBN/APOA4/SLC19A2/APOA1/ABCD4/MMACHC/SLC19A3/PLB1/AMN/SLC23A1/TCN2";"hsa:949/hsa:113235/hsa:338/hsa:113278/hsa:8029/hsa:337/hsa:10560/hsa:335/hsa:5826/hsa:25974/hsa:80704/hsa:151056/hsa:81693/hsa:9963/hsa:6948";15
"hsa04390";"Hippo signaling pathway";"44/1394";"157/8567";0,000125717968521164;0,0133070982908452;"ENSG00000007866/ENSG00000039068/ENSG00000044115/ENSG00000067606/ENSG00000073350/ENSG00000074047/ENSG00000081051/ENSG00000081059/ENSG00000082458/ENSG00000085741/ENSG00000101144/ENSG00000103126/ENSG00000109321/ENSG00000113645/ENSG00000115596/ENSG00000115738/ENSG00000116985/ENSG00000118971/ENSG00000124171/ENSG00000125084/ENSG00000125378/ENSG00000125845/ENSG00000129474/ENSG00000131899/ENSG00000132849/ENSG00000135925/ENSG00000137713/ENSG00000140807/ENSG00000142279/ENSG00000143869/ENSG00000145506/ENSG00000148204/ENSG00000150672/ENSG00000155760/ENSG00000156475/ENSG00000163251/ENSG00000168646/ENSG00000169435/ENSG00000169884/ENSG00000172531/ENSG00000183230/ENSG00000183682/ENSG00000188763/ENSG00000197905";"TEAD3/CDH1/CTNNA1/PRKCZ/LLGL2/GLI2/AFP/TCF7/DLG3/WNT11/BMP7/AXIN1/AREG/WWC1/WNT6/ID2/BMP8B/CCND2/PARD6B/WNT1/BMP4/BMP2/AJUBA/LLGL1/PATJ/WNT10A/PPP2R1B/NKD1/WTIP/GDF7/NKD2/CRB2/DLG2/FZD7/PPP2R2B/FZD5/AXIN2/RASSF6/WNT10B/PPP1CA/CTNNA3/BMP8A/FZD9/TEAD4";"hsa:7005/hsa:999/hsa:1495/hsa:5590/hsa:3993/hsa:2736/hsa:174/hsa:6932/hsa:1741/hsa:7481/hsa:655/hsa:8312/hsa:374/hsa:23286/hsa:7475/hsa:3398/hsa:656/hsa:894/hsa:84612/hsa:7471/hsa:652/hsa:650/hsa:84962/hsa:3996/hsa:10207/hsa:80326/hsa:5519/hsa:85407/hsa:126374/hsa:151449/hsa:85409/hsa:286204/hsa:1740/hsa:8324/hsa:5521/hsa:7855/hsa:8313/hsa:166824/hsa:7480/hsa:5499/hsa:29119/hsa:353500/hsa:8326/hsa:7004";44
"hsa00730";"Thiamine metabolism";"9/1394";"15/8567";0,000152955152768336;0,0133070982908452;"ENSG00000140057/ENSG00000162433/ENSG00000162551/ENSG00000163283/ENSG00000163286/ENSG00000163295/ENSG00000165695/ENSG00000196511/ENSG00000244005";"AK7/AK4/ALPL/ALPP/ALPPL2/ALPI/AK8/TPK1/NFS1";"hsa:122481/hsa:205/hsa:249/hsa:250/hsa:251/hsa:248/hsa:158067/hsa:27010/hsa:9054";9
"hsa00640";"Propanoate metabolism";"14/1394";"32/8567";0,000220242063926013;0,0135866836630287;"ENSG00000076555/ENSG00000103150/ENSG00000113790/ENSG00000114054/ENSG00000119711/ENSG00000122971/ENSG00000127884/ENSG00000131069/ENSG00000134333/ENSG00000136143/ENSG00000154930/ENSG00000175198/ENSG00000183044/ENSG00000198130";"ACACB/MLYCD/EHHADH/PCCB/ALDH6A1/ACADS/ECHS1/ACSS2/LDHA/SUCLA2/ACSS1/PCCA/ABAT/HIBCH";"hsa:32/hsa:23417/hsa:1962/hsa:5096/hsa:4329/hsa:35/hsa:1892/hsa:55902/hsa:3939/hsa:8803/hsa:84532/hsa:5095/hsa:18/hsa:26275";14
"hsa04979";"Cholesterol metabolism";"19/1394";"51/8567";0,000234253166603943;0,0135866836630287;"ENSG00000007944/ENSG00000073060/ENSG00000081479/ENSG00000084674/ENSG00000091583/ENSG00000100979/ENSG00000101670/ENSG00000110244/ENSG00000110245/ENSG00000118137/ENSG00000123384/ENSG00000124164/ENSG00000130203/ENSG00000130208/ENSG00000158874/ENSG00000166035/ENSG00000167780/ENSG00000169174/ENSG00000213398";"MYLIP/SCARB1/LRP2/APOB/APOH/PLTP/LIPG/APOA4/APOC3/APOA1/LRP1/VAPB/APOE/APOC1/APOA2/LIPC/SOAT2/PCSK9/LCAT";"hsa:29116/hsa:949/hsa:4036/hsa:338/hsa:350/hsa:5360/hsa:9388/hsa:337/hsa:345/hsa:335/hsa:4035/hsa:9217/hsa:348/hsa:341/hsa:336/hsa:3990/hsa:8435/hsa:255738/hsa:3931";19
"hsa00410";"beta-Alanine metabolism";"13/1394";"31/8567";0,000607545215557299;0,0302036764305629;"ENSG00000088826/ENSG00000100024/ENSG00000103150/ENSG00000108602/ENSG00000111275/ENSG00000113790/ENSG00000119711/ENSG00000122971/ENSG00000127884/ENSG00000132746/ENSG00000164904/ENSG00000183044/ENSG00000198130";"SMOX/UPB1/MLYCD/ALDH3A1/ALDH2/EHHADH/ALDH6A1/ACADS/ECHS1/ALDH3B2/ALDH7A1/ABAT/HIBCH";"hsa:54498/hsa:51733/hsa:23417/hsa:218/hsa:217/hsa:1962/hsa:4329/hsa:35/hsa:1892/hsa:222/hsa:501/hsa:18/hsa:26275";13
"hsa04530";"Tight junction";"44/1394";"170/8567";0,000832981580000562;0,0362346987300244;"ENSG00000001626/ENSG00000067606/ENSG00000073350/ENSG00000082458/ENSG00000085733/ENSG00000095015/ENSG00000095203/ENSG00000105289/ENSG00000105357/ENSG00000106404/ENSG00000106526/ENSG00000109062/ENSG00000109756/ENSG00000111725/ENSG00000114019/ENSG00000124171/ENSG00000128849/ENSG00000130396/ENSG00000130545/ENSG00000131899/ENSG00000132849/ENSG00000133026/ENSG00000136574/ENSG00000137713/ENSG00000140832/ENSG00000141736/ENSG00000143375/ENSG00000150672/ENSG00000151276/ENSG00000152939/ENSG00000156475/ENSG00000157388/ENSG00000158769/ENSG00000163347/ENSG00000164007/ENSG00000165376/ENSG00000170606/ENSG00000171992/ENSG00000178462/ENSG00000181885/ENSG00000184697/ENSG00000189143/ENSG00000197122/ENSG00000197822";"CFTR/PRKCZ/LLGL2/DLG3/CTTN/MAP3K1/EPB41L4B/TJP3/MYH14/CLDN15/ACTR3C/SLC9A3R1/RAPGEF2/PRKAB1/AMOTL2/PARD6B/CGNL1/AFDN/CRB3/LLGL1/PATJ/MYH10/GATA4/PPP2R1B/MARVELD3/ERBB2/CGN/DLG2/MAGI1/MARVELD2/PPP2R2B/CACNA1D/F11R/CLDN1/CLDN19/CLDN2/HSPA4/SYNPO/TUBAL3/CLDN7/CLDN6/CLDN4/SRC/OCLN";"hsa:1080/hsa:5590/hsa:3993/hsa:1741/hsa:2017/hsa:4214/hsa:54566/hsa:27134/hsa:79784/hsa:24146/hsa:653857/hsa:9368/hsa:9693/hsa:5564/hsa:51421/hsa:84612/hsa:84952/hsa:4301/hsa:92359/hsa:3996/hsa:10207/hsa:4628/hsa:2626/hsa:5519/hsa:91862/hsa:2064/hsa:57530/hsa:1740/hsa:9223/hsa:153562/hsa:5521/hsa:776/hsa:50848/hsa:9076/hsa:149461/hsa:9075/hsa:3308/hsa:11346/hsa:79861/hsa:1366/hsa:9074/hsa:1364/hsa:6714/hsa:100506658";44
"hsa03272";"Virion - Hepatitis viruses";"17/1394";"48/8567";0,000966633192107318;0,0373764834281496;"ENSG00000010278/ENSG00000073060/ENSG00000101421/ENSG00000106404/ENSG00000110651/ENSG00000119888/ENSG00000131165/ENSG00000142798/ENSG00000163347/ENSG00000164007/ENSG00000165376/ENSG00000181885/ENSG00000182149/ENSG00000184697/ENSG00000189143/ENSG00000197635/ENSG00000197822";"CD9/SCARB1/CHMP4B/CLDN15/CD81/EPCAM/CHMP1A/HSPG2/CLDN1/CLDN19/CLDN2/CLDN7/IST1/CLDN6/CLDN4/DPP4/OCLN";"hsa:928/hsa:949/hsa:128866/hsa:24146/hsa:975/hsa:4072/hsa:5119/hsa:3339/hsa:9076/hsa:149461/hsa:9075/hsa:1366/hsa:9798/hsa:9074/hsa:1364/hsa:1803/hsa:100506658";17
"hsa00564";"Glycerophospholipid metabolism";"29/1394";"102/8567";0,00132846960563136;0,0419727034281212;"ENSG00000011009/ENSG00000065357/ENSG00000077044/ENSG00000087085/ENSG00000102230/ENSG00000110721/ENSG00000111684/ENSG00000129219/ENSG00000130653/ENSG00000132793/ENSG00000138308/ENSG00000143845/ENSG00000153395/ENSG00000153933/ENSG00000162407/ENSG00000163624/ENSG00000163803/ENSG00000167588/ENSG00000168907/ENSG00000169692/ENSG00000173868/ENSG00000176485/ENSG00000184381/ENSG00000185813/ENSG00000188089/ENSG00000204310/ENSG00000213398/ENSG00000241878/ENSG00000274588";"LYPLA2/DGKA/DGKD/ACHE/PCYT1B/CHKA/LPCAT3/PLD2/PNPLA7/LPIN3/PLA2G12B/ETNK2/LPCAT1/DGKE/PLPP3/CDS1/PLB1/GPD1/PLA2G4F/AGPAT2/PHOSPHO1/PLA2G16/PLA2G6/PCYT2/PLA2G4E/AGPAT1/LCAT/PISD/DGKK";"hsa:11313/hsa:1606/hsa:8527/hsa:43/hsa:9468/hsa:1119/hsa:10162/hsa:5338/hsa:375775/hsa:64900/hsa:84647/hsa:55224/hsa:79888/hsa:8526/hsa:8613/hsa:1040/hsa:151056/hsa:2819/hsa:255189/hsa:10555/hsa:162466/hsa:11145/hsa:8398/hsa:5833/hsa:123745/hsa:10554/hsa:3931/hsa:23761/hsa:139189";29
