"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04510";"Focal adhesion";"54/1089";"202/8567";4,44208647053645e-08;1,51030939998239e-05;"ENSG00000005884/ENSG00000010810/ENSG00000023445/ENSG00000041982/ENSG00000072110/ENSG00000077264/ENSG00000091409/ENSG00000101306/ENSG00000101349/ENSG00000101608/ENSG00000101966/ENSG00000105855/ENSG00000105971/ENSG00000105974/ENSG00000105976/ENSG00000107643/ENSG00000110092/ENSG00000110330/ENSG00000112769/ENSG00000115232/ENSG00000117020/ENSG00000118785/ENSG00000121879/ENSG00000125503/ENSG00000125753/ENSG00000128052/ENSG00000134215/ENSG00000134531/ENSG00000134871/ENSG00000137801/ENSG00000138798/ENSG00000142156/ENSG00000142173/ENSG00000145431/ENSG00000146648/ENSG00000150093/ENSG00000150630/ENSG00000154229/ENSG00000160691/ENSG00000162909/ENSG00000163359/ENSG00000164692/ENSG00000168036/ENSG00000169231/ENSG00000170962/ENSG00000171608/ENSG00000171862/ENSG00000177606/ENSG00000185634/ENSG00000186340/ENSG00000187498/ENSG00000196569/ENSG00000196924/ENSG00000259207";"ITGA3/FYN/BIRC3/TNC/ACTN1/PAK3/ITGA6/MYLK2/PAK5/MYL12A/XIAP/ITGB8/CAV2/CAV1/MET/MAPK8/CCND1/BIRC2/LAMA4/ITGA4/AKT3/SPP1/PIK3CA/PPP1R12C/VASP/KDR/VAV3/EMP1/COL4A2/THBS1/EGF/COL6A1/COL6A2/PDGFC/EGFR/ITGB1/VEGFC/PRKCA/SHC1/CAPN2/COL6A3/COL1A2/CTNNB1/THBS3/PDGFD/PIK3CD/PTEN/JUN/SHC4/THBS2/COL4A1/LAMA2/FLNA/ITGB3";"hsa:3675/hsa:2534/hsa:330/hsa:3371/hsa:87/hsa:5063/hsa:3655/hsa:85366/hsa:57144/hsa:10627/hsa:331/hsa:3696/hsa:858/hsa:857/hsa:4233/hsa:5599/hsa:595/hsa:329/hsa:3910/hsa:3676/hsa:10000/hsa:6696/hsa:5290/hsa:54776/hsa:7408/hsa:3791/hsa:10451/hsa:2012/hsa:1284/hsa:7057/hsa:1950/hsa:1291/hsa:1292/hsa:56034/hsa:1956/hsa:3688/hsa:7424/hsa:5578/hsa:6464/hsa:824/hsa:1293/hsa:1278/hsa:1499/hsa:7059/hsa:80310/hsa:5293/hsa:5728/hsa:3725/hsa:399694/hsa:7058/hsa:1282/hsa:3908/hsa:2316/hsa:3690";54
"hsa04360";"Axon guidance";"49/1089";"182/8567";1,48019100432569e-07;2,51632470735368e-05;"ENSG00000010810/ENSG00000044524/ENSG00000065320/ENSG00000075223/ENSG00000076356/ENSG00000077264/ENSG00000080224/ENSG00000099250/ENSG00000101349/ENSG00000101608/ENSG00000105976/ENSG00000107758/ENSG00000111186/ENSG00000112902/ENSG00000114251/ENSG00000114353/ENSG00000120910/ENSG00000121879/ENSG00000127955/ENSG00000133107/ENSG00000133216/ENSG00000135622/ENSG00000138623/ENSG00000138696/ENSG00000138741/ENSG00000138814/ENSG00000142627/ENSG00000144857/ENSG00000144935/ENSG00000145147/ENSG00000145242/ENSG00000145715/ENSG00000150093/ENSG00000154134/ENSG00000154229/ENSG00000154380/ENSG00000154928/ENSG00000156687/ENSG00000162631/ENSG00000167680/ENSG00000169855/ENSG00000171608/ENSG00000173210/ENSG00000182168/ENSG00000184349/ENSG00000196358/ENSG00000198753/ENSG00000204217/ENSG00000221866";"FYN/EPHA3/NTN1/SEMA3C/PLXNA2/PAK3/EPHA6/NRP1/PAK5/MYL12A/MET/PPP3CB/WNT5B/SEMA5A/WNT5A/GNAI2/PPP3CC/PIK3CA/GNAI1/TRPC4/EPHB2/SEMA4F/SEMA7A/BMPR1B/TRPC3/PPP3CA/EPHA2/BOC/TRPC1/SLIT2/EPHA5/RASA1/ITGB1/ROBO3/PRKCA/ENAH/EPHB1/UNC5D/NTNG1/SEMA6B/ROBO1/PIK3CD/ABLIM3/UNC5C/EFNA5/NTNG2/PLXNB3/BMPR2/PLXNA4";"hsa:2534/hsa:2042/hsa:9423/hsa:10512/hsa:5362/hsa:5063/hsa:285220/hsa:8829/hsa:57144/hsa:10627/hsa:4233/hsa:5532/hsa:81029/hsa:9037/hsa:7474/hsa:2771/hsa:5533/hsa:5290/hsa:2770/hsa:7223/hsa:2048/hsa:10505/hsa:8482/hsa:658/hsa:7222/hsa:5530/hsa:1969/hsa:91653/hsa:7220/hsa:9353/hsa:2044/hsa:5921/hsa:3688/hsa:64221/hsa:5578/hsa:55740/hsa:2047/hsa:137970/hsa:22854/hsa:10501/hsa:6091/hsa:5293/hsa:22885/hsa:8633/hsa:1946/hsa:84628/hsa:5365/hsa:659/hsa:91584";49
"hsa04517";"IgSF CAM signaling";"69/1089";"298/8567";3,05305840253159e-07;3,46013285620247e-05;"ENSG00000010810/ENSG00000018236/ENSG00000038382/ENSG00000065320/ENSG00000072110/ENSG00000076356/ENSG00000077264/ENSG00000078018/ENSG00000079819/ENSG00000079841/ENSG00000082397/ENSG00000099250/ENSG00000100345/ENSG00000101306/ENSG00000101349/ENSG00000101608/ENSG00000105426/ENSG00000106278/ENSG00000107186/ENSG00000107643/ENSG00000108797/ENSG00000115232/ENSG00000117020/ENSG00000117155/ENSG00000118257/ENSG00000121879/ENSG00000127824/ENSG00000128052/ENSG00000134215/ENSG00000137877/ENSG00000139220/ENSG00000140538/ENSG00000145147/ENSG00000145715/ENSG00000147065/ENSG00000149294/ENSG00000149571/ENSG00000150093/ENSG00000150637/ENSG00000154133/ENSG00000154134/ENSG00000154229/ENSG00000154721/ENSG00000155974/ENSG00000156687/ENSG00000160255/ENSG00000161647/ENSG00000162704/ENSG00000165246/ENSG00000165300/ENSG00000166086/ENSG00000167552/ENSG00000168036/ENSG00000169760/ENSG00000169855/ENSG00000169992/ENSG00000170558/ENSG00000171608/ENSG00000173898/ENSG00000176014/ENSG00000182168/ENSG00000183067/ENSG00000185985/ENSG00000187391/ENSG00000196083/ENSG00000196230/ENSG00000221866/ENSG00000258947/ENSG00000259207";"FYN/CNTN1/TRIO/NTN1/ACTN1/PLXNA2/PAK3/MAP2/EPB41L2/RIMS1/EPB41L3/NRP1/MYH9/MYLK2/PAK5/MYL12A/PTPRS/PTPRZ1/MPDZ/MAPK8/CNTNAP1/ITGA4/AKT3/SSX2IP/NRP2/PIK3CA/TUBA4A/KDR/VAV3/SPTBN5/PPFIA2/NTRK3/SLIT2/RASA1/MSN/NCAM1/KIRREL3/ITGB1/CD226/ROBO4/ROBO3/PRKCA/JAM2/GRIP1/UNC5D/ITGB2/MPP3/ARPC5/NLGN4Y/SLITRK5/JAM3/TUBA1A/CTNNB1/NLGN1/ROBO1/NLGN2/CDH2/PIK3CD/SPTBN2/TUBB6/UNC5C/IGSF5/SLITRK2/MAGI2/IL1RAP/TUBB/PLXNA4/TUBB3/ITGB3";"hsa:2534/hsa:1272/hsa:7204/hsa:9423/hsa:87/hsa:5362/hsa:5063/hsa:4133/hsa:2037/hsa:22999/hsa:23136/hsa:8829/hsa:4627/hsa:85366/hsa:57144/hsa:10627/hsa:5802/hsa:5803/hsa:8777/hsa:5599/hsa:8506/hsa:3676/hsa:10000/hsa:117178/hsa:8828/hsa:5290/hsa:7277/hsa:3791/hsa:10451/hsa:51332/hsa:8499/hsa:4916/hsa:9353/hsa:5921/hsa:4478/hsa:4684/hsa:84623/hsa:3688/hsa:10666/hsa:54538/hsa:64221/hsa:5578/hsa:58494/hsa:23426/hsa:137970/hsa:3689/hsa:4356/hsa:10092/hsa:22829/hsa:26050/hsa:83700/hsa:7846/hsa:1499/hsa:22871/hsa:6091/hsa:57555/hsa:1000/hsa:5293/hsa:6712/hsa:84617/hsa:8633/hsa:150084/hsa:84631/hsa:9863/hsa:3556/hsa:203068/hsa:91584/hsa:10381/hsa:3690";69
"hsa04010";"MAPK signaling pathway";"68/1089";"299/8567";7,52658598793058e-07;6,397598089741e-05;"ENSG00000006062/ENSG00000026103/ENSG00000064300/ENSG00000071242/ENSG00000081189/ENSG00000085511/ENSG00000090554/ENSG00000092969/ENSG00000099860/ENSG00000100784/ENSG00000101280/ENSG00000104856/ENSG00000105329/ENSG00000105499/ENSG00000105976/ENSG00000106211/ENSG00000107643/ENSG00000107758/ENSG00000113578/ENSG00000116711/ENSG00000116717/ENSG00000117020/ENSG00000117407/ENSG00000117632/ENSG00000119699/ENSG00000120875/ENSG00000120910/ENSG00000125538/ENSG00000128052/ENSG00000130758/ENSG00000134259/ENSG00000135090/ENSG00000138166/ENSG00000138675/ENSG00000138685/ENSG00000138798/ENSG00000138814/ENSG00000141510/ENSG00000141837/ENSG00000142627/ENSG00000142875/ENSG00000143507/ENSG00000145431/ENSG00000145715/ENSG00000146535/ENSG00000146648/ENSG00000148053/ENSG00000150630/ENSG00000153233/ENSG00000154229/ENSG00000158711/ENSG00000163235/ENSG00000164086/ENSG00000168621/ENSG00000170962/ENSG00000172380/ENSG00000173110/ENSG00000176697/ENSG00000177606/ENSG00000182389/ENSG00000184216/ENSG00000184349/ENSG00000184371/ENSG00000196083/ENSG00000196924/ENSG00000197442/ENSG00000198909/ENSG00000225950";"MAP3K14/FAS/NGFR/RPS6KA2/MEF2C/MAP3K4/FLT3LG/TGFB2/GADD45B/RPS6KA5/ANGPT4/RELB/TGFB1/PLA2G4C/MET/HSPB1/MAPK8/PPP3CB/FGF1/PLA2G4A/GADD45A/AKT3/ARTN/STMN1/TGFB3/DUSP4/PPP3CC/IL1B/KDR/MAP3K10/NGF/TAOK3/DUSP5/FGF5/FGF2/EGF/PPP3CA/TP53/CACNA1A/EPHA2/PRKACB/DUSP10/PDGFC/RASA1/GNA12/EGFR/NTRK2/VEGFC/PTPRR/PRKCA/ELK4/TGFA/DUSP7/GDNF/PDGFD/GNG12/HSPA6/BDNF/JUN/CACNB4/IRAK1/EFNA5/CSF1/IL1RAP/FLNA/MAP3K5/MAP3K3/NTF4";"hsa:9020/hsa:355/hsa:4804/hsa:6196/hsa:4208/hsa:4216/hsa:2323/hsa:7042/hsa:4616/hsa:9252/hsa:51378/hsa:5971/hsa:7040/hsa:8605/hsa:4233/hsa:3315/hsa:5599/hsa:5532/hsa:2246/hsa:5321/hsa:1647/hsa:10000/hsa:9048/hsa:3925/hsa:7043/hsa:1846/hsa:5533/hsa:3553/hsa:3791/hsa:4294/hsa:4803/hsa:51347/hsa:1847/hsa:2250/hsa:2247/hsa:1950/hsa:5530/hsa:7157/hsa:773/hsa:1969/hsa:5567/hsa:11221/hsa:56034/hsa:5921/hsa:2768/hsa:1956/hsa:4915/hsa:7424/hsa:5801/hsa:5578/hsa:2005/hsa:7039/hsa:1849/hsa:2668/hsa:80310/hsa:55970/hsa:3310/hsa:627/hsa:3725/hsa:785/hsa:3654/hsa:1946/hsa:1435/hsa:3556/hsa:2316/hsa:4217/hsa:4215/hsa:4909";68
"hsa05205";"Proteoglycans in cancer";"49/1089";"204/8567";5,51635152739562e-06;0,000333552404675783;"ENSG00000011422/ENSG00000026103/ENSG00000026508/ENSG00000063660/ENSG00000076928/ENSG00000087245/ENSG00000092969/ENSG00000105329/ENSG00000105971/ENSG00000105974/ENSG00000105976/ENSG00000110092/ENSG00000111186/ENSG00000113070/ENSG00000114251/ENSG00000115884/ENSG00000117020/ENSG00000121879/ENSG00000122691/ENSG00000123104/ENSG00000124762/ENSG00000125503/ENSG00000128052/ENSG00000128710/ENSG00000134215/ENSG00000135047/ENSG00000136869/ENSG00000137801/ENSG00000138685/ENSG00000139329/ENSG00000141510/ENSG00000142875/ENSG00000146648/ENSG00000147065/ENSG00000150093/ENSG00000150995/ENSG00000154229/ENSG00000156299/ENSG00000157240/ENSG00000164692/ENSG00000164930/ENSG00000168036/ENSG00000169439/ENSG00000171608/ENSG00000173083/ENSG00000177283/ENSG00000196924/ENSG00000233608/ENSG00000259207";"PLAUR/FAS/CD44/GPC1/ARHGEF1/MMP2/TGFB2/TGFB1/CAV2/CAV1/MET/CCND1/WNT5B/HBEGF/WNT5A/SDC1/AKT3/PIK3CA/TWIST1/ITPR2/CDKN1A/PPP1R12C/KDR/HOXD10/VAV3/CTSL/TLR4/THBS1/FGF2/LUM/TP53/PRKACB/EGFR/MSN/ITGB1/ITPR1/PRKCA/TIAM1/FZD1/COL1A2/FZD6/CTNNB1/SDC2/PIK3CD/HPSE/FZD8/FLNA/TWIST2/ITGB3";"hsa:5329/hsa:355/hsa:960/hsa:2817/hsa:9138/hsa:4313/hsa:7042/hsa:7040/hsa:858/hsa:857/hsa:4233/hsa:595/hsa:81029/hsa:1839/hsa:7474/hsa:6382/hsa:10000/hsa:5290/hsa:7291/hsa:3709/hsa:1026/hsa:54776/hsa:3791/hsa:3236/hsa:10451/hsa:1514/hsa:7099/hsa:7057/hsa:2247/hsa:4060/hsa:7157/hsa:5567/hsa:1956/hsa:4478/hsa:3688/hsa:3708/hsa:5578/hsa:7074/hsa:8321/hsa:1278/hsa:8323/hsa:1499/hsa:6383/hsa:5293/hsa:10855/hsa:8325/hsa:2316/hsa:117581/hsa:3690";49
"hsa04371";"Apelin signaling pathway";"37/1089";"139/8567";6,57736671738013e-06;0,000333552404675783;"ENSG00000068024/ENSG00000069966/ENSG00000078142/ENSG00000081189/ENSG00000101306/ENSG00000101333/ENSG00000101384/ENSG00000101460/ENSG00000104368/ENSG00000106366/ENSG00000107796/ENSG00000109819/ENSG00000110092/ENSG00000111664/ENSG00000114353/ENSG00000114450/ENSG00000116604/ENSG00000117020/ENSG00000118523/ENSG00000118785/ENSG00000123104/ENSG00000127528/ENSG00000127955/ENSG00000142875/ENSG00000144891/ENSG00000150995/ENSG00000152495/ENSG00000156052/ENSG00000164742/ENSG00000168243/ENSG00000171132/ENSG00000171388/ENSG00000172380/ENSG00000174021/ENSG00000176170/ENSG00000183023/ENSG00000198838";"HDAC4/GNB5/PIK3C3/MEF2C/MYLK2/PLCB4/JAG1/MAP1LC3A/PLAT/SERPINE1/ACTA2/PPARGC1A/CCND1/GNB3/GNAI2/GNB4/MEF2D/AKT3/CTGF/SPP1/ITPR2/KLF2/GNAI1/PRKACB/AGTR1/ITPR1/CAMK4/GNAQ/ADCY1/GNG4/PRKCE/APLN/GNG12/GNG5/SPHK1/SLC8A1/RYR3";"hsa:9759/hsa:10681/hsa:5289/hsa:4208/hsa:85366/hsa:5332/hsa:182/hsa:84557/hsa:5327/hsa:5054/hsa:59/hsa:10891/hsa:595/hsa:2784/hsa:2771/hsa:59345/hsa:4209/hsa:10000/hsa:1490/hsa:6696/hsa:3709/hsa:10365/hsa:2770/hsa:5567/hsa:185/hsa:3708/hsa:814/hsa:2776/hsa:107/hsa:2786/hsa:5581/hsa:8862/hsa:55970/hsa:2787/hsa:8877/hsa:6546/hsa:6263";37
"hsa04151";"PI3K-Akt signaling pathway";"75/1089";"360/8567";6,86725539038377e-06;0,000333552404675783;"ENSG00000005884/ENSG00000041982/ENSG00000064300/ENSG00000069966/ENSG00000073711/ENSG00000080824/ENSG00000090554/ENSG00000091409/ENSG00000101280/ENSG00000104432/ENSG00000105855/ENSG00000105976/ENSG00000106615/ENSG00000110092/ENSG00000111664/ENSG00000112769/ENSG00000112964/ENSG00000113494/ENSG00000113578/ENSG00000114450/ENSG00000115232/ENSG00000117020/ENSG00000117407/ENSG00000118513/ENSG00000118785/ENSG00000121879/ENSG00000123143/ENSG00000124762/ENSG00000128052/ENSG00000134259/ENSG00000134871/ENSG00000136244/ENSG00000136869/ENSG00000137801/ENSG00000138675/ENSG00000138685/ENSG00000138798/ENSG00000141510/ENSG00000142156/ENSG00000142173/ENSG00000142627/ENSG00000143384/ENSG00000145431/ENSG00000145623/ENSG00000146648/ENSG00000147145/ENSG00000148053/ENSG00000150093/ENSG00000150630/ENSG00000154229/ENSG00000157613/ENSG00000160447/ENSG00000160712/ENSG00000163235/ENSG00000163359/ENSG00000164692/ENSG00000168243/ENSG00000168621/ENSG00000168685/ENSG00000169231/ENSG00000170962/ENSG00000171608/ENSG00000171862/ENSG00000172380/ENSG00000174021/ENSG00000176697/ENSG00000181104/ENSG00000184349/ENSG00000184371/ENSG00000186340/ENSG00000187391/ENSG00000187498/ENSG00000196569/ENSG00000225950/ENSG00000259207";"ITGA3/TNC/NGFR/GNB5/PPP2R3A/HSP90AA1/FLT3LG/ITGA6/ANGPT4/IL7/ITGB8/MET/RHEB/CCND1/GNB3/LAMA4/GHR/PRLR/FGF1/GNB4/ITGA4/AKT3/ARTN/MYB/SPP1/PIK3CA/PKN1/CDKN1A/KDR/NGF/COL4A2/IL6/TLR4/THBS1/FGF5/FGF2/EGF/TP53/COL6A1/COL6A2/EPHA2/MCL1/PDGFC/OSMR/EGFR/LPAR4/NTRK2/ITGB1/VEGFC/PRKCA/CREB3L1/PKN3/IL6R/TGFA/COL6A3/COL1A2/GNG4/GDNF/IL7R/THBS3/PDGFD/PIK3CD/PTEN/GNG12/GNG5/BDNF/F2R/EFNA5/CSF1/THBS2/MAGI2/COL4A1/LAMA2/NTF4/ITGB3";"hsa:3675/hsa:3371/hsa:4804/hsa:10681/hsa:5523/hsa:3320/hsa:2323/hsa:3655/hsa:51378/hsa:3574/hsa:3696/hsa:4233/hsa:6009/hsa:595/hsa:2784/hsa:3910/hsa:2690/hsa:5618/hsa:2246/hsa:59345/hsa:3676/hsa:10000/hsa:9048/hsa:4602/hsa:6696/hsa:5290/hsa:5585/hsa:1026/hsa:3791/hsa:4803/hsa:1284/hsa:3569/hsa:7099/hsa:7057/hsa:2250/hsa:2247/hsa:1950/hsa:7157/hsa:1291/hsa:1292/hsa:1969/hsa:4170/hsa:56034/hsa:9180/hsa:1956/hsa:2846/hsa:4915/hsa:3688/hsa:7424/hsa:5578/hsa:90993/hsa:29941/hsa:3570/hsa:7039/hsa:1293/hsa:1278/hsa:2786/hsa:2668/hsa:3575/hsa:7059/hsa:80310/hsa:5293/hsa:5728/hsa:55970/hsa:2787/hsa:627/hsa:2149/hsa:1946/hsa:1435/hsa:7058/hsa:9863/hsa:1282/hsa:3908/hsa:4909/hsa:3690";75
"hsa05222";"Small cell lung cancer";"27/1089";"93/8567";2,14942261371017e-05;0,000824781736705956;"ENSG00000005884/ENSG00000023445/ENSG00000056558/ENSG00000077092/ENSG00000082512/ENSG00000091409/ENSG00000099860/ENSG00000100906/ENSG00000101966/ENSG00000110092/ENSG00000110330/ENSG00000112769/ENSG00000116717/ENSG00000117020/ENSG00000121879/ENSG00000122008/ENSG00000123975/ENSG00000124762/ENSG00000131323/ENSG00000134871/ENSG00000139687/ENSG00000141510/ENSG00000150093/ENSG00000171608/ENSG00000171862/ENSG00000187498/ENSG00000196569";"ITGA3/BIRC3/TRAF1/RARB/TRAF5/ITGA6/GADD45B/NFKBIA/XIAP/CCND1/BIRC2/LAMA4/GADD45A/AKT3/PIK3CA/POLK/CKS2/CDKN1A/TRAF3/COL4A2/RB1/TP53/ITGB1/PIK3CD/PTEN/COL4A1/LAMA2";"hsa:3675/hsa:330/hsa:7185/hsa:5915/hsa:7188/hsa:3655/hsa:4616/hsa:4792/hsa:331/hsa:595/hsa:329/hsa:3910/hsa:1647/hsa:10000/hsa:5290/hsa:51426/hsa:1164/hsa:1026/hsa:7187/hsa:1284/hsa:5925/hsa:7157/hsa:3688/hsa:5293/hsa:5728/hsa:1282/hsa:3908";27
"hsa04668";"TNF signaling pathway";"32/1089";"119/8567";2,18324577363341e-05;0,000824781736705956;"ENSG00000006062/ENSG00000023445/ENSG00000026103/ENSG00000056558/ENSG00000081041/ENSG00000082512/ENSG00000083799/ENSG00000100784/ENSG00000100906/ENSG00000101384/ENSG00000101966/ENSG00000107643/ENSG00000110330/ENSG00000115604/ENSG00000117020/ENSG00000121879/ENSG00000125538/ENSG00000128342/ENSG00000131323/ENSG00000136244/ENSG00000150630/ENSG00000157227/ENSG00000157613/ENSG00000163734/ENSG00000164136/ENSG00000164400/ENSG00000171223/ENSG00000171608/ENSG00000177606/ENSG00000184371/ENSG00000184557/ENSG00000197442";"MAP3K14/BIRC3/FAS/TRAF1/CXCL2/TRAF5/CYLD/RPS6KA5/NFKBIA/JAG1/XIAP/MAPK8/BIRC2/IL18R1/AKT3/PIK3CA/IL1B/LIF/TRAF3/IL6/VEGFC/MMP14/CREB3L1/CXCL3/IL15/CSF2/JUNB/PIK3CD/JUN/CSF1/SOCS3/MAP3K5";"hsa:9020/hsa:330/hsa:355/hsa:7185/hsa:2920/hsa:7188/hsa:1540/hsa:9252/hsa:4792/hsa:182/hsa:331/hsa:5599/hsa:329/hsa:8809/hsa:10000/hsa:5290/hsa:3553/hsa:3976/hsa:7187/hsa:3569/hsa:7424/hsa:4323/hsa:90993/hsa:2921/hsa:3600/hsa:1437/hsa:3726/hsa:5293/hsa:3725/hsa:1435/hsa:9021/hsa:4217";32
"hsa04820";"Cytoskeleton in muscle cells";"52/1089";"233/8567";2,6417325172432e-05;0,000898189055862689;"ENSG00000005884/ENSG00000022267/ENSG00000026025/ENSG00000038427/ENSG00000054654/ENSG00000060718/ENSG00000091409/ENSG00000100242/ENSG00000100345/ENSG00000105855/ENSG00000111674/ENSG00000115232/ENSG00000115641/ENSG00000115884/ENSG00000116489/ENSG00000123096/ENSG00000128872/ENSG00000130635/ENSG00000131018/ENSG00000131435/ENSG00000134769/ENSG00000134871/ENSG00000137801/ENSG00000137877/ENSG00000138347/ENSG00000140416/ENSG00000142156/ENSG00000142173/ENSG00000144821/ENSG00000150093/ENSG00000154553/ENSG00000155816/ENSG00000160789/ENSG00000162512/ENSG00000163017/ENSG00000163069/ENSG00000163359/ENSG00000164692/ENSG00000166147/ENSG00000167460/ENSG00000169231/ENSG00000169439/ENSG00000173898/ENSG00000175183/ENSG00000178209/ENSG00000184922/ENSG00000186340/ENSG00000187498/ENSG00000196569/ENSG00000196923/ENSG00000198467/ENSG00000259207";"ITGA3/FHL1/VIM/VCAN/SYNE2/COL11A1/ITGA6/SUN2/MYH9/ITGB8/ENO2/ITGA4/FHL2/SDC1/CAPZA1/SSPN/TMOD2/COL5A1/SYNE1/PDLIM4/DTNA/COL4A2/THBS1/SPTBN5/MYPN/TPM1/COL6A1/COL6A2/MYH15/ITGB1/PDLIM3/FMN2/LMNA/SDC3/ACTG2/SGCB/COL6A3/COL1A2/FBN1/TPM4/THBS3/SDC2/SPTBN2/CSRP2/PLEC/FMNL1/THBS2/COL4A1/LAMA2/PDLIM7/TPM2/ITGB3";"hsa:3675/hsa:2273/hsa:7431/hsa:1462/hsa:23224/hsa:1301/hsa:3655/hsa:25777/hsa:4627/hsa:3696/hsa:2026/hsa:3676/hsa:2274/hsa:6382/hsa:829/hsa:8082/hsa:29767/hsa:1289/hsa:23345/hsa:8572/hsa:1837/hsa:1284/hsa:7057/hsa:51332/hsa:84665/hsa:7168/hsa:1291/hsa:1292/hsa:22989/hsa:3688/hsa:27295/hsa:56776/hsa:4000/hsa:9672/hsa:72/hsa:6443/hsa:1293/hsa:1278/hsa:2200/hsa:7171/hsa:7059/hsa:6383/hsa:6712/hsa:1466/hsa:5339/hsa:752/hsa:7058/hsa:1282/hsa:3908/hsa:9260/hsa:7169/hsa:3690";52
