"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000153976";"HS3ST3A1";"heparan sulfate-glucosamine 3-sulfotransferase 3A1";32;1216,10412597656;"Yes"
"row_1";"ENSG00000125430";"HS3ST3B1";"heparan sulfate-glucosamine 3-sulfotransferase 3B1";188;370,729614257812;"Yes"
"row_2";"ENSG00000182197";"EXT1";"exostosin glycosyltransferase 1";688;110,803382873535;"Yes"
"row_3";"ENSG00000012232";"EXTL3";"exostosin like glycosyltransferase 3";1295;48,8134002685547;"Yes"
"row_4";"ENSG00000162694";"EXTL2";"exostosin like glycosyltransferase 2";1385;42,9840393066406;"Yes"
"row_5";"ENSG00000171004";"HS6ST2";"heparan sulfate 6-O-sulfotransferase 2";1492;38,294750213623;"Yes"
"row_6";"ENSG00000151348";"EXT2";"exostosin glycosyltransferase 2";1800;27,0380401611328;"Yes"
"row_7";"ENSG00000153936";"HS2ST1";"heparan sulfate 2-O-sulfotransferase 1";1808;26,8488903045654;"Yes"
"row_8";"ENSG00000176022";"B3GALT6";"beta-1,3-galactosyltransferase 6";1895;24,5260524749756;"Yes"
"row_9";"ENSG00000002587";"HS3ST1";"heparan sulfate-glucosamine 3-sulfotransferase 1";2754;11,295446395874;"No"
"row_10";"ENSG00000138604";"GLCE";"glucuronic acid epimerase";2900;10,1456537246704;"No"
"row_11";"ENSG00000070614";"NDST1";"N-deacetylase and N-sulfotransferase 1";4177;3,93503046035767;"No"
"row_12";"ENSG00000164100";"NDST3";"N-deacetylase and N-sulfotransferase 3";5692;1,15626978874207;"No"
"row_13";"ENSG00000158008";"EXTL1";"exostosin like glycosyltransferase 1";8207;0,137407884001732;"No"
"row_14";"ENSG00000249853";"HS3ST5";"heparan sulfate-glucosamine 3-sulfotransferase 5";9332;0,0335277132689953;"No"
"row_15";"ENSG00000112309";"B3GAT2";"beta-1,3-glucuronyltransferase 2";10449;-0,00629440229386091;"No"
"row_16";"ENSG00000166507";"NDST2";"N-deacetylase and N-sulfotransferase 2";10654;-0,0150687610730529;"No"
"row_17";"ENSG00000015532";"XYLT2";"xylosyltransferase 2";12923;-0,599981784820557;"No"
"row_18";"ENSG00000027847";"B4GALT7";"beta-1,4-galactosyltransferase 7";14979;-2,27653121948242;"No"
"row_19";"ENSG00000103489";"XYLT1";"xylosyltransferase 1";16632;-7,75003242492676;"No"
"row_20";"ENSG00000136720";"HS6ST1";"heparan sulfate 6-O-sulfotransferase 1";16875;-9,32168960571289;"No"
"row_21";"ENSG00000149541";"B3GAT3";"beta-1,3-glucuronyltransferase 3";16981;-9,94087982177734;"No"
"row_22";"ENSG00000109956";"B3GAT1";"beta-1,3-glucuronyltransferase 1";17669;-17,6062355041504;"No"
"row_23";"ENSG00000185352";"HS6ST3";"heparan sulfate 6-O-sulfotransferase 3";17897;-21,6132984161377;"No"
