"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000114450";"GNB4";"G protein subunit beta 4";17;1560,47790527344;"Yes"
"row_1";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";111;546,368286132812;"Yes"
"row_2";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";287;270,402587890625;"Yes"
"row_3";"ENSG00000169429";"CXCL8";"C-X-C motif chemokine ligand 8";422;189,021926879883;"Yes"
"row_4";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";686;111,259742736816;"Yes"
"row_5";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";849;84,5090408325195;"Yes"
"row_6";"ENSG00000111664";"GNB3";"G protein subunit beta 3";1233;52,1940956115723;"No"
"row_7";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";1445;40,2385711669922;"No"
"row_8";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";2333;16,2559413909912;"No"
"row_9";"ENSG00000136244";"IL6";"interleukin 6";2507;13,9337167739868;"No"
"row_10";"ENSG00000078369";"GNB1";"G protein subunit beta 1";3646;5,60976314544678;"No"
"row_11";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";3801;5,04278421401978;"No"
"row_12";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";5122;1,85478532314301;"No"
"row_13";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";5536;1,3225382566452;"No"
"row_14";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";5628;1,23549497127533;"No"
"row_15";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";7758;0,229930981993675;"No"
"row_16";"ENSG00000069966";"GNB5";"G protein subunit beta 5";9370;0,0333425998687744;"No"
"row_17";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";10136;-7,27107471902855e-05;"No"
"row_18";"ENSG00000127928";"GNGT1";"G protein subunit gamma transducin 1";13514;-0,851084470748901;"No"
"row_19";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";14231;-1,37837409973145;"No"
"row_20";"ENSG00000051382";"PIK3CB";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta";14394;-1,4988249540329;"No"
"row_21";"ENSG00000100906";"NFKBIA";"NFKB inhibitor alpha";16175;-5,55162572860718;"No"
"row_22";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";16216;-5,67833518981934;"No"
"row_23";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";16681;-8,01550388336182;"No"
"row_24";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";18480;-38,6594924926758;"No"
"row_25";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";19354;-131,006088256836;"No"
"row_26";"ENSG00000172354";"GNB2";"G protein subunit beta 2";19590;-226,59440612793;"No"
