"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000114450";"GNB4";"G protein subunit beta 4";17;1560,47790527344;"Yes"
"row_1";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";111;546,368286132812;"Yes"
"row_2";"ENSG00000154229";"PRKCA";"protein kinase C alpha";419;190,514419555664;"Yes"
"row_3";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";686;111,259742736816;"Yes"
"row_4";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";849;84,5090408325195;"Yes"
"row_5";"ENSG00000111664";"GNB3";"G protein subunit beta 3";1233;52,1940956115723;"No"
"row_6";"ENSG00000101333";"PLCB4";"phospholipase C beta 4";2133;19,4101085662842;"No"
"row_7";"ENSG00000182621";"PLCB1";"phospholipase C beta 1";2417;15,1060914993286;"No"
"row_8";"ENSG00000078369";"GNB1";"G protein subunit beta 1";3646;5,60976314544678;"No"
"row_9";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";3801;5,04278421401978;"No"
"row_10";"ENSG00000069966";"GNB5";"G protein subunit beta 5";9370;0,0333425998687744;"No"
"row_11";"ENSG00000166501";"PRKCB";"protein kinase C beta";9858;0,00283099128864706;"No"
"row_12";"ENSG00000137841";"PLCB2";"phospholipase C beta 2";11531;-0,139933913946152;"No"
"row_13";"ENSG00000127928";"GNGT1";"G protein subunit gamma transducin 1";13514;-0,851084470748901;"No"
"row_14";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";14231;-1,37837409973145;"No"
"row_15";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";16681;-8,01550388336182;"No"
"row_16";"ENSG00000126583";"PRKCG";"protein kinase C gamma";17237;-12,4527587890625;"No"
"row_17";"ENSG00000149782";"PLCB3";"phospholipase C beta 3";17319;-13,1846609115601;"No"
"row_18";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";18480;-38,6594924926758;"No"
"row_19";"ENSG00000172354";"GNB2";"G protein subunit beta 2";19590;-226,59440612793;"No"
