"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000060982";"BCAT1";"branched chain amino acid transaminase 1";29;1312,99719238281;"Yes"
"row_1";"ENSG00000188641";"DPYD";"dihydropyrimidine dehydrogenase";235;319,98388671875;"Yes"
"row_2";"ENSG00000125779";"PANK2";"pantothenate kinase 2";959;72,8825607299805;"Yes"
"row_3";"ENSG00000197594";"ENPP1";"ectonucleotide pyrophosphatase/phosphodiesterase 1";2362;15,918140411377;"No"
"row_4";"ENSG00000112299";"VNN1";"vanin 1";2465;14,4174633026123;"No"
"row_5";"ENSG00000120137";"PANK3";"pantothenate kinase 3";3830;4,95475339889526;"No"
"row_6";"ENSG00000147647";"DPYS";"dihydropyrimidinase";6797;0,50067663192749;"No"
"row_7";"ENSG00000157881";"PANK4";"pantothenate kinase 4 (inactive)";7900;0,188084676861763;"No"
"row_8";"ENSG00000138621";"PPCDC";"phosphopantothenoylcysteine decarboxylase";11493;-0,132081836462021;"No"
"row_9";"ENSG00000154269";"ENPP3";"ectonucleotide pyrophosphatase/phosphodiesterase 3";11582;-0,155779123306274;"No"
"row_10";"ENSG00000152782";"PANK1";"pantothenate kinase 1";13044;-0,663621366024017;"No"
"row_11";"ENSG00000100024";"UPB1";"beta-ureidopropionase 1";13102;-0,697506606578827;"No"
"row_12";"ENSG00000112303";"VNN2";"vanin 2";13109;-0,697506606578827;"No"
"row_13";"ENSG00000068120";"COASY";"Coenzyme A synthase";15462;-3,28305315971375;"No"
"row_14";"ENSG00000105552";"BCAT2";"branched chain amino acid transaminase 2";17636;-17,1010990142822;"No"
