"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";287;270,402587890625;"No"
"row_1";"ENSG00000159216";"RUNX1";"RUNX family transcription factor 1";638;120,105613708496;"No"
"row_2";"ENSG00000138795";"LEF1";"lymphoid enhancer binding factor 1";802;91,5481491088867;"No"
"row_3";"ENSG00000110092";"CCND1";"cyclin D1";1031;66,4511795043945;"No"
"row_4";"ENSG00000112033";"PPARD";"peroxisome proliferator activated receptor delta";1175;56,0010566711426;"No"
"row_5";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";1445;40,2385711669922;"No"
"row_6";"ENSG00000140464";"PML";"PML nuclear body scaffold";1619;32,9138793945312;"No"
"row_7";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";1852;25,700122833252;"No"
"row_8";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";2333;16,2559413909912;"No"
"row_9";"ENSG00000157404";"KIT";"KIT proto-oncogene, receptor tyrosine kinase";2722;11,6257333755493;"No"
"row_10";"ENSG00000081059";"TCF7";"transcription factor 7";3284;7,44219636917114;"No"
"row_11";"ENSG00000152284";"TCF7L1";"transcription factor 7 like 1";4893;2,2147319316864;"No"
"row_12";"ENSG00000109906";"ZBTB16";"zinc finger and BTB domain containing 16";5020;1,97849547863007;"No"
"row_13";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";5122;1,85478532314301;"No"
"row_14";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";5467;1,3569415807724;"No"
"row_15";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";5536;1,3225382566452;"No"
"row_16";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";5598;1,26098966598511;"No"
"row_17";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";5628;1,23549497127533;"No"
"row_18";"ENSG00000137193";"PIM1";"Pim-1 proto-oncogene, serine/threonine kinase";5880;1,02446126937866;"No"
"row_19";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";6270;0,77302759885788;"No"
"row_20";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";6465;0,657717227935791;"No"
"row_21";"ENSG00000173757";"STAT5B";"signal transducer and activator of transcription 5B";6504;0,630499601364136;"No"
"row_22";"ENSG00000066336";"SPI1";"Spi-1 proto-oncogene";6567;0,594426512718201;"No"
"row_23";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";6652;0,5498086810112;"No"
"row_24";"ENSG00000198793";"MTOR";"mechanistic target of rapamycin kinase";6653;0,549610733985901;"No"
"row_25";"ENSG00000079102";"RUNX1T1";"RUNX1 partner transcriptional co-repressor 1";6758;0,50067663192749;"No"
"row_26";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";7015;0,482484668493271;"No"
"row_27";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";7758;0,229930981993675;"No"
"row_28";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";10136;-7,27107471902855e-05;"No"
"row_29";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";11557;-0,148739710450172;"No"
"row_30";"ENSG00000126561";"STAT5A";"signal transducer and activator of transcription 5A";11769;-0,193539932370186;"No"
"row_31";"ENSG00000148737";"TCF7L2";"transcription factor 7 like 2";11786;-0,199136078357697;"No"
"row_32";"ENSG00000187840";"EIF4EBP1";"eukaryotic translation initiation factor 4E binding protein 1";11922;-0,237900376319885;"No"
"row_33";"ENSG00000102096";"PIM2";"Pim-2 proto-oncogene, serine/threonine kinase";11923;-0,238065466284752;"No"
"row_34";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";12047;-0,280081182718277;"No"
"row_35";"ENSG00000122025";"FLT3";"fms related receptor tyrosine kinase 3";13417;-0,773421704769135;"No"
"row_36";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";14178;-1,33624947071075;"No"
"row_37";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";14330;-1,43635773658752;"No"
"row_38";"ENSG00000051382";"PIK3CB";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta";14394;-1,4988249540329;"No"
"row_39";"ENSG00000133101";"CCNA1";"cyclin A1";14900;-2,23949885368347;"No"
"row_40";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";15314;-2,92309594154358;"No"
"row_41";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";16216;-5,67833518981934;"No"
"row_42";"ENSG00000002330";"BAD";"BCL2 associated agonist of cell death";16298;-6,02202081680298;"No"
"row_43";"ENSG00000136997";"MYC";"MYC proto-oncogene, bHLH transcription factor";16636;-7,76481771469116;"No"
"row_44";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";17173;-11,7342681884766;"No"
