"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";1445;40,2385711669922;"No"
"row_1";"ENSG00000156475";"PPP2R2B";"protein phosphatase 2 regulatory subunit Bbeta";1892;24,5640735626221;"No"
"row_2";"ENSG00000104695";"PPP2CB";"protein phosphatase 2 catalytic subunit beta";2468;14,3770027160645;"No"
"row_3";"ENSG00000137713";"PPP2R1B";"protein phosphatase 2 scaffold subunit Abeta";2874;10,3195390701294;"No"
"row_4";"ENSG00000073711";"PPP2R3A";"protein phosphatase 2 regulatory subunit B''alpha";3074;8,80409526824951;"No"
"row_5";"ENSG00000113575";"PPP2CA";"protein phosphatase 2 catalytic subunit alpha";3488;6,33405256271362;"No"
"row_6";"ENSG00000221914";"PPP2R2A";"protein phosphatase 2 regulatory subunit Balpha";3638;5,67306137084961;"No"
"row_7";"ENSG00000092020";"PPP2R3C";"protein phosphatase 2 regulatory subunit B''gamma";4667;2,67614388465881;"No"
"row_8";"ENSG00000114013";"CD86";"CD86 molecule";5339;1,55594956874847;"No"
"row_9";"ENSG00000121594";"CD80";"CD80 molecule";6778;0,50067663192749;"No"
"row_10";"ENSG00000068971";"PPP2R5B";"protein phosphatase 2 regulatory subunit B'beta";9742;0,00696838507428765;"No"
"row_11";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";10136;-7,27107471902855e-05;"No"
"row_12";"ENSG00000066027";"PPP2R5A";"protein phosphatase 2 regulatory subunit B'alpha";10192;-0,000248390948399901;"No"
"row_13";"ENSG00000105568";"PPP2R1A";"protein phosphatase 2 scaffold subunit Aalpha";12081;-0,293130576610565;"No"
"row_14";"ENSG00000175470";"PPP2R2D";"protein phosphatase 2 regulatory subunit Bdelta";12830;-0,537270247936249;"No"
"row_15";"ENSG00000078304";"PPP2R5C";"protein phosphatase 2 regulatory subunit B'gamma";15229;-2,76141333580017;"No"
"row_16";"ENSG00000167393";"PPP2R3B";"protein phosphatase 2 regulatory subunit B''beta";16210;-5,64022970199585;"No"
"row_17";"ENSG00000154001";"PPP2R5E";"protein phosphatase 2 regulatory subunit B'epsilon";17499;-15,165940284729;"Yes"
"row_18";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";19354;-131,006088256836;"Yes"
"row_19";"ENSG00000074211";"PPP2R2C";"protein phosphatase 2 regulatory subunit Bgamma";19868;-831,555419921875;"Yes"
