"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000038274";"MAT2B";"methionine adenosyltransferase 2 non-catalytic beta subunit";1680;30,8512897491455;"No"
"row_1";"ENSG00000168906";"MAT2A";"methionine adenosyltransferase 2A";3376;6,9025616645813;"No"
"row_2";"ENSG00000165055";"METTL2B";"methyltransferase 2B, tRNA N3-cytidine";3831;4,95273494720459;"No"
"row_3";"ENSG00000131067";"GGT7";"gamma-glutamyltransferase 7";6336;0,722200393676758;"No"
"row_4";"ENSG00000247626";"MARS2";"methionyl-tRNA synthetase 2, mitochondrial";6995;0,493519067764282;"No"
"row_5";"ENSG00000116761";"CTH";"cystathionine gamma-lyase";7636;0,273711979389191;"No"
"row_6";"ENSG00000066651";"TRMT11";"tRNA methyltransferase 11 homolog";8854;0,0880004614591599;"No"
"row_7";"ENSG00000168806";"LCMT2";"leucine carboxyl methyltransferase 2";8911;0,0761141628026962;"No"
"row_8";"ENSG00000151224";"MAT1A";"methionine adenosyltransferase 1A";9275;0,0335277132689953;"No"
"row_9";"ENSG00000100031";"GGT1";"gamma-glutamyltransferase 1";9708;0,00824480038136244;"No"
"row_10";"ENSG00000158467";"AHCYL2";"adenosylhomocysteinase like 2";10185;-0,000210805592359975;"No"
"row_11";"ENSG00000114735";"HEMK1";"HemK methyltransferase 1, mitochondrial release factors N(5)-glutamine";10720;-0,0195171646773815;"No"
"row_12";"ENSG00000071462";"BUD23";"BUD23 rRNA methyltransferase and ribosome maturation factor";11067;-0,0596374049782753;"No"
"row_13";"ENSG00000168710";"AHCYL1";"adenosylhomocysteinase like 1";11277;-0,0855235755443573;"No"
"row_14";"ENSG00000099998";"GGT5";"gamma-glutamyltransferase 5";12449;-0,390414088964462;"No"
"row_15";"ENSG00000206562";"METTL6";"methyltransferase 6, tRNA N3-cytidine";13680;-0,995151162147522;"No"
"row_16";"ENSG00000138801";"PAPSS1";"3'-phosphoadenosine 5'-phosphosulfate synthase 1";15033;-2,34614753723145;"No"
"row_17";"ENSG00000166986";"MARS1";"methionyl-tRNA synthetase 1";15168;-2,61212992668152;"No"
"row_18";"ENSG00000101444";"AHCY";"adenosylhomocysteinase";15795;-4,15050840377808;"No"
"row_19";"ENSG00000086475";"SEPHS1";"selenophosphate synthetase 1";16837;-9,0657205581665;"No"
"row_20";"ENSG00000167741";"GGT6";"gamma-glutamyltransferase 6";17426;-14,2759370803833;"No"
"row_21";"ENSG00000205629";"LCMT1";"leucine carboxyl methyltransferase 1";18917;-63,2497444152832;"Yes"
"row_22";"ENSG00000179918";"SEPHS2";"selenophosphate synthetase 2";19188;-98,7943420410156;"Yes"
"row_23";"ENSG00000198682";"PAPSS2";"3'-phosphoadenosine 5'-phosphosulfate synthase 2";19614;-241,598098754883;"Yes"
"row_24";"ENSG00000160200";"CBS";"cystathionine beta-synthase";19719;-364,579559326172;"Yes"
