"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000138795";"LEF1";"lymphoid enhancer binding factor 1";802;91,5481491088867;"No"
"row_1";"ENSG00000110092";"CCND1";"cyclin D1";1031;66,4511795043945;"No"
"row_2";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";1852;25,700122833252;"No"
"row_3";"ENSG00000143549";"TPM3";"tropomyosin 3";1890;24,5978336334229;"No"
"row_4";"ENSG00000168036";"CTNNB1";"catenin beta 1";2690;11,9133052825928;"No"
"row_5";"ENSG00000047410";"TPR";"translocated promoter region, nuclear basket protein";2961;9,63862228393555;"No"
"row_6";"ENSG00000081059";"TCF7";"transcription factor 7";3284;7,44219636917114;"No"
"row_7";"ENSG00000152284";"TCF7L1";"transcription factor 7 like 1";4893;2,2147319316864;"No"
"row_8";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";5467;1,3569415807724;"No"
"row_9";"ENSG00000125618";"PAX8";"paired box 8";5678;1,17124831676483;"No"
"row_10";"ENSG00000266412";"NCOA4";"nuclear receptor coactivator 4";5875;1,03297650814056;"No"
"row_11";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";6652;0,5498086810112;"No"
"row_12";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";7015;0,482484668493271;"No"
"row_13";"ENSG00000148737";"TCF7L2";"transcription factor 7 like 2";11786;-0,199136078357697;"No"
"row_14";"ENSG00000204231";"RXRB";"retinoid X receptor beta";13591;-0,913343131542206;"No"
"row_15";"ENSG00000198400";"NTRK1";"neurotrophic receptor tyrosine kinase 1";14119;-1,24817323684692;"No"
"row_16";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";14178;-1,33624947071075;"No"
"row_17";"ENSG00000114354";"TFG";"trafficking from ER to golgi regulator";14682;-1,87262153625488;"No"
"row_18";"ENSG00000108091";"CCDC6";"coiled-coil domain containing 6";16339;-6,2169246673584;"No"
"row_19";"ENSG00000136997";"MYC";"MYC proto-oncogene, bHLH transcription factor";16636;-7,76481771469116;"No"
"row_20";"ENSG00000141510";"TP53";"tumor protein p53";18419;-35,7164039611816;"No"
"row_21";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";19143;-89,9459457397461;"Yes"
"row_22";"ENSG00000186350";"RXRA";"retinoid X receptor alpha";19618;-242,890747070312;"Yes"
"row_23";"ENSG00000165731";"RET";"ret proto-oncogene";19722;-371,487487792969;"Yes"
"row_24";"ENSG00000132170";"PPARG";"peroxisome proliferator activated receptor gamma";19739;-384,144683837891;"Yes"
"row_25";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";19763;-429,523132324219;"Yes"
"row_26";"ENSG00000039068";"CDH1";"cadherin 1";19948;-2594,42041015625;"Yes"
