"KEGG_ID";"Description";"Gene_Ratio";"BgRatio";"pvalue";"padj";"gene_id";"gene_name";"kegg_id";"count"
"hsa04510";"Focal adhesion";"74/1391";"202/8567";9,46562760679779e-13;3,29403840716563e-10;"ENSG00000005884/ENSG00000010810/ENSG00000023445/ENSG00000035403/ENSG00000041982/ENSG00000058085/ENSG00000065534/ENSG00000067560/ENSG00000072110/ENSG00000077264/ENSG00000091136/ENSG00000091409/ENSG00000101306/ENSG00000101349/ENSG00000101680/ENSG00000105855/ENSG00000105971/ENSG00000105974/ENSG00000105976/ENSG00000107643/ENSG00000110092/ENSG00000110330/ENSG00000112715/ENSG00000112769/ENSG00000113721/ENSG00000115232/ENSG00000115414/ENSG00000117020/ENSG00000118785/ENSG00000119630/ENSG00000125503/ENSG00000128052/ENSG00000130402/ENSG00000134318/ENSG00000134531/ENSG00000134853/ENSG00000134871/ENSG00000135424/ENSG00000135862/ENSG00000136068/ENSG00000137076/ENSG00000137801/ENSG00000138448/ENSG00000138798/ENSG00000142156/ENSG00000142173/ENSG00000145431/ENSG00000146648/ENSG00000148082/ENSG00000149269/ENSG00000150093/ENSG00000150630/ENSG00000154229/ENSG00000160691/ENSG00000162909/ENSG00000163359/ENSG00000164692/ENSG00000167193/ENSG00000169032/ENSG00000170962/ENSG00000171608/ENSG00000171791/ENSG00000171862/ENSG00000171914/ENSG00000177606/ENSG00000184009/ENSG00000186340/ENSG00000187498/ENSG00000188153/ENSG00000196569/ENSG00000196878/ENSG00000196924/ENSG00000213949/ENSG00000259207";"ITGA3/FYN/BIRC3/VCL/TNC/LAMC2/MYLK/RHOA/ACTN1/PAK3/LAMB1/ITGA6/MYLK2/PAK5/LAMA1/ITGB8/CAV2/CAV1/MET/MAPK8/CCND1/BIRC2/VEGFA/LAMA4/PDGFRB/ITGA4/FN1/AKT3/SPP1/PGF/PPP1R12C/KDR/ACTN4/ROCK2/EMP1/PDGFRA/COL4A2/ITGA7/LAMC1/FLNB/TLN1/THBS1/ITGAV/EGF/COL6A1/COL6A2/PDGFC/EGFR/SHC3/PAK1/ITGB1/VEGFC/PRKCA/SHC1/CAPN2/COL6A3/COL1A2/CRK/MAP2K1/PDGFD/PIK3CD/BCL2/PTEN/TLN2/JUN/ACTG1/THBS2/COL4A1/COL4A5/LAMA2/LAMB3/FLNA/ITGA1/ITGB3";"hsa:3675/hsa:2534/hsa:330/hsa:7414/hsa:3371/hsa:3918/hsa:4638/hsa:387/hsa:87/hsa:5063/hsa:3912/hsa:3655/hsa:85366/hsa:57144/hsa:284217/hsa:3696/hsa:858/hsa:857/hsa:4233/hsa:5599/hsa:595/hsa:329/hsa:7422/hsa:3910/hsa:5159/hsa:3676/hsa:2335/hsa:10000/hsa:6696/hsa:5228/hsa:54776/hsa:3791/hsa:81/hsa:9475/hsa:2012/hsa:5156/hsa:1284/hsa:3679/hsa:3915/hsa:2317/hsa:7094/hsa:7057/hsa:3685/hsa:1950/hsa:1291/hsa:1292/hsa:56034/hsa:1956/hsa:53358/hsa:5058/hsa:3688/hsa:7424/hsa:5578/hsa:6464/hsa:824/hsa:1293/hsa:1278/hsa:1398/hsa:5604/hsa:80310/hsa:5293/hsa:596/hsa:5728/hsa:83660/hsa:3725/hsa:71/hsa:7058/hsa:1282/hsa:1287/hsa:3908/hsa:3914/hsa:2316/hsa:3672/hsa:3690";74
"hsa04518";"Integrin signaling";"59/1391";"154/8567";2,41176359183911e-11;4,19646864980006e-09;"ENSG00000005884/ENSG00000035403/ENSG00000041982/ENSG00000058085/ENSG00000072110/ENSG00000072163/ENSG00000073712/ENSG00000091136/ENSG00000091409/ENSG00000101311/ENSG00000101680/ENSG00000105329/ENSG00000105855/ENSG00000105976/ENSG00000110092/ENSG00000112715/ENSG00000112769/ENSG00000113721/ENSG00000115232/ENSG00000115414/ENSG00000117020/ENSG00000118785/ENSG00000119630/ENSG00000125730/ENSG00000128052/ENSG00000129675/ENSG00000130402/ENSG00000134853/ENSG00000134871/ENSG00000135424/ENSG00000135862/ENSG00000136068/ENSG00000137076/ENSG00000137801/ENSG00000138448/ENSG00000138759/ENSG00000138798/ENSG00000142156/ENSG00000142173/ENSG00000145431/ENSG00000146648/ENSG00000150093/ENSG00000150630/ENSG00000163359/ENSG00000164692/ENSG00000166147/ENSG00000169756/ENSG00000170962/ENSG00000171608/ENSG00000171914/ENSG00000184009/ENSG00000186340/ENSG00000187498/ENSG00000188153/ENSG00000196569/ENSG00000196878/ENSG00000196924/ENSG00000213949/ENSG00000259207";"ITGA3/VCL/TNC/LAMC2/ACTN1/LIMS2/FERMT2/LAMB1/ITGA6/FERMT1/LAMA1/TGFB1/ITGB8/MET/CCND1/VEGFA/LAMA4/PDGFRB/ITGA4/FN1/AKT3/SPP1/PGF/C3/KDR/ARHGEF6/ACTN4/PDGFRA/COL4A2/ITGA7/LAMC1/FLNB/TLN1/THBS1/ITGAV/FRAS1/EGF/COL6A1/COL6A2/PDGFC/EGFR/ITGB1/VEGFC/COL6A3/COL1A2/FBN1/LIMS1/PDGFD/PIK3CD/TLN2/ACTG1/THBS2/COL4A1/COL4A5/LAMA2/LAMB3/FLNA/ITGA1/ITGB3";"hsa:3675/hsa:7414/hsa:3371/hsa:3918/hsa:87/hsa:55679/hsa:10979/hsa:3912/hsa:3655/hsa:55612/hsa:284217/hsa:7040/hsa:3696/hsa:4233/hsa:595/hsa:7422/hsa:3910/hsa:5159/hsa:3676/hsa:2335/hsa:10000/hsa:6696/hsa:5228/hsa:718/hsa:3791/hsa:9459/hsa:81/hsa:5156/hsa:1284/hsa:3679/hsa:3915/hsa:2317/hsa:7094/hsa:7057/hsa:3685/hsa:80144/hsa:1950/hsa:1291/hsa:1292/hsa:56034/hsa:1956/hsa:3688/hsa:7424/hsa:1293/hsa:1278/hsa:2200/hsa:3987/hsa:80310/hsa:5293/hsa:83660/hsa:71/hsa:7058/hsa:1282/hsa:1287/hsa:3908/hsa:3914/hsa:2316/hsa:3672/hsa:3690";59
"hsa04820";"Cytoskeleton in muscle cells";"72/1391";"233/8567";1,25934951034455e-08;1,46084543199968e-06;"ENSG00000005884/ENSG00000022267/ENSG00000026025/ENSG00000035403/ENSG00000038427/ENSG00000060718/ENSG00000091409/ENSG00000092529/ENSG00000100242/ENSG00000100345/ENSG00000101400/ENSG00000101680/ENSG00000105855/ENSG00000111674/ENSG00000115232/ENSG00000115306/ENSG00000115414/ENSG00000115641/ENSG00000115884/ENSG00000116962/ENSG00000123096/ENSG00000128872/ENSG00000130635/ENSG00000131018/ENSG00000131435/ENSG00000134871/ENSG00000135424/ENSG00000137076/ENSG00000137801/ENSG00000137877/ENSG00000138448/ENSG00000139734/ENSG00000140416/ENSG00000142156/ENSG00000142173/ENSG00000143153/ENSG00000143815/ENSG00000144821/ENSG00000145362/ENSG00000148677/ENSG00000150093/ENSG00000154553/ENSG00000155657/ENSG00000155816/ENSG00000157827/ENSG00000161791/ENSG00000163017/ENSG00000163069/ENSG00000163110/ENSG00000163359/ENSG00000164692/ENSG00000166147/ENSG00000167460/ENSG00000169439/ENSG00000171914/ENSG00000175183/ENSG00000182492/ENSG00000183091/ENSG00000184009/ENSG00000184922/ENSG00000186340/ENSG00000187498/ENSG00000188153/ENSG00000196569/ENSG00000196739/ENSG00000196923/ENSG00000198467/ENSG00000198898/ENSG00000198947/ENSG00000204262/ENSG00000213949/ENSG00000259207";"ITGA3/FHL1/VIM/VCL/VCAN/COL11A1/ITGA6/CAPN3/SUN2/MYH9/SNTA1/LAMA1/ITGB8/ENO2/ITGA4/SPTBN1/FN1/FHL2/SDC1/NID1/SSPN/TMOD2/COL5A1/SYNE1/PDLIM4/COL4A2/ITGA7/TLN1/THBS1/SPTBN5/ITGAV/DIAPH3/TPM1/COL6A1/COL6A2/ATP1B1/LBR/MYH15/ANK2/ANKRD1/ITGB1/PDLIM3/TTN/FMN2/FMNL2/FMNL3/ACTG2/SGCB/PDLIM5/COL6A3/COL1A2/FBN1/TPM4/SDC2/TLN2/CSRP2/BGN/NEB/ACTG1/FMNL1/THBS2/COL4A1/COL4A5/LAMA2/COL27A1/PDLIM7/TPM2/CAPZA2/DMD/COL5A2/ITGA1/ITGB3";"hsa:3675/hsa:2273/hsa:7431/hsa:7414/hsa:1462/hsa:1301/hsa:3655/hsa:825/hsa:25777/hsa:4627/hsa:6640/hsa:284217/hsa:3696/hsa:2026/hsa:3676/hsa:6711/hsa:2335/hsa:2274/hsa:6382/hsa:4811/hsa:8082/hsa:29767/hsa:1289/hsa:23345/hsa:8572/hsa:1284/hsa:3679/hsa:7094/hsa:7057/hsa:51332/hsa:3685/hsa:81624/hsa:7168/hsa:1291/hsa:1292/hsa:481/hsa:3930/hsa:22989/hsa:287/hsa:27063/hsa:3688/hsa:27295/hsa:7273/hsa:56776/hsa:114793/hsa:91010/hsa:72/hsa:6443/hsa:10611/hsa:1293/hsa:1278/hsa:2200/hsa:7171/hsa:6383/hsa:83660/hsa:1466/hsa:633/hsa:4703/hsa:71/hsa:752/hsa:7058/hsa:1282/hsa:1287/hsa:3908/hsa:85301/hsa:9260/hsa:7169/hsa:830/hsa:1756/hsa:1290/hsa:3672/hsa:3690";72
"hsa04517";"IgSF CAM signaling";"86/1391";"298/8567";1,82461112981286e-08;1,58741168293719e-06;"ENSG00000010810/ENSG00000018236/ENSG00000026751/ENSG00000035403/ENSG00000038382/ENSG00000065320/ENSG00000065534/ENSG00000067560/ENSG00000072110/ENSG00000076356/ENSG00000077264/ENSG00000078018/ENSG00000079819/ENSG00000079841/ENSG00000082397/ENSG00000082805/ENSG00000095637/ENSG00000100345/ENSG00000101306/ENSG00000101349/ENSG00000105926/ENSG00000106278/ENSG00000107186/ENSG00000107643/ENSG00000108797/ENSG00000109099/ENSG00000115091/ENSG00000115232/ENSG00000115306/ENSG00000117020/ENSG00000117155/ENSG00000118257/ENSG00000121871/ENSG00000127824/ENSG00000128052/ENSG00000130402/ENSG00000136153/ENSG00000137267/ENSG00000137285/ENSG00000137877/ENSG00000138071/ENSG00000139220/ENSG00000140538/ENSG00000140575/ENSG00000145147/ENSG00000145362/ENSG00000145715/ENSG00000147065/ENSG00000149269/ENSG00000149294/ENSG00000149571/ENSG00000150093/ENSG00000150637/ENSG00000154133/ENSG00000154229/ENSG00000154639/ENSG00000154721/ENSG00000156687/ENSG00000158987/ENSG00000161647/ENSG00000162704/ENSG00000165246/ENSG00000165300/ENSG00000166086/ENSG00000166250/ENSG00000169032/ENSG00000169760/ENSG00000169855/ENSG00000170558/ENSG00000171608/ENSG00000176014/ENSG00000177707/ENSG00000182168/ENSG00000183067/ENSG00000183853/ENSG00000184009/ENSG00000184347/ENSG00000185985/ENSG00000196083/ENSG00000196230/ENSG00000196876/ENSG00000196935/ENSG00000198087/ENSG00000221866/ENSG00000254087/ENSG00000259207";"FYN/CNTN1/SLAMF7/VCL/TRIO/NTN1/MYLK/RHOA/ACTN1/PLXNA2/PAK3/MAP2/EPB41L2/RIMS1/EPB41L3/ERC1/SORBS1/MYH9/MYLK2/PAK5/MPP6/PTPRZ1/MPDZ/MAPK8/CNTNAP1/PMP22/ACTR3/ITGA4/SPTBN1/AKT3/SSX2IP/NRP2/SLITRK3/TUBA4A/KDR/ACTN4/LMO7/TUBB2A/TUBB2B/SPTBN5/ACTR2/PPFIA2/NTRK3/IQGAP1/SLIT2/ANK2/RASA1/MSN/PAK1/NCAM1/KIRREL3/ITGB1/CD226/ROBO4/PRKCA/CXADR/JAM2/UNC5D/RAPGEF6/MPP3/ARPC5/NLGN4Y/SLITRK5/JAM3/CLMP/MAP2K1/NLGN1/ROBO1/CDH2/PIK3CD/TUBB6/NECTIN3/UNC5C/IGSF5/KIRREL1/ACTG1/SLIT3/SLITRK2/IL1RAP/TUBB/SCN8A/SRGAP1/CD2AP/PLXNA4/LYN/ITGB3";"hsa:2534/hsa:1272/hsa:57823/hsa:7414/hsa:7204/hsa:9423/hsa:4638/hsa:387/hsa:87/hsa:5362/hsa:5063/hsa:4133/hsa:2037/hsa:22999/hsa:23136/hsa:23085/hsa:10580/hsa:4627/hsa:85366/hsa:57144/hsa:51678/hsa:5803/hsa:8777/hsa:5599/hsa:8506/hsa:5376/hsa:10096/hsa:3676/hsa:6711/hsa:10000/hsa:117178/hsa:8828/hsa:22865/hsa:7277/hsa:3791/hsa:81/hsa:4008/hsa:7280/hsa:347733/hsa:51332/hsa:10097/hsa:8499/hsa:4916/hsa:8826/hsa:9353/hsa:287/hsa:5921/hsa:4478/hsa:5058/hsa:4684/hsa:84623/hsa:3688/hsa:10666/hsa:54538/hsa:5578/hsa:1525/hsa:58494/hsa:137970/hsa:51735/hsa:4356/hsa:10092/hsa:22829/hsa:26050/hsa:83700/hsa:79827/hsa:5604/hsa:22871/hsa:6091/hsa:1000/hsa:5293/hsa:84617/hsa:25945/hsa:8633/hsa:150084/hsa:55243/hsa:71/hsa:6586/hsa:84631/hsa:3556/hsa:203068/hsa:6334/hsa:57522/hsa:23607/hsa:91584/hsa:4067/hsa:3690";86
"hsa04512";"ECM-receptor interaction";"33/1391";"89/8567";1,45888398407433e-06;8,57369072406462e-05;"ENSG00000005884/ENSG00000026508/ENSG00000041982/ENSG00000058085/ENSG00000072571/ENSG00000091136/ENSG00000091409/ENSG00000101680/ENSG00000105855/ENSG00000112769/ENSG00000115232/ENSG00000115414/ENSG00000115884/ENSG00000118785/ENSG00000134871/ENSG00000135424/ENSG00000135862/ENSG00000137801/ENSG00000138448/ENSG00000138759/ENSG00000142156/ENSG00000142173/ENSG00000150093/ENSG00000159164/ENSG00000163359/ENSG00000164692/ENSG00000186340/ENSG00000187498/ENSG00000188153/ENSG00000196569/ENSG00000196878/ENSG00000213949/ENSG00000259207";"ITGA3/CD44/TNC/LAMC2/HMMR/LAMB1/ITGA6/LAMA1/ITGB8/LAMA4/ITGA4/FN1/SDC1/SPP1/COL4A2/ITGA7/LAMC1/THBS1/ITGAV/FRAS1/COL6A1/COL6A2/ITGB1/SV2A/COL6A3/COL1A2/THBS2/COL4A1/COL4A5/LAMA2/LAMB3/ITGA1/ITGB3";"hsa:3675/hsa:960/hsa:3371/hsa:3918/hsa:3161/hsa:3912/hsa:3655/hsa:284217/hsa:3696/hsa:3910/hsa:3676/hsa:2335/hsa:6382/hsa:6696/hsa:1284/hsa:3679/hsa:3915/hsa:7057/hsa:3685/hsa:80144/hsa:1291/hsa:1292/hsa:3688/hsa:9900/hsa:1293/hsa:1278/hsa:7058/hsa:1282/hsa:1287/hsa:3908/hsa:3914/hsa:3672/hsa:3690";33
"hsa05222";"Small cell lung cancer";"34/1391";"93/8567";1,47822253863183e-06;8,57369072406462e-05;"ENSG00000005884/ENSG00000023445/ENSG00000056558/ENSG00000058085/ENSG00000073756/ENSG00000077092/ENSG00000091136/ENSG00000091409/ENSG00000099860/ENSG00000101680/ENSG00000105810/ENSG00000110092/ENSG00000110330/ENSG00000112769/ENSG00000115414/ENSG00000116717/ENSG00000117020/ENSG00000120868/ENSG00000122008/ENSG00000134871/ENSG00000135862/ENSG00000138448/ENSG00000139687/ENSG00000150093/ENSG00000164305/ENSG00000171608/ENSG00000171791/ENSG00000171862/ENSG00000172115/ENSG00000187498/ENSG00000188153/ENSG00000196569/ENSG00000196878/ENSG00000213341";"ITGA3/BIRC3/TRAF1/LAMC2/PTGS2/RARB/LAMB1/ITGA6/GADD45B/LAMA1/CDK6/CCND1/BIRC2/LAMA4/FN1/GADD45A/AKT3/APAF1/POLK/COL4A2/LAMC1/ITGAV/RB1/ITGB1/CASP3/PIK3CD/BCL2/PTEN/CYCS/COL4A1/COL4A5/LAMA2/LAMB3/CHUK";"hsa:3675/hsa:330/hsa:7185/hsa:3918/hsa:5743/hsa:5915/hsa:3912/hsa:3655/hsa:4616/hsa:284217/hsa:1021/hsa:595/hsa:329/hsa:3910/hsa:2335/hsa:1647/hsa:10000/hsa:317/hsa:51426/hsa:1284/hsa:3915/hsa:3685/hsa:5925/hsa:3688/hsa:836/hsa:5293/hsa:596/hsa:5728/hsa:54205/hsa:1282/hsa:1287/hsa:3908/hsa:3914/hsa:1147";34
"hsa04151";"PI3K-Akt signaling pathway";"91/1391";"360/8567";4,76483528001759e-06;0,000236880382492303;"ENSG00000005884/ENSG00000012048/ENSG00000041982/ENSG00000058085/ENSG00000064300/ENSG00000065243/ENSG00000073711/ENSG00000081913/ENSG00000091136/ENSG00000091409/ENSG00000092020/ENSG00000101280/ENSG00000101680/ENSG00000104432/ENSG00000105810/ENSG00000105855/ENSG00000105976/ENSG00000108953/ENSG00000110092/ENSG00000111664/ENSG00000112715/ENSG00000112769/ENSG00000113578/ENSG00000113721/ENSG00000114450/ENSG00000115232/ENSG00000115414/ENSG00000117020/ENSG00000118515/ENSG00000118785/ENSG00000119630/ENSG00000128052/ENSG00000132356/ENSG00000134259/ENSG00000134308/ENSG00000134853/ENSG00000134871/ENSG00000135424/ENSG00000135862/ENSG00000136244/ENSG00000136869/ENSG00000137713/ENSG00000137801/ENSG00000138448/ENSG00000138675/ENSG00000138685/ENSG00000138798/ENSG00000142156/ENSG00000142173/ENSG00000142627/ENSG00000145431/ENSG00000145623/ENSG00000146592/ENSG00000146648/ENSG00000147145/ENSG00000148053/ENSG00000150093/ENSG00000150630/ENSG00000154188/ENSG00000154229/ENSG00000156475/ENSG00000157404/ENSG00000157613/ENSG00000162409/ENSG00000163235/ENSG00000163359/ENSG00000164692/ENSG00000168243/ENSG00000168621/ENSG00000168685/ENSG00000169032/ENSG00000170962/ENSG00000171608/ENSG00000171791/ENSG00000171862/ENSG00000172380/ENSG00000174021/ENSG00000176697/ENSG00000181104/ENSG00000182578/ENSG00000184371/ENSG00000186340/ENSG00000186469/ENSG00000187498/ENSG00000188153/ENSG00000196569/ENSG00000196878/ENSG00000213341/ENSG00000213949/ENSG00000225950/ENSG00000259207";"ITGA3/BRCA1/TNC/LAMC2/NGFR/PKN2/PPP2R3A/PHLPP1/LAMB1/ITGA6/PPP2R3C/ANGPT4/LAMA1/IL7/CDK6/ITGB8/MET/YWHAE/CCND1/GNB3/VEGFA/LAMA4/FGF1/PDGFRB/GNB4/ITGA4/FN1/AKT3/SGK1/SPP1/PGF/KDR/PRKAA1/NGF/YWHAQ/PDGFRA/COL4A2/ITGA7/LAMC1/IL6/TLR4/PPP2R1B/THBS1/ITGAV/FGF5/FGF2/EGF/COL6A1/COL6A2/EPHA2/PDGFC/OSMR/CREB5/EGFR/LPAR4/NTRK2/ITGB1/VEGFC/ANGPT1/PRKCA/PPP2R2B/KIT/CREB3L1/PRKAA2/TGFA/COL6A3/COL1A2/GNG4/GDNF/IL7R/MAP2K1/PDGFD/PIK3CD/BCL2/PTEN/GNG12/GNG5/BDNF/F2R/CSF1R/CSF1/THBS2/GNG2/COL4A1/COL4A5/LAMA2/LAMB3/CHUK/ITGA1/NTF4/ITGB3";"hsa:3675/hsa:672/hsa:3371/hsa:3918/hsa:4804/hsa:5586/hsa:5523/hsa:23239/hsa:3912/hsa:3655/hsa:55012/hsa:51378/hsa:284217/hsa:3574/hsa:1021/hsa:3696/hsa:4233/hsa:7531/hsa:595/hsa:2784/hsa:7422/hsa:3910/hsa:2246/hsa:5159/hsa:59345/hsa:3676/hsa:2335/hsa:10000/hsa:6446/hsa:6696/hsa:5228/hsa:3791/hsa:5562/hsa:4803/hsa:10971/hsa:5156/hsa:1284/hsa:3679/hsa:3915/hsa:3569/hsa:7099/hsa:5519/hsa:7057/hsa:3685/hsa:2250/hsa:2247/hsa:1950/hsa:1291/hsa:1292/hsa:1969/hsa:56034/hsa:9180/hsa:9586/hsa:1956/hsa:2846/hsa:4915/hsa:3688/hsa:7424/hsa:284/hsa:5578/hsa:5521/hsa:3815/hsa:90993/hsa:5563/hsa:7039/hsa:1293/hsa:1278/hsa:2786/hsa:2668/hsa:3575/hsa:5604/hsa:80310/hsa:5293/hsa:596/hsa:5728/hsa:55970/hsa:2787/hsa:627/hsa:2149/hsa:1436/hsa:1435/hsa:7058/hsa:54331/hsa:1282/hsa:1287/hsa:3908/hsa:3914/hsa:1147/hsa:3672/hsa:4909/hsa:3690";91
"hsa04668";"TNF signaling pathway";"38/1391";"119/8567";1,52277319840387e-05;0,000662406341305681;"ENSG00000006062/ENSG00000006210/ENSG00000023445/ENSG00000026103/ENSG00000056558/ENSG00000073756/ENSG00000078401/ENSG00000081041/ENSG00000083799/ENSG00000087470/ENSG00000101384/ENSG00000107643/ENSG00000108691/ENSG00000108984/ENSG00000110330/ENSG00000115604/ENSG00000117020/ENSG00000118503/ENSG00000125538/ENSG00000128342/ENSG00000136244/ENSG00000146592/ENSG00000149968/ENSG00000150630/ENSG00000151694/ENSG00000157227/ENSG00000157613/ENSG00000163734/ENSG00000164136/ENSG00000164305/ENSG00000164400/ENSG00000169032/ENSG00000171608/ENSG00000172216/ENSG00000177606/ENSG00000184371/ENSG00000184557/ENSG00000213341";"MAP3K14/CX3CL1/BIRC3/FAS/TRAF1/PTGS2/EDN1/CXCL2/CYLD/DNM1L/JAG1/MAPK8/CCL2/MAP2K6/BIRC2/IL18R1/AKT3/TNFAIP3/IL1B/LIF/IL6/CREB5/MMP3/VEGFC/ADAM17/MMP14/CREB3L1/CXCL3/IL15/CASP3/CSF2/MAP2K1/PIK3CD/CEBPB/JUN/CSF1/SOCS3/CHUK";"hsa:9020/hsa:6376/hsa:330/hsa:355/hsa:7185/hsa:5743/hsa:1906/hsa:2920/hsa:1540/hsa:10059/hsa:182/hsa:5599/hsa:6347/hsa:5608/hsa:329/hsa:8809/hsa:10000/hsa:7128/hsa:3553/hsa:3976/hsa:3569/hsa:9586/hsa:4314/hsa:7424/hsa:6868/hsa:4323/hsa:90993/hsa:2921/hsa:3600/hsa:836/hsa:1437/hsa:5604/hsa:5293/hsa:1051/hsa:3725/hsa:1435/hsa:9021/hsa:1147";38
"hsa04015";"Rap1 signaling pathway";"58/1391";"211/8567";1,98271090278364e-05;0,000766648215743007;"ENSG00000064300/ENSG00000067560/ENSG00000087258/ENSG00000101280/ENSG00000101333/ENSG00000105976/ENSG00000108518/ENSG00000108984/ENSG00000112715/ENSG00000113578/ENSG00000113721/ENSG00000115825/ENSG00000117020/ENSG00000119630/ENSG00000120318/ENSG00000125968/ENSG00000127955/ENSG00000128052/ENSG00000128512/ENSG00000134259/ENSG00000134853/ENSG00000137076/ENSG00000137801/ENSG00000138193/ENSG00000138675/ENSG00000138685/ENSG00000138798/ENSG00000142627/ENSG00000143933/ENSG00000145431/ENSG00000146648/ENSG00000147145/ENSG00000149295/ENSG00000150093/ENSG00000150630/ENSG00000152689/ENSG00000154188/ENSG00000154229/ENSG00000154380/ENSG00000157404/ENSG00000158987/ENSG00000167193/ENSG00000169032/ENSG00000169220/ENSG00000169860/ENSG00000170425/ENSG00000170962/ENSG00000171051/ENSG00000171608/ENSG00000171914/ENSG00000181104/ENSG00000182578/ENSG00000182621/ENSG00000183454/ENSG00000184009/ENSG00000184304/ENSG00000184371/ENSG00000259207";"NGFR/RHOA/GNAO1/ANGPT4/PLCB4/MET/PFN1/MAP2K6/VEGFA/FGF1/PDGFRB/PRKD3/AKT3/PGF/ARAP3/ID1/GNAI1/KDR/DOCK4/NGF/PDGFRA/TLN1/THBS1/PLCE1/FGF5/FGF2/EGF/EPHA2/CALM2/PDGFC/EGFR/LPAR4/DRD2/ITGB1/VEGFC/RASGRP3/ANGPT1/PRKCA/ENAH/KIT/RAPGEF6/CRK/MAP2K1/RGS14/P2RY1/ADORA2B/PDGFD/FPR1/PIK3CD/TLN2/F2R/CSF1R/PLCB1/GRIN2A/ACTG1/PRKD1/CSF1/ITGB3";"hsa:4804/hsa:387/hsa:2775/hsa:51378/hsa:5332/hsa:4233/hsa:5216/hsa:5608/hsa:7422/hsa:2246/hsa:5159/hsa:23683/hsa:10000/hsa:5228/hsa:64411/hsa:3397/hsa:2770/hsa:3791/hsa:9732/hsa:4803/hsa:5156/hsa:7094/hsa:7057/hsa:51196/hsa:2250/hsa:2247/hsa:1950/hsa:1969/hsa:805/hsa:56034/hsa:1956/hsa:2846/hsa:1813/hsa:3688/hsa:7424/hsa:25780/hsa:284/hsa:5578/hsa:55740/hsa:3815/hsa:51735/hsa:1398/hsa:5604/hsa:10636/hsa:5028/hsa:136/hsa:80310/hsa:2357/hsa:5293/hsa:83660/hsa:2149/hsa:1436/hsa:23236/hsa:2903/hsa:71/hsa:5587/hsa:1435/hsa:3690";58
"hsa04933";"AGE-RAGE signaling pathway in diabetic complications";"33/1391";"101/8567";3,23891471826377e-05;0,00112714232195579;"ENSG00000078401/ENSG00000086991/ENSG00000087245/ENSG00000092969/ENSG00000101333/ENSG00000105329/ENSG00000106366/ENSG00000107643/ENSG00000108691/ENSG00000110092/ENSG00000112715/ENSG00000115008/ENSG00000115414/ENSG00000117020/ENSG00000117525/ENSG00000125538/ENSG00000134871/ENSG00000135744/ENSG00000136244/ENSG00000138193/ENSG00000141646/ENSG00000150630/ENSG00000154229/ENSG00000163513/ENSG00000164305/ENSG00000164692/ENSG00000169429/ENSG00000171608/ENSG00000171791/ENSG00000177606/ENSG00000182621/ENSG00000187498/ENSG00000188153";"EDN1/NOX4/MMP2/TGFB2/PLCB4/TGFB1/SERPINE1/MAPK8/CCL2/CCND1/VEGFA/IL1A/FN1/AKT3/F3/IL1B/COL4A2/AGT/IL6/PLCE1/SMAD4/VEGFC/PRKCA/TGFBR2/CASP3/COL1A2/CXCL8/PIK3CD/BCL2/JUN/PLCB1/COL4A1/COL4A5";"hsa:1906/hsa:50507/hsa:4313/hsa:7042/hsa:5332/hsa:7040/hsa:5054/hsa:5599/hsa:6347/hsa:595/hsa:7422/hsa:3552/hsa:2335/hsa:10000/hsa:2152/hsa:3553/hsa:1284/hsa:183/hsa:3569/hsa:51196/hsa:4089/hsa:7424/hsa:5578/hsa:7048/hsa:836/hsa:1278/hsa:3576/hsa:5293/hsa:596/hsa:3725/hsa:23236/hsa:1282/hsa:1287";33
