"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000164509";"IL31RA";"interleukin 31 receptor A";162;41,4173812866211;"Yes"
"row_1";"ENSG00000095752";"IL11";"interleukin 11";860;12,5431232452393;"Yes"
"row_2";"ENSG00000136244";"IL6";"interleukin 6";1095;9,20632648468018;"Yes"
"row_3";"ENSG00000145623";"OSMR";"oncostatin M receptor";1218;8,05008792877197;"Yes"
"row_4";"ENSG00000128342";"LIF";"LIF interleukin 6 family cytokine";1231;7,91984748840332;"Yes"
"row_5";"ENSG00000150281";"CTF1";"cardiotrophin 1";1623;4,96949481964111;"Yes"
"row_6";"ENSG00000123496";"IL13RA2";"interleukin 13 receptor subunit alpha 2";1642;4,88708925247192;"Yes"
"row_7";"ENSG00000166888";"STAT6";"signal transducer and activator of transcription 6";3070;1,54054749011993;"No"
"row_8";"ENSG00000122756";"CNTFR";"ciliary neurotrophic factor receptor";3382;1,16030406951904;"No"
"row_9";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";4449;0,859378695487976;"No"
"row_10";"ENSG00000113594";"LIFR";"LIF receptor subunit alpha";4582;0,780102550983429;"No"
"row_11";"ENSG00000134352";"IL6ST";"interleukin 6 cytokine family signal transducer";4743;0,671448767185211;"No"
"row_12";"ENSG00000077238";"IL4R";"interleukin 4 receptor";4891;0,589231967926025;"No"
"row_13";"ENSG00000160712";"IL6R";"interleukin 6 receptor";4941;0,564819276332855;"No"
"row_14";"ENSG00000096968";"JAK2";"Janus kinase 2";5695;0,30871245265007;"No"
"row_15";"ENSG00000104998";"IL27RA";"interleukin 27 receptor subunit alpha";6152;0,221891731023788;"No"
"row_16";"ENSG00000131724";"IL13RA1";"interleukin 13 receptor subunit alpha 1";6644;0,143969833850861;"No"
"row_17";"ENSG00000162434";"JAK1";"Janus kinase 1";7393;0,0771101415157318;"No"
"row_18";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";8261;0,0263331104069948;"No"
"row_19";"ENSG00000099985";"OSM";"oncostatin M";9750;0;"No"
"row_20";"ENSG00000169194";"IL13";"interleukin 13";11172;0;"No"
"row_21";"ENSG00000175505";"CLCF1";"cardiotrophin like cytokine factor 1";11481;0;"No"
"row_22";"ENSG00000197272";"IL27";"interleukin 27";12436;0;"No"
"row_23";"ENSG00000204671";"IL31";"interleukin 31";13677;0;"No"
"row_24";"ENSG00000242689";"CNTF";"ciliary neurotrophic factor";20377;0;"No"
"row_25";"ENSG00000137070";"IL11RA";"interleukin 11 receptor subunit alpha";30269;-0,106083080172539;"No"
"row_26";"ENSG00000105397";"TYK2";"tyrosine kinase 2";32785;-0,641270935535431;"No"
