"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000198033";"TUBA3C";"tubulin alpha 3c";5;110,152374267578;"Yes"
"row_1";"ENSG00000127824";"TUBA4A";"tubulin alpha 4a";867;12,3324298858643;"Yes"
"row_2";"ENSG00000039139";"DNAH5";"dynein axonemal heavy chain 5";939;11,5715312957764;"Yes"
"row_3";"ENSG00000176014";"TUBB6";"tubulin beta 6 class V";1296;7,41143035888672;"Yes"
"row_4";"ENSG00000152086";"TUBA3E";"tubulin alpha 3e";1993;3,89419054985046;"Yes"
"row_5";"ENSG00000258947";"TUBB3";"tubulin beta 3 class III";2014;3,74100160598755;"Yes"
"row_6";"ENSG00000119661";"DNAL1";"dynein axonemal light chain 1";2846;1,98859083652496;"No"
"row_7";"ENSG00000104671";"DCTN6";"dynactin subunit 6";2971;1,69832646846771;"No"
"row_8";"ENSG00000131966";"ACTR10";"actin related protein 10";4339;0,952341139316559;"No"
"row_9";"ENSG00000167553";"TUBA1C";"tubulin alpha 1c";4938;0,565482079982758;"No"
"row_10";"ENSG00000105877";"DNAH11";"dynein axonemal heavy chain 11";5780;0,290491342544556;"No"
"row_11";"ENSG00000122735";"DNAI1";"dynein axonemal intermediate chain 1";5818;0,284513771533966;"No"
"row_12";"ENSG00000183914";"DNAH2";"dynein axonemal heavy chain 2";5830;0,284513771533966;"No"
"row_13";"ENSG00000196230";"TUBB";"tubulin beta class I";6527;0,158160671591759;"No"
"row_14";"ENSG00000188229";"TUBB4B";"tubulin beta 4B class IVb";7049;0,108020156621933;"No"
"row_15";"ENSG00000123416";"TUBA1B";"tubulin alpha 1b";8565;0,0150824105367064;"No"
"row_16";"ENSG00000174844";"DNAH12";"dynein axonemal heavy chain 12";8721;0,0107814120128751;"No"
"row_17";"ENSG00000137267";"TUBB2A";"tubulin beta 2A class IIa";8792;0,00878974795341492;"No"
"row_18";"ENSG00000204843";"DCTN1";"dynactin subunit 1";8864;0,00771780405193567;"No"
"row_19";"ENSG00000197386";"HTT";"huntingtin";9360;0,000739156908821315;"No"
"row_20";"ENSG00000075886";"TUBA3D";"tubulin alpha 3d";9660;0;"No"
"row_21";"ENSG00000118997";"DNAH7";"dynein axonemal heavy chain 7";10055;0;"No"
"row_22";"ENSG00000171595";"DNAI2";"dynein axonemal intermediate chain 2";11297;0;"No"
"row_23";"ENSG00000261456";"TUBB8";"tubulin beta 8 class VIII";23521;0;"No"
"row_24";"ENSG00000007174";"DNAH9";"dynein axonemal heavy chain 9";28844;-0,0255947541445494;"No"
"row_25";"ENSG00000138107";"ACTR1A";"actin related protein 1A";29053;-0,0344355888664722;"No"
"row_26";"ENSG00000197653";"DNAH10";"dynein axonemal heavy chain 10";29822;-0,0763351246714592;"No"
"row_27";"ENSG00000158486";"DNAH3";"dynein axonemal heavy chain 3";30111;-0,0930299460887909;"No"
"row_28";"ENSG00000175203";"DCTN2";"dynactin subunit 2";30335;-0,113450318574905;"No"
"row_29";"ENSG00000163879";"DNALI1";"dynein axonemal light intermediate chain 1";30360;-0,115574426949024;"No"
"row_30";"ENSG00000132912";"DCTN4";"dynactin subunit 4";30431;-0,121183715760708;"No"
"row_31";"ENSG00000115073";"ACTR1B";"actin related protein 1B";30537;-0,131735101342201;"No"
"row_32";"ENSG00000137100";"DCTN3";"dynactin subunit 3";30591;-0,138557627797127;"No"
"row_33";"ENSG00000137285";"TUBB2B";"tubulin beta 2B class IIb";30717;-0,151524782180786;"No"
"row_34";"ENSG00000167552";"TUBA1A";"tubulin alpha 1a";31085;-0,200095936655998;"No"
"row_35";"ENSG00000100246";"DNAL4";"dynein axonemal light chain 4";31183;-0,215203210711479;"No"
"row_36";"ENSG00000104833";"TUBB4A";"tubulin beta 4A class IVa";31426;-0,25782036781311;"No"
"row_37";"ENSG00000115423";"DNAH6";"dynein axonemal heavy chain 6";31611;-0,290061205625534;"No"
"row_38";"ENSG00000166847";"DCTN5";"dynactin subunit 5";31991;-0,371650248765945;"No"
"row_39";"ENSG00000101162";"TUBB1";"tubulin beta 1 class VI";32329;-0,462166637182236;"No"
"row_40";"ENSG00000173805";"HAP1";"huntingtin associated protein 1";32631;-0,575642347335815;"No"
"row_41";"ENSG00000114841";"DNAH1";"dynein axonemal heavy chain 1";32822;-0,664707839488983;"No"
"row_42";"ENSG00000187775";"DNAH17";"dynein axonemal heavy chain 17";33966;-1,17605698108673;"No"
"row_43";"ENSG00000124721";"DNAH8";"dynein axonemal heavy chain 8";34921;-2,9145622253418;"No"
"row_44";"ENSG00000183785";"TUBA8";"tubulin alpha 8";35699;-6,53071165084839;"No"
