"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000198033";"TUBA3C";"tubulin alpha 3c";5;110,152374267578;"Yes"
"row_1";"ENSG00000127824";"TUBA4A";"tubulin alpha 4a";867;12,3324298858643;"Yes"
"row_2";"ENSG00000176014";"TUBB6";"tubulin beta 6 class V";1296;7,41143035888672;"Yes"
"row_3";"ENSG00000152086";"TUBA3E";"tubulin alpha 3e";1993;3,89419054985046;"Yes"
"row_4";"ENSG00000258947";"TUBB3";"tubulin beta 3 class III";2014;3,74100160598755;"Yes"
"row_5";"ENSG00000170759";"KIF5B";"kinesin family member 5B";4805;0,631197571754456;"No"
"row_6";"ENSG00000167553";"TUBA1C";"tubulin alpha 1c";4938;0,565482079982758;"No"
"row_7";"ENSG00000196230";"TUBB";"tubulin beta class I";6527;0,158160671591759;"No"
"row_8";"ENSG00000188229";"TUBB4B";"tubulin beta 4B class IVb";7049;0,108020156621933;"No"
"row_9";"ENSG00000174996";"KLC2";"kinesin light chain 2";8136;0,0322596542537212;"No"
"row_10";"ENSG00000123416";"TUBA1B";"tubulin alpha 1b";8565;0,0150824105367064;"No"
"row_11";"ENSG00000137267";"TUBB2A";"tubulin beta 2A class IIa";8792;0,00878974795341492;"No"
"row_12";"ENSG00000126214";"KLC1";"kinesin light chain 1";9016;0,00479043368250132;"No"
"row_13";"ENSG00000075886";"TUBA3D";"tubulin alpha 3d";9660;0;"No"
"row_14";"ENSG00000261456";"TUBB8";"tubulin beta 8 class VIII";23521;0;"No"
"row_15";"ENSG00000168280";"KIF5C";"kinesin family member 5C";28273;-0,00877925008535385;"No"
"row_16";"ENSG00000104892";"KLC3";"kinesin light chain 3";29459;-0,0557492412626743;"No"
"row_17";"ENSG00000155980";"KIF5A";"kinesin family member 5A";30138;-0,0948420315980911;"No"
"row_18";"ENSG00000137285";"TUBB2B";"tubulin beta 2B class IIb";30717;-0,151524782180786;"No"
"row_19";"ENSG00000167552";"TUBA1A";"tubulin alpha 1a";31085;-0,200095936655998;"No"
"row_20";"ENSG00000104833";"TUBB4A";"tubulin beta 4A class IVa";31426;-0,25782036781311;"No"
"row_21";"ENSG00000145335";"SNCA";"synuclein alpha";31592;-0,287400633096695;"No"
"row_22";"ENSG00000101162";"TUBB1";"tubulin beta 1 class VI";32329;-0,462166637182236;"No"
"row_23";"ENSG00000137171";"KLC4";"kinesin light chain 4";33035;-0,767889797687531;"No"
"row_24";"ENSG00000183785";"TUBA8";"tubulin alpha 8";35699;-6,53071165084839;"No"
