"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";3401;1,13179850578308;"No"
"row_1";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";4681;0,713359832763672;"No"
"row_2";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";7032;0,11024533957243;"No"
"row_3";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";7417;0,0753478929400444;"No"
"row_4";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";8390;0,0222349967807531;"No"
"row_5";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";9076;0,00388165260665119;"No"
"row_6";"ENSG00000049130";"KITLG";"KIT ligand";27604;-0,000254242273513228;"No"
"row_7";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";27909;-0,00269106077030301;"No"
"row_8";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";27914;-0,00276928511448205;"No"
"row_9";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";28672;-0,0202323775738478;"No"
"row_10";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";29266;-0,044708389788866;"No"
"row_11";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";30338;-0,113510347902775;"No"
"row_12";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";34235;-1,47985625267029;"Yes"
"row_13";"ENSG00000174775";"HRAS";"HRas proto-oncogene, GTPase";35414;-4,7195782661438;"Yes"
"row_14";"ENSG00000157404";"KIT";"KIT proto-oncogene, receptor tyrosine kinase";36378;-56,5180549621582;"Yes"
