"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000263528";"IKBKE";"inhibitor of nuclear factor kappa B kinase subunit epsilon";6654;0,142318189144135;"No"
"row_1";"ENSG00000183735";"TBK1";"TANK binding kinase 1";7612;0,0593873225152493;"No"
"row_2";"ENSG00000136560";"TANK";"TRAF family member associated NFKB activator";8653;0,012337327003479;"No"
"row_3";"ENSG00000163512";"AZI2";"5-azacytidine induced 2";8757;0,00977956037968397;"No"
"row_4";"ENSG00000131323";"TRAF3";"TNF receptor associated factor 3";9386;0,000592768541537225;"No"
"row_5";"ENSG00000088888";"MAVS";"mitochondrial antiviral signaling protein";9517;2,85643982351758e-05;"No"
"row_6";"ENSG00000120235";"IFNA6";"interferon alpha 6";10074;0;"No"
"row_7";"ENSG00000120242";"IFNA8";"interferon alpha 8";10075;0;"No"
"row_8";"ENSG00000137080";"IFNA21";"interferon alpha 21";10435;0;"No"
"row_9";"ENSG00000147873";"IFNA5";"interferon alpha 5";10631;0;"No"
"row_10";"ENSG00000147885";"IFNA16";"interferon alpha 16";10633;0;"No"
"row_11";"ENSG00000171855";"IFNB1";"interferon beta 1";11312;0;"No"
"row_12";"ENSG00000186803";"IFNA10";"interferon alpha 10";12145;0;"No"
"row_13";"ENSG00000188379";"IFNA2";"interferon alpha 2";12268;0;"No"
"row_14";"ENSG00000197919";"IFNA1";"interferon alpha 1";12490;0;"No"
"row_15";"ENSG00000214042";"IFNA7";"interferon alpha 7";15314;0;"No"
"row_16";"ENSG00000228083";"IFNA14";"interferon alpha 14";17288;0;"No"
"row_17";"ENSG00000233816";"IFNA13";"interferon alpha 13";18498;0;"No"
"row_18";"ENSG00000234829";"IFNA17";"interferon alpha 17";18719;0;"No"
"row_19";"ENSG00000236637";"IFNA4";"interferon alpha 4";19092;0;"No"
"row_20";"ENSG00000198933";"TBKBP1";"TBK1 binding protein 1";32530;-0,543507218360901;"Yes"
"row_21";"ENSG00000126456";"IRF3";"interferon regulatory factor 3";32788;-0,642382979393005;"Yes"
"row_22";"ENSG00000115267";"IFIH1";"interferon induced with helicase C domain 1";32892;-0,69618147611618;"Yes"
"row_23";"ENSG00000185507";"IRF7";"interferon regulatory factor 7";35365;-4,50865793228149;"Yes"
